par,ai,ci,nominal,canto,arquivo,diferenca
amostra_17,34,51,False,10,j6010_1.sm,0.05000000000000001
amostra_17,34,51,False,10,j6021_1.sm,0.012499999999999997
amostra_17,34,51,False,10,j6032_1.sm,0.016666666666666656
amostra_17,34,51,False,10,j6043_1.sm,-0.02083333333333333
amostra_17,34,51,False,01,j6010_1.sm,0.008333333333333331
amostra_17,34,51,False,01,j6021_1.sm,-0.029166666666666667
amostra_17,34,51,False,01,j6032_1.sm,0.012500000000000011
amostra_17,34,51,False,01,j6043_1.sm,-0.033333333333333326
amostra_17,34,51,False,11,j6010_1.sm,0.04166666666666668
amostra_17,34,51,False,11,j6021_1.sm,0.02083333333333333
amostra_17,34,51,False,11,j6032_1.sm,0.03333333333333333
amostra_17,34,51,False,11,j6043_1.sm,0.02916666666666666
amostra_18,31,19,False,00,j6010_1.sm,-0.0875
amostra_18,31,19,False,00,j6021_1.sm,0.008333333333333331
amostra_18,31,19,False,00,j6032_1.sm,-0.07916666666666666
amostra_18,31,19,False,00,j6043_1.sm,-0.025000000000000015
amostra_18,31,19,False,10,j6010_1.sm,-0.11249999999999999
amostra_18,31,19,False,10,j6021_1.sm,0.075
amostra_18,31,19,False,10,j6032_1.sm,-0.03333333333333334
amostra_18,31,19,False,10,j6043_1.sm,-0.075
amostra_18,31,19,False,01,j6010_1.sm,-0.08333333333333331
amostra_18,31,19,False,01,j6021_1.sm,0.020833333333333343
amostra_18,31,19,False,01,j6032_1.sm,-0.07916666666666665
amostra_18,31,19,False,01,j6043_1.sm,-0.033333333333333326
amostra_18,31,19,False,11,j6010_1.sm,-0.058333333333333334
amostra_18,31,19,False,11,j6021_1.sm,0.0375
amostra_18,31,19,False,11,j6032_1.sm,0.016666666666666663
amostra_18,31,19,False,11,j6043_1.sm,0.04999999999999999
amostra_19,67,10,False,00,j6010_1.sm,-0.10833333333333331
amostra_19,67,10,False,00,j6021_1.sm,-0.004166666666666666
amostra_19,67,10,False,00,j6032_1.sm,-0.024999999999999994
amostra_19,67,10,False,00,j6043_1.sm,-0.00416666666666668
amostra_19,67,10,False,10,j6010_1.sm,-0.01666666666666667
amostra_19,67,10,False,10,j6021_1.sm,0.02083333333333333
amostra_19,67,10,False,10,j6032_1.sm,-0.033333333333333326
amostra_19,67,10,False,10,j6043_1.sm,-0.04583333333333333
amostra_19,67,10,False,01,j6010_1.sm,-0.08333333333333333
amostra_19,67,10,False,01,j6021_1.sm,0.05
amostra_19,67,10,False,01,j6032_1.sm,-0.09583333333333333
amostra_19,67,10,False,01,j6043_1.sm,-0.04166666666666666
amostra_19,67,10,False,11,j6010_1.sm,0.01249999999999999
amostra_19,67,10,False,11,j6021_1.sm,0.03333333333333335
amostra_19,67,10,False,11,j6032_1.sm,0.02500000000000001
amostra_19,67,10,False,11,j6043_1.sm,-0.05
amostra_20,64,19,False,00,j6010_1.sm,-0.07916666666666665
amostra_20,64,19,False,00,j6021_1.sm,-0.02083333333333333
amostra_20,64,19,False,00,j6032_1.sm,-0.025000000000000015
amostra_20,64,19,False,00,j6043_1.sm,-0.029166666666666674
amostra_20,64,19,False,10,j6010_1.sm,-0.08333333333333331
amostra_20,64,19,False,10,j6021_1.sm,0.05
amostra_20,64,19,False,10,j6032_1.sm,-0.016666666666666663
amostra_20,64,19,False,10,j6043_1.sm,-0.06666666666666668
amostra_20,64,19,False,01,j6010_1.sm,-0.09166666666666665
amostra_20,64,19,False,01,j6021_1.sm,0.012499999999999997
amostra_20,64,19,False,01,j6032_1.sm,-0.07916666666666666
amostra_20,64,19,False,01,j6043_1.sm,0.004166666666666673
amostra_20,64,19,False,11,j6010_1.sm,-0.05416666666666667
amostra_20,64,19,False,11,j6021_1.sm,0.029166666666666667
amostra_20,64,19,False,11,j6032_1.sm,0.012500000000000004
amostra_20,64,19,False,11,j6043_1.sm,0.024999999999999994
nominal,62,18,True,00,j6010_1.sm,-0.07083333333333333
nominal,62,18,True,00,j6021_1.sm,-0.05416666666666667
nominal,62,18,True,00,j6032_1.sm,-0.07916666666666665
nominal,62,18,True,00,j6043_1.sm,0.012499999999999997
nominal,62,18,True,10,j6010_1.sm,-0.02500000000000001
nominal,62,18,True,10,j6021_1.sm,-0.054166666666666655
nominal,62,18,True,10,j6032_1.sm,-0.02916666666666668
nominal,62,18,True,10,j6043_1.sm,0.012499999999999997
nominal,62,18,True,01,j6010_1.sm,-0.029166666666666653
nominal,62,18,True,01,j6021_1.sm,-0.02916666666666666
nominal,62,18,True,01,j6032_1.sm,-0.02500000000000001
nominal,62,18,True,01,j6043_1.sm,-0.020833333333333336
nominal,62,18,True,11,j6010_1.sm,-0.012500000000000004
nominal,62,18,True,11,j6021_1.sm,-0.03333333333333334
nominal,62,18,True,11,j6032_1.sm,6.938893903907228e-18
nominal,62,18,True,11,j6043_1.sm,0.04999999999999999
