par,ai,ci,nominal,canto,cenario,N_blocked,N_fail,N_req,N_success,bateria_media,confianca_media_final,denominador_falha,fracao_fuga,fracao_fuga_p1,fracao_porta1,n_concluidas,n_executadas,numerador_falha,p2_bloqueio,taxa_falha_efetiva
amostra_07,68,66,False,10,centralizada,2.875,39.75,130.5625,90.8125,0.778887876212821,0.9303384774426711,60.0,0.0,0.0,0.44375000000000003,60.0,60.0,16.4375,51.875,0.2739583333333333
amostra_07,68,66,False,11,adaptativa,3.0,41.0,150.6875,109.6875,0.7285504503490079,0.9558348026626033,60.0,0.11903036030125375,0.24038975662509082,0.40937500000000004,60.0,60.0,15.625,54.5,0.26041666666666663
amostra_07,68,66,False,11,centralizada,2.8125,41.375,149.625,108.25,0.7990133112222921,0.9463994700592038,60.0,0.11498053026182298,0.2379419370457973,0.39479166666666665,60.0,60.0,15.25,55.25,0.25416666666666665
amostra_08,64,9,False,00,adaptativa,0.0625,32.4375,117.4375,85.0,0.752413831978255,0.9370810867522182,60.0,0.0,0.0,0.38749999999999996,60.0,60.0,16.25,40.0625,0.2708333333333333
amostra_08,64,9,False,00,centralizada,118.5625,0.0,0.0,0.0,0.7010087629867267,0.25,60.0,0.0,0.0,0.5385416666666667,60.0,60.0,18.4375,126.9375,0.3072916666666667
amostra_08,64,9,False,01,adaptativa,0.1875,30.5625,128.0625,97.5,0.7465586775567579,0.9558233839481589,60.0,0.1073981413699774,0.23298556812371235,0.3791666666666667,60.0,60.0,15.75,39.375,0.26249999999999996
amostra_08,64,9,False,01,centralizada,131.0,0.0,0.0,0.0,0.6974526692852303,0.25,60.0,0.20674904648825088,0.33368957719178904,0.5208333333333334,60.0,60.0,17.9375,139.5625,0.2989583333333333
amostra_08,64,9,False,10,adaptativa,3.5625,43.5625,134.9375,91.375,0.7454491649077777,0.9192310155904977,60.0,0.0,0.0,0.4083333333333333,60.0,60.0,16.875,56.625,0.28125
amostra_08,64,9,False,10,centralizada,16.75,36.875,99.0,62.125,0.7527966538128134,0.6226559518982007,60.0,0.0,0.0,0.46145833333333336,60.0,60.0,17.25,62.6875,0.2875
amostra_08,64,9,False,11,adaptativa,2.25,43.0,146.875,103.875,0.7370573447598116,0.9561338842833601,60.0,0.12336999377689564,0.25112992516448673,0.38645833333333335,60.0,60.0,16.6875,54.1875,0.278125
amostra_08,64,9,False,11,centralizada,17.5625,38.5625,108.0,69.4375,0.7578771867802634,0.6844946961168569,60.0,0.1306822608668326,0.2398039912069025,0.44479166666666664,60.0,60.0,15.9375,66.0,0.265625
amostra_09,7,9,False,00,adaptativa,110.0625,0.0,0.0,0.0,0.6095733371808346,0.25,60.0,0.0,0.0,0.5427083333333333,60.0,60.0,18.6875,116.875,0.31145833333333334
amostra_09,7,9,False,00,centralizada,118.5625,0.0,0.0,0.0,0.7010087629867267,0.25,60.0,0.0,0.0,0.5385416666666667,60.0,60.0,18.4375,126.9375,0.3072916666666667
amostra_09,7,9,False,01,adaptativa,122.9375,0.0,0.0,0.0,0.6018287838099214,0.25,60.0,0.19791432523848831,0.31281423741295294,0.5375,60.0,60.0,17.25,130.1875,0.2875
amostra_09,7,9,False,01,centralizada,131.0,0.0,0.0,0.0,0.6974526692852303,0.25,60.0,0.20674904648825088,0.33368957719178904,0.5208333333333334,60.0,60.0,17.9375,139.5625,0.2989583333333333
amostra_09,7,9,False,10,adaptativa,10.125,39.4375,112.6875,73.25,0.6870025474700616,0.6630682585786472,60.0,0.0,0.0,0.4604166666666667,60.0,60.0,18.1875,57.0,0.303125
amostra_09,7,9,False,10,centralizada,16.75,36.875,99.0,62.125,0.7527966538128134,0.6226559518982007,60.0,0.0,0.0,0.46145833333333336,60.0,60.0,17.25,62.6875,0.2875
amostra_09,7,9,False,11,adaptativa,10.125,35.625,123.625,88.0,0.6840405923651001,0.7132806838283081,60.0,0.15478168928034217,0.282131705972951,0.45624999999999993,60.0,60.0,17.6875,54.125,0.2947916666666667
amostra_09,7,9,False,11,centralizada,17.5625,38.5625,108.0,69.4375,0.7578771867802634,0.6844946961168569,60.0,0.1306822608668326,0.2398039912069025,0.44479166666666664,60.0,60.0,15.9375,66.0,0.265625
amostra_10,8,19,False,00,adaptativa,109.375,0.0,0.0,0.0,0.6091061842804223,0.25,60.0,0.0,0.0,0.5416666666666667,60.0,60.0,18.875,116.1875,0.3145833333333333
amostra_10,8,19,False,00,centralizada,121.375,0.0,0.0,0.0,0.6376863319946234,0.25,60.0,0.0,0.0,0.5583333333333335,60.0,60.0,18.5625,129.4375,0.30937499999999996
amostra_10,8,19,False,01,adaptativa,120.9375,0.0,0.0,0.0,0.6021425229746832,0.25,60.0,0.19524602024064255,0.3106270367501743,0.5364583333333333,60.0,60.0,17.0,128.375,0.2833333333333333
amostra_10,8,19,False,01,centralizada,127.0625,0.0,0.0,0.0,0.6202679466470592,0.25,60.0,0.18693611126208898,0.30275302752467703,0.5177083333333333,60.0,60.0,18.0625,135.625,0.30104166666666665
amostra_10,8,19,False,10,adaptativa,10.75,40.625,119.0,78.375,0.6860138961072658,0.6876509902579692,60.0,0.0,0.0,0.4739583333333333,60.0,60.0,18.25,58.8125,0.30416666666666664
amostra_10,8,19,False,10,centralizada,32.0625,38.0,80.8125,42.8125,0.6494411471481901,0.5112642597918691,60.0,0.0,0.0,0.5,60.0,60.0,18.625,78.0625,0.3104166666666667
amostra_10,8,19,False,11,adaptativa,9.1875,38.5625,127.5,88.9375,0.6819545076948869,0.7109490984211515,60.0,0.1477841224588775,0.2727332377381354,0.44270833333333337,60.0,60.0,17.625,56.5625,0.29374999999999996
amostra_10,8,19,False,11,centralizada,37.75,42.6875,102.3125,59.625,0.6918889133116082,0.600507424858045,60.0,0.14186919010936005,0.2580092725282835,0.453125,60.0,60.0,16.5,90.8125,0.27499999999999997
amostra_11,79,49,False,00,adaptativa,2.8125,34.5625,133.5,98.9375,0.7234478194191871,0.9297388825527882,60.0,0.0,0.0,0.428125,60.0,60.0,15.9375,44.8125,0.265625
amostra_11,79,49,False,00,centralizada,122.9375,0.0,0.0,0.0,0.644705051800698,0.525,60.0,0.0,0.0,0.503125,60.0,60.0,16.875,132.875,0.28125
amostra_11,79,49,False,01,adaptativa,1.875,33.5625,138.5,104.9375,0.728904438520031,0.9458464389253651,60.0,0.13007829962270065,0.26321806694197925,0.3927083333333333,60.0,60.0,15.5625,43.6875,0.259375
amostra_11,79,49,False,01,centralizada,129.5625,0.0,0.0,0.0,0.6456151119330136,0.525,60.0,0.1667661642131016,0.29241217749948445,0.47604166666666664,60.0,60.0,14.4375,139.375,0.24062499999999998
amostra_11,79,49,False,10,adaptativa,7.1875,43.9375,134.5625,90.625,0.7449372124473352,0.9267719382645061,60.0,0.0,0.0,0.4083333333333333,60.0,60.0,15.0625,60.3125,0.25104166666666666
amostra_11,79,49,False,10,centralizada,10.6875,41.875,116.6875,74.8125,0.7155398639298952,0.8218626750151927,60.0,0.0,0.0,0.4114583333333333,60.0,60.0,16.4375,61.625,0.2739583333333333
amostra_11,79,49,False,11,adaptativa,7.0625,41.5,135.0625,93.5625,0.7226300378930295,0.947790649024887,60.0,0.10976188768270734,0.2262138550396734,0.396875,60.0,60.0,16.5625,56.875,0.2760416666666667
amostra_11,79,49,False,11,centralizada,10.75,44.1875,131.5,87.3125,0.7357201687452393,0.8639312768443801,60.0,0.10533012857164574,0.22129475123119555,0.39479166666666665,60.0,60.0,15.375,66.0,0.25625
amostra_12,61,55,False,00,adaptativa,0.0625,36.5625,135.375,98.8125,0.7293242618362178,0.9216138825527883,60.0,0.0,0.0,0.42291666666666666,60.0,60.0,15.9375,44.0625,0.265625
amostra_12,61,55,False,00,centralizada,0.0,31.6875,116.625,84.9375,0.7527764859993065,0.9376019200855515,60.0,0.0,0.0,0.38645833333333335,60.0,60.0,16.25,39.25,0.2708333333333333
amostra_12,61,55,False,01,adaptativa,0.0,35.6875,142.875,107.1875,0.7272184459750979,0.9543953641537488,60.0,0.1299186413050162,0.2637278092943736,0.390625,60.0,60.0,15.625,43.9375,0.26041666666666663
amostra_12,61,55,False,01,centralizada,0.0,30.75,128.25,97.5,0.7465586775567579,0.9540525506148256,60.0,0.1073981413699774,0.23298556812371235,0.3791666666666667,60.0,60.0,15.75,39.375,0.26249999999999996
amostra_12,61,55,False,10,adaptativa,1.1875,35.8125,119.125,83.3125,0.7209339924173546,0.9240491222359698,60.0,0.0,0.0,0.41875,60.0,60.0,16.1875,44.5625,0.26979166666666665
amostra_12,61,55,False,10,centralizada,1.75,35.8125,130.9375,95.125,0.7621295945209454,0.936875,60.0,0.0,0.0,0.390625,60.0,60.0,15.1875,47.5,0.25312500000000004
amostra_12,61,55,False,11,adaptativa,2.4375,37.75,143.3125,105.5625,0.7370469484620806,0.9473230048671399,60.0,0.1021042644721751,0.21879108416391335,0.38958333333333334,60.0,60.0,16.9375,50.75,0.28229166666666666
amostra_12,61,55,False,11,centralizada,2.4375,37.0625,140.5,103.4375,0.771556667465066,0.9524324085326628,60.0,0.10363563951789441,0.2252343392734135,0.3729166666666667,60.0,60.0,16.0625,48.0625,0.2677083333333333
amostra_13,60,3,False,00,adaptativa,0.0625,36.6875,140.0,103.3125,0.7798980111093946,0.9244877316074083,60.0,0.0,0.0,0.4052083333333333,60.0,60.0,16.125,46.125,0.26875
amostra_13,60,3,False,00,centralizada,114.9375,0.0,0.0,0.0,0.6715264829547924,0.25,60.0,0.0,0.0,0.5489583333333333,60.0,60.0,19.25,122.125,0.3208333333333333
amostra_13,60,3,False,01,adaptativa,0.0,35.5,143.5,108.0,0.7708942199581799,0.953322397139932,60.0,0.1300787310406732,0.2524111840816966,0.4125,60.0,60.0,15.9375,45.1875,0.265625
amostra_13,60,3,False,01,centralizada,128.3125,0.0,0.0,0.0,0.6637661269547421,0.25,60.0,0.20728383261538458,0.3223031455997162,0.5458333333333334,60.0,60.0,18.375,136.4375,0.30625
amostra_13,60,3,False,10,adaptativa,1.25,37.3125,129.0625,91.75,0.7719017681106457,0.9303385512204706,60.0,0.0,0.0,0.4041666666666666,60.0,60.0,15.75,46.9375,0.2625
amostra_13,60,3,False,10,centralizada,7.9375,39.6875,107.625,67.9375,0.7655077109216042,0.649201237551498,60.0,0.0,0.0,0.44166666666666665,60.0,60.0,17.5625,56.5625,0.2927083333333333
amostra_13,60,3,False,11,adaptativa,1.8125,37.5625,150.0,112.4375,0.7717247373486937,0.948961958062323,60.0,0.10504479013534891,0.21626937905713545,0.39375,60.0,60.0,16.6875,49.4375,0.278125
amostra_13,60,3,False,11,centralizada,8.875,35.625,124.9375,89.3125,0.7497415150535853,0.7516379324381337,60.0,0.13524312907044098,0.2535674323579771,0.4375,60.0,60.0,16.5,54.4375,0.27499999999999997
amostra_14,8,14,False,00,adaptativa,109.375,0.0,0.0,0.0,0.6091061842804223,0.25,60.0,0.0,0.0,0.5416666666666667,60.0,60.0,18.875,116.1875,0.3145833333333333
amostra_14,8,14,False,00,centralizada,119.8125,0.0,0.0,0.0,0.61131349990347,0.25,60.0,0.0,0.0,0.5583333333333333,60.0,60.0,18.75,127.5625,0.3125
amostra_14,8,14,False,01,adaptativa,120.9375,0.0,0.0,0.0,0.6021425229746832,0.25,60.0,0.19524602024064255,0.3106270367501743,0.5364583333333333,60.0,60.0,17.0,128.375,0.2833333333333333
amostra_14,8,14,False,01,centralizada,132.1875,0.0,0.0,0.0,0.5976415529275343,0.25,60.0,0.19592278697151275,0.3090957062714538,0.5364583333333333,60.0,60.0,18.25,140.5,0.30416666666666664
amostra_14,8,14,False,10,adaptativa,10.75,40.625,119.0,78.375,0.6860138961072658,0.6876509902579692,60.0,0.0,0.0,0.4739583333333333,60.0,60.0,18.25,58.8125,0.30416666666666664
amostra_14,8,14,False,10,centralizada,16.875,41.375,107.5,66.125,0.6720787002502981,0.633529605859908,60.0,0.0,0.0,0.47916666666666674,60.0,60.0,16.0,66.4375,0.26666666666666666
amostra_14,8,14,False,11,adaptativa,9.1875,38.5625,127.5,88.9375,0.6819545076948869,0.7109490984211515,60.0,0.1477841224588775,0.2727332377381354,0.44270833333333337,60.0,60.0,17.625,56.5625,0.29374999999999996
amostra_14,8,14,False,11,centralizada,19.4375,42.125,117.5625,75.4375,0.6930758394049505,0.6928490918664209,60.0,0.12037981831959199,0.23477668589895734,0.43125,60.0,60.0,16.8125,69.625,0.28020833333333334
amostra_15,62,77,False,00,adaptativa,0.0625,38.8125,140.9375,102.125,0.730726375726326,0.9210090655971299,60.0,0.0,0.0,0.4302083333333333,60.0,60.0,15.5625,47.0625,0.259375
amostra_15,62,77,False,00,centralizada,1.4375,33.3125,129.25,95.9375,0.7324228368347007,0.9333836116125818,60.0,0.0,0.0,0.3979166666666667,60.0,60.0,16.3125,43.375,0.27187500000000003
amostra_15,62,77,False,01,adaptativa,0.0,36.9375,144.8125,107.875,0.7225855225654907,0.9479267305905456,60.0,0.13461748754212718,0.26912062271623616,0.40416666666666673,60.0,60.0,16.375,45.3125,0.27291666666666664
amostra_15,62,77,False,01,centralizada,2.8125,32.875,137.375,104.5,0.7343592603828638,0.9467251572860015,60.0,0.10835601038184939,0.2324877742486637,0.3875,60.0,60.0,15.75,44.125,0.2625
amostra_15,62,77,False,10,adaptativa,1.6875,35.875,121.875,86.0,0.7279569785890838,0.9246741222359698,60.0,0.0,0.0,0.4052083333333333,60.0,60.0,15.8125,45.6875,0.2635416666666667
amostra_15,62,77,False,10,centralizada,6.9375,44.1875,135.125,90.9375,0.7448551004198999,0.9277475186352286,60.0,0.0,0.0,0.3927083333333333,60.0,60.0,16.25,59.625,0.2708333333333333
amostra_15,62,77,False,11,adaptativa,2.4375,40.25,148.4375,108.1875,0.7435244485775802,0.9357135564337891,60.0,0.08692328834485383,0.18950047661574893,0.3979166666666667,60.0,60.0,16.625,54.5625,0.27708333333333335
amostra_15,62,77,False,11,centralizada,6.4375,43.5,141.3125,97.8125,0.7441058522985482,0.9531519476303703,60.0,0.10057518001340789,0.2134798332650278,0.3864583333333333,60.0,60.0,15.5625,59.6875,0.259375
amostra_16,78,51,False,00,adaptativa,2.5,34.0625,136.25,102.1875,0.7820892295492496,0.933029398274075,60.0,0.0,0.0,0.4083333333333333,60.0,60.0,16.25,45.9375,0.27083333333333337
amostra_16,78,51,False,00,centralizada,142.4375,0.0,0.0,0.0,0.7089134917091393,0.525,60.0,0.0,0.0,0.5114583333333333,60.0,60.0,16.625,152.75,0.27708333333333335
amostra_16,78,51,False,01,adaptativa,2.4375,34.375,143.375,109.0,0.7750232693303435,0.9460979145908657,60.0,0.1295057627586776,0.2529163120620612,0.4041666666666667,60.0,60.0,15.0,46.5,0.25
amostra_16,78,51,False,01,centralizada,154.6875,0.0,0.0,0.0,0.6908258440252059,0.525,60.0,0.16684199471510386,0.28029811134713606,0.49375,60.0,60.0,16.625,165.1875,0.27708333333333335
amostra_16,78,51,False,10,adaptativa,7.0625,42.125,130.3125,88.1875,0.7627664336321852,0.9279177715978394,60.0,0.0,0.0,0.4041666666666667,60.0,60.0,15.375,58.4375,0.25625
amostra_16,78,51,False,10,centralizada,11.75,41.625,117.5625,75.9375,0.7465963049198968,0.8481442352482065,60.0,0.0,0.0,0.396875,60.0,60.0,16.0,61.125,0.26666666666666666
