par,ai,ci,nominal,efeito,cenario,media,ic95_inf,ic95_sup,N_instancias
amostra_08,64,9,False,total_v2_menos_v1,contraste_A_menos_C,0.048958333333333326,-0.04038411293431106,0.1383007796009777,4
amostra_08,64,9,False,interacao,contraste_A_menos_C,0.018749999999999996,-0.1265585638870834,0.16405856388708337,4
amostra_08,64,9,False,assistencia_fuga_desligada,adaptativa,0.010416666666666671,-0.04108229912842203,0.061915632461755375,4
amostra_08,64,9,False,assistencia_fuga_desligada,centralizada,-0.01979166666666666,-0.08438550415689194,0.04480217082355862,4
amostra_08,64,9,False,assistencia_fuga_ligada,adaptativa,0.015625,-0.0396810271172756,0.0709310271172756,4
amostra_08,64,9,False,assistencia_fuga_ligada,centralizada,-0.033333333333333326,-0.08853991890696426,0.02187325224029761,4
amostra_08,64,9,False,fuga_assistencia_limiar,adaptativa,-0.008333333333333331,-0.04464786728026789,0.02798120061360123,4
amostra_08,64,9,False,fuga_assistencia_limiar,centralizada,-0.008333333333333331,-0.03193001960722364,0.01526335294055698,4
amostra_08,64,9,False,fuga_assistencia_logistica,adaptativa,-0.0031249999999999993,-0.059480819989399,0.053230819989399006,4
amostra_08,64,9,False,fuga_assistencia_logistica,centralizada,-0.021875,-0.12647864925469865,0.08272864925469867,4
amostra_08,64,9,False,total_v2_menos_v1,adaptativa,0.007291666666666672,-0.022543767445368075,0.03712710077870142,4
amostra_08,64,9,False,total_v2_menos_v1,centralizada,-0.04166666666666666,-0.11489847574931726,0.031565142415983946,4
amostra_09,7,9,False,assistencia_fuga_desligada,contraste_A_menos_C,0.011458333333333326,-0.06264368565061,0.08556035231727664,4
amostra_09,7,9,False,assistencia_fuga_ligada,contraste_A_menos_C,0.040624999999999994,-0.04451862210528425,0.12576862210528422,4
amostra_09,7,9,False,fuga_assistencia_limiar,contraste_A_menos_C,-0.015625000000000003,-0.07526516543416752,0.044015165434167516,4
amostra_09,7,9,False,fuga_assistencia_logistica,contraste_A_menos_C,0.013541666666666669,-0.08647907592182989,0.11356240925516324,4
amostra_09,7,9,False,total_v2_menos_v1,contraste_A_menos_C,0.024999999999999994,-0.10091366074494035,0.15091366074494034,4
amostra_09,7,9,False,interacao,contraste_A_menos_C,0.029166666666666674,-0.06270264488518724,0.12103597821852059,4
amostra_09,7,9,False,assistencia_fuga_desligada,adaptativa,-0.008333333333333335,-0.07123195118260875,0.054565284515942086,4
amostra_09,7,9,False,assistencia_fuga_desligada,centralizada,-0.01979166666666666,-0.08438550415689194,0.04480217082355862,4
amostra_09,7,9,False,assistencia_fuga_ligada,adaptativa,0.00729166666666667,-0.06316123296978174,0.07774456630311508,4
amostra_09,7,9,False,assistencia_fuga_ligada,centralizada,-0.033333333333333326,-0.08853991890696426,0.02187325224029761,4
amostra_09,7,9,False,fuga_assistencia_limiar,adaptativa,-0.023958333333333335,-0.0663684991583348,0.018451832491668128,4
amostra_09,7,9,False,fuga_assistencia_limiar,centralizada,-0.008333333333333331,-0.03193001960722364,0.01526335294055698,4
amostra_09,7,9,False,fuga_assistencia_logistica,adaptativa,-0.00833333333333333,-0.06688875987123812,0.05022209320457146,4
amostra_09,7,9,False,fuga_assistencia_logistica,centralizada,-0.021875,-0.12647864925469865,0.08272864925469867,4
amostra_09,7,9,False,total_v2_menos_v1,adaptativa,-0.016666666666666666,-0.10660167081671633,0.073268337483383,4
amostra_09,7,9,False,total_v2_menos_v1,centralizada,-0.04166666666666666,-0.11489847574931726,0.031565142415983946,4
amostra_10,8,19,False,assistencia_fuga_desligada,contraste_A_menos_C,-0.01145833333333333,-0.09642968693213316,0.0735130202654665,4
amostra_10,8,19,False,assistencia_fuga_ligada,contraste_A_menos_C,0.03645833333333332,-0.06544907480901727,0.1383657414756839,4
amostra_10,8,19,False,fuga_assistencia_limiar,contraste_A_menos_C,-0.02291666666666666,-0.07026502607680049,0.02443169274346716,4
amostra_10,8,19,False,fuga_assistencia_logistica,contraste_A_menos_C,0.02499999999999999,-0.04283034784551182,0.09283034784551181,4
amostra_10,8,19,False,total_v2_menos_v1,contraste_A_menos_C,0.013541666666666657,-0.09272963176777506,0.11981296510110838,4
amostra_10,8,19,False,interacao,contraste_A_menos_C,0.04791666666666666,-0.05328736364791681,0.14912069698125013,4
