par,ai,ci,nominal,canto,cenario,metrica,media,ic95_inf,ic95_sup,N_instancias
amostra_01,56,65,False,11,adaptativa,fracao_fuga,0.11281987590926276,0.04555701683528336,0.18008273498324218,4
amostra_01,56,65,False,11,adaptativa,fracao_fuga_p1,0.2311267807930155,0.1493016552155358,0.3129519063704952,4
amostra_01,56,65,False,11,adaptativa,n_executadas,60.0,60.0,60.0,4
amostra_01,56,65,False,11,adaptativa,n_concluidas,60.0,60.0,60.0,4
amostra_01,56,65,False,11,adaptativa,denominador_falha,60.0,60.0,60.0,4
amostra_01,56,65,False,11,adaptativa,numerador_falha,17.0625,13.634669593135172,20.490330406864828,4
amostra_01,56,65,False,11,adaptativa,bateria_media,0.7288124047618395,0.5441303990661357,0.9134944104575433,4
amostra_01,56,65,False,11,adaptativa,confianca_media_final,0.9472603966904068,0.9033830471134768,0.9911377462673369,4
amostra_01,56,65,False,11,centralizada,taxa_falha_efetiva,0.26875,0.2064364982900075,0.3310635017099925,4
amostra_01,56,65,False,11,centralizada,N_req,147.875,57.89376940732183,237.85623059267817,4
amostra_01,56,65,False,11,centralizada,N_success,105.375,32.43755011502043,178.31244988497957,4
amostra_01,56,65,False,11,centralizada,N_fail,42.5,18.081074775615743,66.91892522438425,4
amostra_01,56,65,False,11,centralizada,N_blocked,2.875,0.10936749014953806,5.640632509850462,4
amostra_01,56,65,False,11,centralizada,p2_bloqueio,54.5625,22.580341288952724,86.54465871104728,4
amostra_01,56,65,False,11,centralizada,fracao_porta1,0.38645833333333335,0.31621372062610653,0.45670294604056016,4
amostra_01,56,65,False,11,centralizada,fracao_fuga,0.10586220506602863,0.046933608513908515,0.16479080161814874,4
amostra_01,56,65,False,11,centralizada,fracao_fuga_p1,0.2255322842738495,0.1283099242043258,0.3227546443433732,4
amostra_01,56,65,False,11,centralizada,n_executadas,60.0,60.0,60.0,4
amostra_01,56,65,False,11,centralizada,n_concluidas,60.0,60.0,60.0,4
amostra_01,56,65,False,11,centralizada,denominador_falha,60.0,60.0,60.0,4
amostra_01,56,65,False,11,centralizada,numerador_falha,16.125,12.386189897400449,19.86381010259955,4
amostra_01,56,65,False,11,centralizada,bateria_media,0.7444980735488272,0.6148056072736805,0.874190539823974,4
amostra_01,56,65,False,11,centralizada,confianca_media_final,0.9505123080071817,0.9207755308753056,0.9802490851390577,4
amostra_02,17,9,False,00,adaptativa,taxa_falha_efetiva,0.3145833333333333,0.24686108172837307,0.3823055849382936,4
amostra_02,17,9,False,00,adaptativa,N_req,0.0,0.0,0.0,4
amostra_02,17,9,False,00,adaptativa,N_success,0.0,0.0,0.0,4
amostra_02,17,9,False,00,adaptativa,N_fail,0.0,0.0,0.0,4
amostra_02,17,9,False,00,adaptativa,N_blocked,109.375,67.86381828195911,150.8861817180409,4
amostra_02,17,9,False,00,adaptativa,p2_bloqueio,116.1875,71.7264369127879,160.6485630872121,4
amostra_02,17,9,False,00,adaptativa,fracao_porta1,0.5416666666666667,0.49605211692146234,0.5872812164118711,4
amostra_02,17,9,False,00,adaptativa,fracao_fuga,0.0,0.0,0.0,4
amostra_02,17,9,False,00,adaptativa,fracao_fuga_p1,0.0,0.0,0.0,4
amostra_02,17,9,False,00,adaptativa,n_executadas,60.0,60.0,60.0,4
amostra_02,17,9,False,00,adaptativa,n_concluidas,60.0,60.0,60.0,4
amostra_02,17,9,False,00,adaptativa,denominador_falha,60.0,60.0,60.0,4
amostra_02,17,9,False,00,adaptativa,numerador_falha,18.875,14.811664903702386,22.938335096297614,4
amostra_02,17,9,False,00,adaptativa,bateria_media,0.6091061842804223,0.4276058270553464,0.7906065415054981,4
amostra_02,17,9,False,00,adaptativa,confianca_media_final,0.25,0.25,0.25,4
