kind,celula,cenario,metrica,incompletas,estatuto,media,ic95_inf,ic95_sup,N_instancias,sinal,evidencia
GOV,11,centralizada,taxa_falha_efetiva,0,COMPLETO,0.303125,0.26508611552946804,0.3411638844705319,4,positivo,positivo
GOV,11,centralizada,fracao_porta1,0,COMPLETO,0.5385416666666667,0.46503525293893105,0.6120480803944024,4,positivo,positivo
GOV,12,adaptativa,atraso_relativo,0,COMPLETO,2.924145319518603,1.774927648631181,4.073362990406025,4,positivo,positivo
GOV,12,adaptativa,taxa_omissao,0,COMPLETO,0.1708333333333333,0.14786600544536582,0.1938006612213008,4,positivo,positivo
GOV,12,adaptativa,divida_latente_sobre_plano,0,COMPLETO,0.04953070781969057,0.03805750474989989,0.061003910889481254,4,positivo,positivo
GOV,12,adaptativa,taxa_falha_efetiva,0,COMPLETO,0.3208333333333333,0.2879045958321474,0.3537620708345192,4,positivo,positivo
GOV,12,adaptativa,fracao_porta1,0,COMPLETO,0.5489583333333333,0.5079534512566343,0.5899632154100324,4,positivo,positivo
GOV,12,centralizada,atraso_relativo,0,COMPLETO,2.924145319518603,1.774927648631181,4.073362990406025,4,positivo,positivo
GOV,12,centralizada,taxa_omissao,0,COMPLETO,0.1708333333333333,0.14786600544536582,0.1938006612213008,4,positivo,positivo
GOV,12,centralizada,divida_latente_sobre_plano,0,COMPLETO,0.04953070781969057,0.03805750474989989,0.061003910889481254,4,positivo,positivo
GOV,12,centralizada,taxa_falha_efetiva,0,COMPLETO,0.3208333333333333,0.2879045958321474,0.3537620708345192,4,positivo,positivo
GOV,12,centralizada,fracao_porta1,0,COMPLETO,0.5489583333333333,0.5079534512566343,0.5899632154100324,4,positivo,positivo
GOV,13,adaptativa,atraso_relativo,0,COMPLETO,2.382257220203108,1.3710470137455442,3.3934674266606715,4,positivo,positivo
GOV,13,adaptativa,taxa_omissao,0,COMPLETO,0.15729166666666666,0.13002216236831296,0.18456117096502037,4,positivo,positivo
GOV,13,adaptativa,divida_latente_sobre_plano,0,COMPLETO,0.03914602985597002,0.028476555628281663,0.04981550408365838,4,positivo,positivo
GOV,13,adaptativa,taxa_falha_efetiva,0,COMPLETO,0.3104166666666666,0.2662713089166144,0.35456202441671886,4,positivo,positivo
GOV,13,adaptativa,fracao_porta1,0,COMPLETO,0.5614583333333334,0.5033109635196868,0.6196057031469799,4,positivo,positivo
