arquivo,semente,cenario,lei,concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,E_plano,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,N_req,N_success,N_fail,N_blocked,violacoes
j6010_1.sm,6,centralizada,crowder_eq3,True,233,85,0.7728134139958569,8.881784197001252e-16,30.6034846964953,232.0,522.0,0.0,98.0,55.454114209770275,45,15,1,0,0.25,323.0,0.17168456411693583,0.09474763063930433,0.08209901019649181,0,0,0,95,0
j6010_1.sm,6,adaptativa,unitario,True,135,85,0.7616654015578257,0.0,5.0,292.0,431.0,32.0,44.0,58.86527249167487,56,4,12,0,0.06666666666666667,323.0,0.18224542567082003,0.015479876160990712,0.1040270102324417,75,32,43,0,0
j6010_1.sm,6,adaptativa,crowder_eq3,True,135,85,0.7996867652025131,0.0,5.0,292.0,431.0,5.095754193383841,44.0,58.86527249167487,56,4,12,0,0.06666666666666667,323.0,0.18224542567082003,0.015479876160990712,0.10921990566503935,75,32,43,0,0
j6010_1.sm,7,centralizada,unitario,True,232,85,0.6871463458652652,4.6629367034256575e-15,38.781999366110696,213.0,517.0,0.0,157.0,78.38703241444973,39,21,0,0,0.35,323.0,0.24268431088064935,0.12006810949260277,0.10418445432652075,0,0,0,156,0
j6010_1.sm,7,centralizada,crowder_eq3,True,232,85,0.6871463458652652,4.6629367034256575e-15,38.781999366110696,213.0,517.0,0.0,157.0,78.38703241444973,39,21,0,0,0.35,323.0,0.24268431088064935,0.12006810949260277,0.10418445432652075,0,0,0,156,0
j6010_1.sm,7,adaptativa,unitario,True,135,85,0.6667994807951441,0.0,6.5,291.0,387.0,86.0,42.0,65.38437513255238,52,8,14,0,0.13333333333333333,323.0,0.2024284059831343,0.020123839009287926,0.11265702168088075,122,86,36,0,0
j6010_1.sm,7,adaptativa,crowder_eq3,True,135,85,0.7693781258672541,0.0,6.5,291.0,387.0,8.619267665022662,42.0,65.38437513255238,52,8,14,0,0.13333333333333333,323.0,0.2024284059831343,0.020123839009287926,0.12998787597024455,122,86,36,0,0
j6010_1.sm,8,centralizada,unitario,True,203,85,0.6185611831849088,0.0,27.533692630665936,184.0,521.0,0.0,220.0,101.27723006707886,34,26,3,0,0.43333333333333335,323.0,0.31355179587330917,0.08524363043549825,0.12024215596925629,0,0,0,199,0
j6010_1.sm,8,centralizada,crowder_eq3,True,203,85,0.6185611831849088,0.0,27.533692630665936,184.0,521.0,0.0,220.0,101.27723006707886,34,26,3,0,0.43333333333333335,323.0,0.31355179587330917,0.08524363043549825,0.12024215596925629,0,0,0,199,0
j6010_1.sm,8,adaptativa,unitario,True,158,85,0.5580187640913169,0.0,5.597542009524315,295.0,418.0,159.0,75.0,97.07875307862668,55,5,22,0,0.08333333333333333,323.0,0.3005534151041074,0.017329851422675898,0.1295975258671325,220,159,61,0,0
j6010_1.sm,8,adaptativa,crowder_eq3,True,158,85,0.6897393930249494,0.0,5.597542009524315,295.0,418.0,15.947239096188888,75.0,97.07875307862668,55,5,22,0,0.08333333333333333,323.0,0.3005534151041074,0.017329851422675898,0.1601890914451457,220,159,61,0,0
j6010_1.sm,9,centralizada,unitario,True,218,85,0.6983208350688197,2.4424906541753444e-15,39.05552525875578,203.0,506.0,0.0,125.0,93.59530718445994,41,19,3,0,0.31666666666666665,323.0,0.2897687528930648,0.12091493888159684,0.12916907721655094,0,0,0,114,0
j6010_1.sm,9,centralizada,crowder_eq3,True,218,85,0.6983208350688197,2.4424906541753444e-15,39.05552525875578,203.0,506.0,0.0,125.0,93.59530718445994,41,19,3,0,0.31666666666666665,323.0,0.2897687528930648,0.12091493888159684,0.12916907721655094,0,0,0,114,0
