metrica,sentido,braco,media_referencia_centralizada,media_braco,efeito_total_adaptativa,fracao_do_efeito_total_pct,dif_absoluta,dif_relativa_pct,p_valor,d_cohen_pareado,prop_instancias_com_dif,n_instancias
TU,menor e melhor,so_tau_min,126.265625,126.265625,-120.32291666666666,-0.0,0.0,0.0,,,0.0,16
TU,menor e melhor,so_p_reporte,126.265625,122.98958333333333,-120.32291666666666,2.7227079906501603,-3.276041666666667,-2.594563379119746,0.12709364815965674,-0.3738035009426415,1.0,16
TU,menor e melhor,so_p_deteccao,126.265625,126.21354166666666,-120.32291666666666,0.04328629555882657,-0.052083333333333925,-0.041249020335767494,0.899932861328125,-0.005498419057909921,1.0,16
TU,menor e melhor,so_par_tau,126.265625,6.177083333333334,-120.32291666666666,99.80521166998528,-120.08854166666666,-95.10786618817802,3.0517578125e-05,-4.480756109212074,1.0,16
TU,menor e melhor,sem_par_tau,126.265625,123.421875,-120.32291666666666,2.3634317375119025,-2.8437499999999982,-2.2521965103328783,0.2774499442058431,-0.2861438619749355,1.0,16
TR,menor e melhor,centralizada,68.86531966000788,68.86531966000788,-16.356413347129973,-0.0,0.0,0.0,,,0.0,16
TR,menor e melhor,adaptativa,68.86531966000788,52.50890631287791,-16.356413347129973,100.0,-16.356413347129973,-23.751306794018447,3.0517578125e-05,-3.142964173418213,1.0,16
TR,menor e melhor,so_tau_inicial,68.86531966000788,53.93969140982156,-16.356413347129973,91.25245207137839,-14.925628250186318,-21.67364984853772,3.0517578125e-05,-2.338208549696021,1.0,16
TR,menor e melhor,so_tau_min,68.86531966000788,68.86531966000788,-16.356413347129973,-0.0,0.0,0.0,,,0.0,16
TR,menor e melhor,so_p_reporte,68.86531966000788,67.20774366388343,-16.356413347129973,10.13410434760932,-1.6575759961244496,-2.406982214426651,0.231201171875,-0.338049801367616,1.0,16
TR,menor e melhor,so_p_deteccao,68.86531966000788,68.19869290603268,-16.356413347129973,4.075629172652134,-0.6666267539751964,-0.968015188583124,0.4637451171875,-0.09065588518520663,1.0,16
TR,menor e melhor,so_par_tau,68.86531966000788,53.93969140982156,-16.356413347129973,91.25245207137839,-14.925628250186318,-21.67364984853772,3.0517578125e-05,-2.338208549696021,1.0,16
TR,menor e melhor,sem_par_tau,68.86531966000788,67.93802798617062,-16.356413347129973,5.6692849108020065,-0.927291673837245,-1.3465292521915797,0.2978515625,-0.21557092642978185,1.0,16
TW,informativa,centralizada,696.796875,696.796875,-149.60416666666669,-0.0,0.0,0.0,,,0.0,16
TW,informativa,adaptativa,696.796875,547.1927083333333,-149.60416666666669,100.0,-149.60416666666669,-21.47026946219681,3.0517578125e-05,-6.498852419526266,1.0,16
TW,informativa,so_tau_inicial,696.796875,549.5364583333333,-149.60416666666669,98.43336582648655,-147.26041666666669,-21.133908883656616,3.0517578125e-05,-6.783549266150521,1.0,16
TW,informativa,so_tau_min,696.796875,696.796875,-149.60416666666669,-0.0,0.0,0.0,,,0.0,16
TW,informativa,so_p_reporte,696.796875,697.2135416666667,-149.60416666666669,-0.27851274195794296,0.4166666666666643,0.05979743618492323,0.7173356752327977,0.0485566590231655,1.0,16
TW,informativa,so_p_deteccao,696.796875,698.171875,-149.60416666666669,-0.9190920484612123,1.374999999999993,0.19733153941024675,0.5618896484375,0.16674778333595078,1.0,16
TW,informativa,so_par_tau,696.796875,549.5364583333333,-149.60416666666669,98.43336582648655,-147.26041666666669,-21.133908883656616,3.0517578125e-05,-6.783549266150521,1.0,16
TW,informativa,sem_par_tau,696.796875,697.6354166666667,-149.60416666666669,-0.5605068931903571,0.8385416666666572,0.12034234032215733,0.899932861328125,0.08287186842226499,1.0,16
n_com_erro,menor e melhor,centralizada,13.020833333333332,13.020833333333332,-9.197916666666666,-0.0,0.0,0.0,,,0.0,16
n_com_erro,menor e melhor,adaptativa,13.020833333333332,3.8229166666666665,-9.197916666666666,100.0,-9.197916666666666,-70.64,0.00043680902321148305,-7.815444732066754,1.0,16
n_com_erro,menor e melhor,so_tau_inicial,13.020833333333332,12.041666666666668,-9.197916666666666,10.645526613816534,-0.9791666666666665,-7.52,0.007714008711240011,-0.8411474543578362,1.0,16
n_com_erro,menor e melhor,so_tau_min,13.020833333333332,13.020833333333332,-9.197916666666666,-0.0,0.0,0.0,,,0.0,16
n_com_erro,menor e melhor,so_p_reporte,13.020833333333332,3.765625,-9.197916666666666,100.6228765571914,-9.255208333333334,-71.08000000000001,0.0004358423668112835,-11.253749820692569,1.0,16
n_com_erro,menor e melhor,so_p_deteccao,13.020833333333332,12.927083333333332,-9.197916666666666,1.0192525481313692,-0.09374999999999989,-0.7199999999999992,0.5345151908359941,-0.07379892470830143,1.0,16
n_com_erro,menor e melhor,so_par_tau,13.020833333333332,12.041666666666668,-9.197916666666666,10.645526613816534,-0.9791666666666665,-7.52,0.007714008711240011,-0.8411474543578362,1.0,16
n_com_erro,menor e melhor,sem_par_tau,13.020833333333332,3.8697916666666665,-9.197916666666666,99.49037372593432,-9.151041666666666,-70.28,0.00043295147541086676,-9.720236059224273,1.0,16
taxa_omissao,menor e melhor,centralizada,0.21701388888888884,0.21701388888888884,-0.1532986111111111,-0.0,0.0,0.0,,,0.0,16
taxa_omissao,menor e melhor,adaptativa,0.21701388888888884,0.06371527777777775,-0.1532986111111111,100.0,-0.1532986111111111,-70.64,3.0517578125e-05,-7.815444732066755,1.0,16
taxa_omissao,menor e melhor,so_tau_inicial,0.21701388888888884,0.2006944444444444,-0.1532986111111111,10.64552661381654,-0.01631944444444445,-7.520000000000004,0.007150446793058355,-0.8411474543578371,1.0,16
taxa_omissao,menor e melhor,so_tau_min,0.21701388888888884,0.21701388888888884,-0.1532986111111111,-0.0,0.0,0.0,,,0.0,16
taxa_omissao,menor e melhor,so_p_reporte,0.21701388888888884,0.06276041666666662,-0.1532986111111111,100.6228765571914,-0.15425347222222222,-71.08000000000001,0.0004339135941093194,-11.253749820692569,1.0,16
taxa_omissao,menor e melhor,so_p_deteccao,0.21701388888888884,0.21545138888888887,-0.1532986111111111,1.0192525481313703,-0.0015624999999999997,-0.7200000000000001,0.596588134765625,-0.07379892470830153,1.0,16
taxa_omissao,menor e melhor,so_par_tau,0.21701388888888884,0.2006944444444444,-0.1532986111111111,10.64552661381654,-0.01631944444444445,-7.520000000000004,0.007150446793058355,-0.8411474543578371,1.0,16
taxa_omissao,menor e melhor,sem_par_tau,0.21701388888888884,0.06449652777777774,-0.1532986111111111,99.49037372593432,-0.1525173611111111,-70.28000000000002,0.0004358423668112835,-9.720236059224275,1.0,16
retrabalho_sobre_plano,menor e melhor,centralizada,0.20309877307027008,0.20309877307027008,-0.04863059821575157,-0.0,0.0,0.0,,,0.0,16
retrabalho_sobre_plano,menor e melhor,adaptativa,0.20309877307027008,0.15446817485451853,-0.04863059821575157,100.0,-0.04863059821575157,-23.944309205120547,3.0517578125e-05,-3.0736131015502792,1.0,16
retrabalho_sobre_plano,menor e melhor,so_tau_inicial,0.20309877307027008,0.15861533200338163,-0.04863059821575157,91.47212392809959,-0.044483441066888466,-21.902368189835226,3.0517578125e-05,-2.257574843125025,1.0,16
retrabalho_sobre_plano,menor e melhor,so_tau_min,0.20309877307027008,0.20309877307027008,-0.04863059821575157,-0.0,0.0,0.0,,,0.0,16
retrabalho_sobre_plano,menor e melhor,so_p_reporte,0.20309877307027008,0.19791933506647608,-0.04863059821575157,10.650574317048704,-0.005179438003793982,-2.550206446595298,0.21142578125,-0.36218643552057994,1.0,16
retrabalho_sobre_plano,menor e melhor,so_p_deteccao,0.20309877307027008,0.20061228886782,-0.04863059821575157,5.113003527981923,-0.002486484202450092,-1.224273374408714,0.49542236328125,-0.11914152714315758,1.0,16
retrabalho_sobre_plano,menor e melhor,so_par_tau,0.20309877307027008,0.15861533200338163,-0.04863059821575157,91.47212392809959,-0.044483441066888466,-21.902368189835226,3.0517578125e-05,-2.257574843125025,1.0,16
retrabalho_sobre_plano,menor e melhor,sem_par_tau,0.20309877307027008,0.19985579163348355,-0.04863059821575157,6.668602805169956,-0.00324298143678654,-1.596750875331237,0.21142578125,-0.2564796005055047,1.0,16
divida_latente_sobre_plano,menor e melhor,centralizada,0.07412735814984966,0.07412735814984966,-0.053982899746332885,-0.0,0.0,0.0,,,0.0,16
divida_latente_sobre_plano,menor e melhor,adaptativa,0.07412735814984966,0.020144458403516783,-0.053982899746332885,100.0,-0.053982899746332885,-72.8245294230041,3.0517578125e-05,-6.725609296516638,1.0,16
divida_latente_sobre_plano,menor e melhor,so_tau_inicial,0.07412735814984966,0.06192645091883746,-0.053982899746332885,22.60142987565434,-0.012200907231012213,-16.459384949815533,0.000762939453125,-1.2892940443806935,1.0,16
divida_latente_sobre_plano,menor e melhor,so_tau_min,0.07412735814984966,0.07412735814984966,-0.053982899746332885,-0.0,0.0,0.0,,,0.0,16
divida_latente_sobre_plano,menor e melhor,so_p_reporte,0.07412735814984966,0.02976264503343264,-0.053982899746332885,82.18290111292283,-0.04436471311641703,-59.84931100165884,3.0517578125e-05,-5.312237738399955,1.0,16
divida_latente_sobre_plano,menor e melhor,so_p_deteccao,0.07412735814984966,0.04332846957235004,-0.053982899746332885,57.05304591310295,-0.030798888577499635,-41.548612207707684,3.0517578125e-05,-4.486623976831026,1.0,16
divida_latente_sobre_plano,menor e melhor,so_par_tau,0.07412735814984966,0.06192645091883746,-0.053982899746332885,22.60142987565434,-0.012200907231012213,-16.459384949815533,0.000762939453125,-1.2892940443806935,1.0,16
divida_latente_sobre_plano,menor e melhor,sem_par_tau,0.07412735814984966,0.023514484085089497,-0.053982899746332885,93.75723479581765,-0.05061287406476017,-68.27826504007525,3.0517578125e-05,-6.123736114329508,1.0,16
S_UR_maximo,menor e melhor,centralizada,25.112262752683552,25.112262752683552,-18.288780269161144,-0.0,0.0,0.0,,,0.0,16
S_UR_maximo,menor e melhor,adaptativa,25.112262752683552,6.82348248352241,-18.288780269161144,100.0,-18.288780269161144,-72.82808582116625,3.0517578125e-05,-6.4857647609398485,1.0,16
S_UR_maximo,menor e melhor,so_tau_inicial,25.112262752683552,21.02563172881773,-18.288780269161144,22.345016801130097,-4.086631023865824,-16.273448012681044,0.000762939453125,-1.3055789005376832,1.0,16
S_UR_maximo,menor e melhor,so_tau_min,25.112262752683552,25.112262752683552,-18.288780269161144,-0.0,0.0,0.0,,,0.0,16
S_UR_maximo,menor e melhor,so_p_reporte,25.112262752683552,10.095208776355943,-18.288780269161144,82.11074634457512,-15.01705397632761,-59.7996848162273,3.0517578125e-05,-5.441431151973885,1.0,16
S_UR_maximo,menor e melhor,so_p_deteccao,25.112262752683552,14.644685961112891,-18.288780269161144,57.23496393699513,-10.46757679157066,-41.68312865574837,3.0517578125e-05,-4.112902160393344,1.0,16
S_UR_maximo,menor e melhor,so_par_tau,25.112262752683552,21.02563172881773,-18.288780269161144,22.345016801130097,-4.086631023865824,-16.273448012681044,0.000762939453125,-1.3055789005376832,1.0,16
S_UR_maximo,menor e melhor,sem_par_tau,25.112262752683552,7.989371394114272,-18.288780269161144,93.62511390353458,-17.12289135856928,-68.18537830383082,3.0517578125e-05,-6.271458891979094,1.0,16
