celula,arquivo,semente,A,B,C,D,atraso_relativo,E_total,TW,TL,TU,TR,n_com_erro,taxa_omissao,S_UR_maximo,retrabalho_sobre_plano,divida_latente_sobre_plano,p2_ajuda
0111,j602_1.sm,3,0,1,1,1,2.4153846153846152,0.8048362881126979,658.0,0.0,117.0,42.55757005313227,2,0.0333333333333333,4.013675213675214,0.1313505248553465,0.0123878864619605,0
0111,j602_1.sm,4,0,1,1,1,2.753846153846154,0.8002043316160384,725.0,0.0,125.0,56.018589696758056,3,0.05,8.70997150997151,0.1728968817801174,0.026882628117196,0
0111,j602_1.sm,5,0,1,1,1,2.4461538461538463,0.8243821050941167,659.0,0.0,78.0,62.38659018412872,3,0.05,3.0,0.1925512042720022,0.0092592592592592,0
0111,j602_1.sm,6,0,1,1,1,2.4153846153846152,0.7966639708191533,662.0,0.0,121.0,47.965155006711534,5,0.0833333333333333,9.90287180709998,0.1480406018725664,0.0305644191577159,0
0111,j602_1.sm,7,0,1,1,1,2.5538461538461537,0.7860389312704051,685.0,0.0,130.0,56.45810817906328,6,0.1,2.579763700351936,0.1742534203057508,0.0079622336430615,0
0111,j602_1.sm,8,0,1,1,1,3.2153846153846155,0.7125831242454451,740.0,0.0,206.0,92.47533687187246,3,0.05,11.346512553319688,0.285417706394668,0.0350201004732089,0
0111,j602_1.sm,9,0,1,1,1,2.5846153846153848,0.7596985468666515,682.0,0.0,132.0,83.72450245282654,2,0.0333333333333333,8.70997150997151,0.2584089581877362,0.026882628117196,0
0111,j602_1.sm,10,0,1,1,1,3.0,0.708343791287814,770.0,0.0,213.0,104.04277424397414,9,0.15,17.572910999682502,0.3211196735925127,0.0542373796286497,0
0111,j602_1.sm,11,0,1,1,1,2.3846153846153846,0.835175536777202,674.0,0.0,59.0,74.0159748702044,10,0.1666666666666666,12.401602523622548,0.2284443668833469,0.038276550998835,0
0111,j6032_1.sm,0,0,1,1,1,2.4782608695652173,0.8219449174524952,701.0,0.0,97.0,54.85520369497844,8,0.1333333333333333,10.0,0.1627750851483039,0.029673590504451,0
0111,j6032_1.sm,1,0,1,1,1,2.5942028985507246,0.8263753413307691,733.0,0.0,105.0,49.006137936787496,5,0.0833333333333333,3.250108766985563,0.1454188069340875,0.0096442396646455,0
0111,j6032_1.sm,2,0,1,1,1,2.4057971014492754,0.7907897689484125,709.0,0.0,126.0,61.572044606525445,3,0.05,5.436141300988615,0.1827063638175829,0.0161309830889869,0
0111,j6032_1.sm,3,0,1,1,1,2.463768115942029,0.7760860613232585,713.0,0.0,147.0,58.71254430765804,2,0.0333333333333333,15.931894768537074,0.1742211997259882,0.0472756521321574,0
0111,j6032_1.sm,4,0,1,1,1,2.550724637681159,0.8158311352017682,707.0,0.0,126.0,33.60090488596945,2,0.0333333333333333,5.0,0.0997059492165265,0.0148367952522255,0
0111,j6032_1.sm,5,0,1,1,1,2.333333333333333,0.8076352665340304,695.0,0.0,116.0,49.53696365018209,3,0.05,9.291225861428266,0.1469939574189379,0.0275704031496387,0
0111,j6032_1.sm,6,0,1,1,1,2.318840579710145,0.8208958161459154,671.0,0.0,68.0,78.39970749312326,4,0.0666666666666666,5.0,0.2326400815819681,0.0148367952522255,0
0111,j6032_1.sm,7,0,1,1,1,2.6666666666666665,0.7516996482716348,699.0,0.0,160.0,70.89267935297589,6,0.1,9.583515337519378,0.2103640336883557,0.0284377309718675,0
0111,j6032_1.sm,8,0,1,1,1,2.971014492753623,0.7207209165368855,749.0,0.0,218.0,72.23721764451835,3,0.05,12.031462687792567,0.2143537615564343,0.0357016696967138,0
0111,j6032_1.sm,9,0,1,1,1,2.579710144927536,0.7518372824622611,676.0,0.0,150.0,73.13072385304623,5,0.0833333333333333,11.658615801363243,0.2170051152909383,0.0345952991138375,0
0111,j6032_1.sm,10,0,1,1,1,2.449275362318841,0.7457613303548088,716.0,0.0,173.0,71.09268764223881,4,0.0666666666666666,9.285046362958454,0.2109575300956641,0.0275520663589271,0
0111,j6032_1.sm,11,0,1,1,1,2.231884057971014,0.8690606258021589,684.0,0.0,37.0,66.05671352750036,3,0.05,5.0,0.1960139867284877,0.0148367952522255,0
0111,j6035_1.sm,0,0,1,1,1,2.423076923076923,0.8120308855860779,732.0,0.0,89.0,80.44354481256438,3,0.05,11.992341349513003,0.2278853960695875,0.0339726383838895,0
0111,j6035_1.sm,1,0,1,1,1,2.4871794871794872,0.8368488681452215,728.0,0.0,80.0,61.93007663800458,4,0.0666666666666666,9.73547229822701,0.1754393105892481,0.0275792416380368,0
0111,j6035_1.sm,2,0,1,1,1,2.435897435897436,0.810428360529106,751.0,0.0,103.0,72.67043328751859,6,0.1,8.651382602111275,0.2058652501062849,0.0245081660116466,0
0111,j6035_1.sm,3,0,1,1,1,2.7051282051282053,0.7450345044699163,737.0,0.0,174.0,78.21592970297036,4,0.0666666666666666,8.787965586030063,0.2215748716798027,0.0248950866459775,0
0111,j6035_1.sm,4,0,1,1,1,2.6794871794871797,0.7524443254574201,769.0,0.0,188.0,65.00252428312949,0,0.0,0.0,0.18414312828082,0.0,0
0111,j6035_1.sm,5,0,1,1,1,2.6794871794871797,0.7768700065164211,723.0,0.0,118.0,89.65763118081902,1,0.0166666666666666,0.5,0.253987623741697,0.0014164305949008,0
0111,j6035_1.sm,6,0,1,1,1,2.5384615384615383,0.7994277138318489,687.0,0.0,104.0,68.36475320206779,4,0.0666666666666666,7.0928248589829295,0.1936678560965093,0.0200929882690734,0
0111,j6035_1.sm,7,0,1,1,1,2.358974358974359,0.8074047568389423,713.0,0.0,88.0,82.07629347076818,6,0.1,10.744763582947051,0.2325107463761138,0.0304384237477253,0
0111,j6035_1.sm,8,0,1,1,1,2.7051282051282053,0.7276640014129817,822.0,0.0,200.0,107.6422502746271,5,0.0833333333333333,9.72254901960784,0.3049355531859125,0.0275426317835916,0
0111,j6035_1.sm,9,0,1,1,1,2.58974358974359,0.7853463758003817,726.0,0.0,133.0,65.43286474722807,3,0.05,7.597996357012749,0.1853622230799662,0.0215240690000361,0
0111,j6035_1.sm,10,0,1,1,1,2.641025641025641,0.7229084145192303,742.0,0.0,188.0,96.40941106414785,7,0.1166666666666666,13.493231302686205,0.2731144789352629,0.0382244512823971,0
0111,j6035_1.sm,11,0,1,1,1,2.333333333333333,0.8172899296831614,734.0,0.0,95.0,69.09010651158964,6,0.1,8.0,0.1957226813359479,0.0226628895184136,0
0111,j6038_1.sm,0,0,1,1,1,2.547945205479452,0.8736871429789909,693.0,0.0,74.0,26.19010880381499,3,0.05,6.628235303530907,0.0768038381343548,0.0194376401863076,0
0111,j6038_1.sm,1,0,1,1,1,2.602739726027397,0.8279060347051795,696.0,0.0,69.0,75.6751138706801,4,0.0666666666666666,13.418589462114213,0.2219211550459826,0.039350702234939,0
0111,j6038_1.sm,2,0,1,1,1,2.547945205479452,0.811968268431731,710.0,0.0,78.0,86.41840722584308,4,0.0666666666666666,4.868504875230272,0.2534264141520325,0.0142771403965697,0
0111,j6038_1.sm,3,0,1,1,1,2.452054794520548,0.8745825899346336,706.0,0.0,42.0,59.2422297507278,1,0.0166666666666666,9.19747277830418,0.1737308790343923,0.0269720609334433,0
0111,j6038_1.sm,4,0,1,1,1,2.493150684931507,0.869421937542027,686.0,0.0,62.0,41.030009916030544,5,0.0833333333333333,10.140874878903048,0.1203226097244297,0.0297386360085133,0
0111,j6038_1.sm,5,0,1,1,1,2.5342465753424657,0.7800088838114951,711.0,0.0,106.0,94.52807968765076,2,0.0333333333333333,4.492664776358995,0.2772084448318204,0.013174970018648,0
0111,j6038_1.sm,6,0,1,1,1,2.3013698630136985,0.8821594227182364,638.0,0.0,37.0,48.22528510107914,5,0.0833333333333333,4.5,0.1414231234635752,0.0131964809384164,0
0111,j6038_1.sm,7,0,1,1,1,2.671232876712329,0.8031827834053539,721.0,0.0,124.0,52.678604293641214,2,0.0333333333333333,4.0,0.1544827105385373,0.0117302052785923,0
0111,j6038_1.sm,8,0,1,1,1,3.26027397260274,0.7236882178005251,756.0,0.0,216.0,72.64876089551217,3,0.05,3.5,0.213046219634933,0.0102639296187683,0
0111,j6038_1.sm,9,0,1,1,1,2.684931506849315,0.7764774456767147,674.0,0.0,135.0,59.02263704207955,5,0.0833333333333333,10.140874878903048,0.1730869121468608,0.0297386360085133,0
0111,j6038_1.sm,10,0,1,1,1,2.808219178082192,0.7734000634714374,776.0,0.0,157.0,70.36169681302142,4,0.0666666666666666,5.0,0.206339286841705,0.0146627565982404,0
0111,j6038_1.sm,11,0,1,1,1,2.410958904109589,0.8415080199391899,699.0,0.0,39.0,92.65161999348749,6,0.1,8.0,0.2717056304794354,0.0234604105571847,0
0111,j6040_1.sm,0,0,1,1,1,2.255813953488372,0.808331534476108,716.0,0.0,129.0,40.775167071826,0,0.0,0.0,0.1087337788582026,0.0,0
0111,j6040_1.sm,1,0,1,1,1,2.2674418604651163,0.8226216083472416,737.0,0.0,101.0,57.91616913726958,4,0.0666666666666666,9.931110403203334,0.1544431176993855,0.0264829610752088,0
0111,j6040_1.sm,2,0,1,1,1,2.069767441860465,0.8657003493119427,748.0,0.0,51.0,65.04031209472106,4,0.0666666666666666,7.5,0.1734408322525895,0.02,0
0111,j6040_1.sm,3,0,1,1,1,2.244186046511628,0.811776202593767,782.0,0.0,136.0,45.31969020694759,2,0.0333333333333333,5.564811251681382,0.1208525072185269,0.0148394966711503,0
0111,j6040_1.sm,4,0,1,1,1,2.4651162790697674,0.7799406081750783,765.0,0.0,162.0,53.84391552577756,4,0.0666666666666666,7.7378164577335005,0.1435837747354068,0.0206341772206226,0
0111,j6040_1.sm,5,0,1,1,1,2.4302325581395348,0.7999644100888226,748.0,0.0,133.0,54.04159755925541,3,0.05,8.38788507889058,0.144110926824681,0.0223676935437082,0
0111,j6040_1.sm,6,0,1,1,1,2.1627906976744184,0.8295130798398771,742.0,0.0,76.0,76.50066313991098,3,0.05,7.647507868898318,0.2040017683730959,0.0203933543170621,0
0111,j6040_1.sm,7,0,1,1,1,2.372093023255814,0.8080780586039011,779.0,0.0,112.0,73.01578004216738,3,0.05,6.0,0.194708746779113,0.016,0
0111,j6040_1.sm,8,0,1,1,1,2.7093023255813957,0.7290405422990981,837.0,0.0,237.0,74.08429907127204,4,0.0666666666666666,5.075830266162988,0.1975581308567254,0.0135355473764346,0
0111,j6040_1.sm,9,0,1,1,1,2.2209302325581395,0.7654183217752979,740.0,0.0,121.0,105.79159480224736,8,0.1333333333333333,19.55049411464417,0.2821109194726596,0.0521346509723844,0
0111,j6040_1.sm,10,0,1,1,1,2.383720930232558,0.7759959573217748,803.0,0.0,154.0,77.79920536110178,3,0.05,7.212556731663639,0.2074645476296047,0.0192334846177697,0
0111,j6040_1.sm,11,0,1,1,1,2.3372093023255816,0.8177111152926493,774.0,0.0,73.0,99.54455042230212,2,0.0333333333333333,7.209036387692901,0.2654521344594723,0.0192240970338477,0
0111,j6043_1.sm,0,0,1,1,1,2.287037037037037,0.7131935485305648,603.0,0.0,193.0,49.492785573280734,3,0.05,8.26584345454747,0.1481819927343734,0.0247480342950523,0
0111,j6043_1.sm,1,0,1,1,1,2.1203703703703702,0.7067789476249666,582.0,0.0,172.0,69.45406856801672,6,0.1,11.707847922430975,0.2079463130778943,0.0350534368935059,0
0111,j6043_1.sm,2,0,1,1,1,2.1666666666666665,0.7607701111888702,622.0,0.0,146.0,49.59258263707101,2,0.0333333333333333,7.630379952895851,0.1484807863385359,0.022845448960766,0
0111,j6043_1.sm,3,0,1,1,1,2.240740740740741,0.6729497651060634,589.0,0.0,233.0,53.25106707952842,5,0.0833333333333333,8.208653959452487,0.1594343325734384,0.0245768082618337,0
0111,j6043_1.sm,4,0,1,1,1,2.3703703703703702,0.6910335888998255,624.0,0.0,241.0,37.99518000775082,7,0.1166666666666666,9.0,0.1137580239753018,0.0269461077844311,0
0111,j6043_1.sm,5,0,1,1,1,2.064814814814815,0.7102526359100567,608.0,0.0,175.0,73.03342988084947,4,0.0666666666666666,7.628735876426166,0.2186629637151181,0.0228405265761262,0
