etapa,arquivo,cenario,P_max,semente,P_realizada_media,mu_cog_medio,defeitos_gerados,S_UR_maximo,fracao_heuristica
confirmatorio,j6010_1.sm,centralizada,0.2,1081,0.1999999999999999,0.9745996915585092,9,10.0,0.2415966386554622
confirmatorio,j6010_1.sm,centralizada,0.2,1082,0.2,0.9890382255152156,15,20.5,0.514161220043573
confirmatorio,j6010_1.sm,centralizada,0.2,1083,0.1999999999999999,0.9737651966064124,14,14.5,0.266384778012685
confirmatorio,j6010_1.sm,centralizada,0.2,1084,0.2,0.9853894084413934,12,12.5,0.4090909090909091
confirmatorio,j6010_1.sm,centralizada,0.2,1085,0.1999999999999999,0.9712351677106243,11,16.0,0.36875
confirmatorio,j6010_1.sm,centralizada,0.2,1086,0.2,0.9780390134546936,19,22.5,0.2291666666666666
confirmatorio,j6010_1.sm,centralizada,0.2,1087,0.2,0.9735660914062828,9,10.03078710414239,0.3229166666666667
confirmatorio,j6010_1.sm,centralizada,0.2,1088,0.2,0.981300308010936,13,13.5,0.3143459915611814
confirmatorio,j6010_1.sm,centralizada,0.2,1089,0.2,0.9801621085523342,9,15.5,0.3961456102783726
confirmatorio,j6010_1.sm,centralizada,0.2,1090,0.1999999999999999,0.9822902989949096,17,11.0,0.4173728813559322
confirmatorio,j6010_1.sm,centralizada,0.2,1091,0.1999999999999999,0.9820671195401116,8,7.0,0.3540772532188841
confirmatorio,j6010_1.sm,centralizada,0.2,1092,0.2,0.9769073052523988,10,9.5,0.4291754756871035
confirmatorio,j6010_1.sm,centralizada,0.2,1093,0.1999999999999999,0.964762845059541,8,10.0,0.1038696537678207
confirmatorio,j6010_1.sm,centralizada,0.2,1094,0.2,0.9890983435655204,12,16.5,0.421978021978022
confirmatorio,j6010_1.sm,centralizada,0.2,1095,0.2,0.9742239908894416,17,13.5,0.2541322314049586
confirmatorio,j6010_1.sm,centralizada,0.2,1096,0.1999999999999999,0.957303622276374,14,11.5,0.1821862348178137
confirmatorio,j6010_1.sm,centralizada,0.2,1097,0.1999999999999999,0.9751490827452276,13,10.5,0.2515337423312883
confirmatorio,j6010_1.sm,centralizada,0.2,1098,0.2,0.9814435419898612,15,12.5,0.230607966457023
confirmatorio,j6010_1.sm,centralizada,0.2,1099,0.2,0.9869763752592456,9,9.5,0.5853131749460043
confirmatorio,j6010_1.sm,centralizada,0.4,1000,0.3128618604989942,0.9041533361490786,16,19.5,0.3611111111111111
confirmatorio,j6010_1.sm,centralizada,0.4,1001,0.3371724678004406,0.9443526390670316,14,11.5,0.4372549019607843
confirmatorio,j6010_1.sm,centralizada,0.4,1002,0.3210472195383591,0.9253727546234916,11,18.5,0.4
confirmatorio,j6010_1.sm,centralizada,0.4,1003,0.3498035641672856,0.9255052230303964,14,21.945685055187525,0.5866666666666667
confirmatorio,j6010_1.sm,centralizada,0.4,1004,0.307886431727714,0.9215349235069168,12,16.0,0.361376673040153
confirmatorio,j6010_1.sm,centralizada,0.4,1005,0.3405513726484014,0.9652252138416632,12,14.5,0.443010752688172
confirmatorio,j6010_1.sm,centralizada,0.4,1006,0.3222424061323297,0.9348991107778284,8,16.1925357816387,0.2935606060606061
confirmatorio,j6010_1.sm,centralizada,0.4,1007,0.3318978628146113,0.9321535031299604,10,9.5,0.4043392504930966
confirmatorio,j6010_1.sm,centralizada,0.4,1008,0.2985574819389369,0.9148535640228423,17,22.16514656477901,0.4040590405904059
confirmatorio,j6010_1.sm,centralizada,0.4,1009,0.3351554031492116,0.9682398514239876,17,16.5,0.2468879668049792
confirmatorio,j6010_1.sm,centralizada,0.4,1010,0.3500625623027566,0.9026490640036484,18,28.88483504315496,0.7070524412296564
confirmatorio,j6010_1.sm,centralizada,0.4,1011,0.3079333054946102,0.96399262708506,9,12.5,0.3270042194092827
confirmatorio,j6010_1.sm,centralizada,0.4,1012,0.3479104202081757,0.9238176341304593,22,29.118644340032205,0.4127579737335834
confirmatorio,j6010_1.sm,centralizada,0.4,1013,0.3130528143976017,0.9036950072473832,13,16.5,0.4510166358595194
confirmatorio,j6010_1.sm,centralizada,0.4,1014,0.32131384017927,0.9363651313895704,13,15.5,0.5109780439121756
confirmatorio,j6010_1.sm,centralizada,0.4,1015,0.3075215769329263,0.9412602269458632,9,8.0,0.3499005964214712
confirmatorio,j6010_1.sm,centralizada,0.4,1016,0.3194211726841862,0.9510004855331006,15,18.5,0.3095723014256619
confirmatorio,j6010_1.sm,centralizada,0.4,1017,0.3285941268728841,0.9411850944654327,7,5.0,0.3704453441295546
confirmatorio,j6010_1.sm,centralizada,0.4,1018,0.2907105677439532,0.9548138619593156,12,11.5,0.2721649484536082
confirmatorio,j6010_1.sm,centralizada,0.4,1019,0.3290628286142084,0.9249662098189338,16,20.5,0.4323809523809523
confirmatorio,j6010_1.sm,centralizada,0.4,1020,0.335492871755582,0.931135188569736,13,14.161934564168458,0.5209923664122137
confirmatorio,j6010_1.sm,centralizada,0.4,1021,0.3432071827094972,0.9134455057050528,14,12.38869118808208,0.5055350553505535
confirmatorio,j6010_1.sm,centralizada,0.4,1022,0.3001594803300857,0.9488207591261354,14,16.0,0.2822085889570552
confirmatorio,j6010_1.sm,centralizada,0.4,1023,0.32721186069666,0.9178830482779524,12,13.50825598577443,0.4555765595463138
confirmatorio,j6010_1.sm,centralizada,0.4,1024,0.2959665539824589,0.9286308120157188,12,9.0,0.2679611650485436
confirmatorio,j6010_1.sm,centralizada,0.4,1025,0.3400187958333641,0.92240390571444,12,11.0,0.5753424657534246
confirmatorio,j6010_1.sm,centralizada,0.4,1026,0.3270864330282101,0.9633125347912378,13,18.5,0.3729166666666667
confirmatorio,j6010_1.sm,centralizada,0.4,1027,0.3134208757397971,0.940270485870332,14,12.5,0.3967935871743487
confirmatorio,j6010_1.sm,centralizada,0.4,1028,0.3384612009170749,0.9611669528722376,12,13.5,0.3034623217922607
confirmatorio,j6010_1.sm,centralizada,0.4,1029,0.3072540986786953,0.9520312893775568,14,8.0,0.3879668049792531
confirmatorio,j6010_1.sm,centralizada,0.4,1030,0.2882849703166126,0.9436836292905366,15,22.0,0.1939393939393939
confirmatorio,j6010_1.sm,centralizada,0.4,1031,0.313950794672499,0.963066180868141,14,17.0,0.3443983402489626
confirmatorio,j6010_1.sm,centralizada,0.4,1032,0.3056224137301932,0.9386985388816322,18,13.0,0.2754491017964072
confirmatorio,j6010_1.sm,centralizada,0.4,1033,0.3061271946189012,0.9255245305378216,10,12.642758011351775,0.4349514563106796
