arquivo,combinacao,makespan_cpm,makespan_recursos,razao_makespan,ativas_media,ativas_p90,ativas_max
j6029_5.sm,29,77,135,1.7532467532467533,2.414814814814815,3.0,4
j6029_6.sm,29,77,194,2.5194805194805197,2.1030927835051547,3.0,3
j6029_7.sm,29,73,151,2.0684931506849313,2.0397350993377485,3.0,4
j6029_8.sm,29,72,125,1.7361111111111112,2.576,3.0,4
j6029_9.sm,29,70,136,1.9428571428571428,2.25,3.0,3
j602_1.sm,2,65,65,1.0,4.984615384615385,9.0,10
j602_10.sm,2,64,71,1.109375,5.436619718309859,9.0,10
j602_2.sm,2,82,82,1.0,4.182926829268292,6.0,8
j602_3.sm,2,77,85,1.103896103896104,4.6,9.0,10
j602_4.sm,2,78,78,1.0,4.256410256410256,8.0,10
j602_5.sm,2,53,54,1.0188679245283019,6.2592592592592595,10.0,11
j602_6.sm,2,61,77,1.2622950819672132,4.012987012987013,8.0,9
j602_7.sm,2,49,54,1.1020408163265305,6.222222222222222,9.700000000000003,10
j602_8.sm,2,66,66,1.0,4.96969696969697,10.0,11
j602_9.sm,2,65,74,1.1384615384615384,4.54054054054054,8.700000000000003,10
j6030_1.sm,30,70,88,1.2571428571428571,3.4204545454545454,5.0,5
j6030_10.sm,30,81,105,1.2962962962962963,3.447619047619048,5.0,6
j6030_2.sm,30,65,98,1.5076923076923077,3.3469387755102042,5.0,6
j6030_3.sm,30,80,109,1.3625,3.44954128440367,5.0,6
j6030_4.sm,30,76,76,1.0,4.184210526315789,5.0,6
j6030_5.sm,30,72,87,1.2083333333333333,4.172413793103448,5.0,6
j6030_6.sm,30,68,74,1.088235294117647,4.04054054054054,6.0,6
j6030_7.sm,30,77,105,1.3636363636363635,3.4571428571428573,5.0,5
j6030_8.sm,30,63,72,1.1428571428571428,4.388888888888889,6.0,7
j6030_9.sm,30,98,108,1.1020408163265305,3.259259259259259,4.0,5
j6031_1.sm,31,65,67,1.0307692307692307,4.582089552238806,7.399999999999999,8
j6031_10.sm,31,56,63,1.125,4.984126984126984,7.0,8
j6031_2.sm,31,74,88,1.1891891891891893,3.8863636363636362,5.0,6
j6031_3.sm,31,66,67,1.0151515151515151,4.8059701492537314,7.0,8
j6031_4.sm,31,68,69,1.0147058823529411,4.594202898550725,6.0,7
j6031_5.sm,31,72,72,1.0,4.583333333333333,8.0,8
j6031_6.sm,31,72,72,1.0,5.388888888888889,8.0,9
j6031_7.sm,31,76,76,1.0,4.197368421052632,6.0,6
j6031_8.sm,31,75,78,1.04,4.294871794871795,6.0,7
j6031_9.sm,31,86,86,1.0,4.348837209302325,6.0,8
j6032_1.sm,32,69,69,1.0,4.884057971014493,10.0,12
