arquivo,semente,cenario,concluiu,makespan,makespan_cpm,atraso_relativo,E_total,S_UR_maximo,n_com_erro,n_reportadas,taxa_omissao,E_plano,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,TW,TL,TU,TR
j6035_1.sm,7,centralizada,True,252,78,3.230769230769231,0.8124331113932098,27.461016554998533,13,1,0.21666666666666667,353.0,0.1961173905875101,0.07779324803115732,0.07539448850826388,746.0,0.0,103.0,69.22943887739106
j6035_1.sm,7,adaptativa,True,129,78,1.6538461538461537,0.9212617823218732,4.0,2,6,0.03333333333333333,353.0,0.08411057323211739,0.0113314447592068,0.04902009566774376,558.0,13.0,5.0,29.691032350937437
j6035_1.sm,8,centralizada,True,273,78,3.5,0.7390632968109387,28.63225201361814,17,1,0.2833333333333333,353.0,0.22740421398163593,0.08111119550600039,0.07500295342246613,791.0,0.0,199.0,80.27368753551748
j6035_1.sm,8,adaptativa,True,153,78,1.9615384615384615,0.888945539491713,8.021325698470164,5,12,0.08333333333333333,353.0,0.1521464607039461,0.02272330226195514,0.08092071340687305,590.0,16.0,4.0,53.70770062849297
j6035_1.sm,9,centralizada,True,208,78,2.6666666666666665,0.8013087022244376,45.07273225598898,12,1,0.2,353.0,0.1990301925416361,0.1276847939263144,0.07701514736938918,731.0,0.0,111.0,70.25765796719755
j6035_1.sm,9,adaptativa,True,137,78,1.7564102564102564,0.8813002918715379,10.58727404931125,6,9,0.1,353.0,0.14507803633588046,0.029992277760088525,0.08191221863110207,551.0,12.0,11.0,51.2125468265658
j6035_1.sm,10,centralizada,True,219,78,2.8076923076923075,0.7843693705999046,33.14310868245294,12,2,0.2,353.0,0.20816168790911704,0.09388982629590067,0.07563819580221212,762.0,0.0,136.0,73.48107583191832
j6035_1.sm,10,adaptativa,True,130,78,1.6666666666666667,0.8848463712709475,3.5,2,12,0.03333333333333333,353.0,0.15682058158323406,0.009915014164305949,0.08809897349235081,556.0,14.0,3.0,55.35766529888162
j6035_1.sm,11,centralizada,True,266,78,3.41025641025641,0.8423321588313935,30.641078202602813,14,1,0.23333333333333334,353.0,0.23833942319180768,0.08680192125383233,0.09399021112432349,754.0,0.0,57.0,84.1338163867081
j6035_1.sm,11,adaptativa,True,134,78,1.7179487179487178,0.8757281314524485,4.862439805260465,5,14,0.08333333333333333,353.0,0.18869624241235633,0.013774617012069305,0.10397870329107753,561.0,10.0,3.0,66.60977357156179
j6038_1.sm,0,centralizada,True,200,73,2.73972602739726,0.8024696666592255,20.095403016530987,16,0,0.26666666666666666,341.0,0.20947278168293892,0.058930800634988234,0.08580925699450516,668.0,0.0,93.0,71.43021855388217
j6038_1.sm,0,adaptativa,True,136,73,1.8630136986301369,0.896248352058293,3.739668872944769,1,9,0.016666666666666666,341.0,0.13821770785210793,0.010966770888401083,0.07624944219262576,554.0,12.0,5.0,47.132238377568804
j6038_1.sm,1,centralizada,True,194,73,2.6575342465753424,0.8566800832385698,27.39351636324848,9,0,0.15,341.0,0.13715381346835595,0.08033289256084598,0.057899503837353226,692.0,0.0,69.0,46.76945039270938
j6038_1.sm,1,adaptativa,True,143,73,1.9589041095890412,0.8843496297313231,10.0,6,7,0.1,341.0,0.1600581847003534,0.02932551319648094,0.08696876065576904,555.0,11.0,7.0,54.579840982820514
j6038_1.sm,2,centralizada,True,263,73,3.6027397260273974,0.7909405257215719,39.852455478503934,15,3,0.25,341.0,0.3148560629940192,0.11686937090470362,0.11729289394609095,724.0,0.0,84.0,107.36591748096055
j6038_1.sm,2,adaptativa,True,137,73,1.8767123287671232,0.8881695861042546,1.5091205403965424,2,13,0.03333333333333333,341.0,0.14551774824801125,0.004425573432247925,0.08086670355449616,545.0,13.0,6.0,49.62155215257184
j6038_1.sm,3,centralizada,True,187,73,2.5616438356164384,0.8169797870855678,20.182253921309968,9,2,0.15,341.0,0.1593370491950106,0.059185495370410464,0.06527900830504148,680.0,0.0,98.0,54.333933775498615
j6038_1.sm,3,adaptativa,True,148,73,2.0273972602739727,0.8597023806588217,4.0,1,14,0.016666666666666666,341.0,0.21144724506715967,0.011730205278592375,0.11353032910088531,546.0,13.0,4.0,72.10351056790145
j6038_1.sm,4,centralizada,True,178,73,2.4383561643835616,0.8497885134969616,5.5,5,3,0.08333333333333333,341.0,0.07697865434010323,0.016129032258064516,0.03421274769747149,652.0,0.0,89.0,26.249721129975203
j6038_1.sm,4,adaptativa,True,144,73,1.9726027397260273,0.8958681437300507,11.062210367466708,5,7,0.08333333333333333,341.0,0.1355783520608551,0.03244049961133932,0.07613597677838513,544.0,11.0,6.0,46.23221805275159
j6038_1.sm,5,centralizada,True,183,73,2.506849315068493,0.8210141446441065,7.390615369506916,6,3,0.1,341.0,0.12035214105668361,0.021673358854858993,0.04799784367478251,702.0,0.0,112.0,41.040080100329114
j6038_1.sm,5,adaptativa,True,132,73,1.8082191780821917,0.8944701320437609,1.0,1,13,0.016666666666666666,341.0,0.1318044889791538,0.002932551319648094,0.0741739039178047,542.0,11.0,8.0,44.945330741891446
j6038_1.sm,6,centralizada,True,171,73,2.3424657534246576,0.8407366817773012,19.844705254631243,10,3,0.16666666666666666,341.0,0.1446625863843745,0.058195616582496314,0.06028123795531299,688.0,0.0,81.0,49.3299419570717
j6038_1.sm,6,adaptativa,True,143,73,1.9589041095890412,0.8912498037725696,10.547039210066728,5,10,0.08333333333333333,341.0,0.16233130520146688,0.030929733753861374,0.08937520049324418,552.0,9.0,3.0,55.35497507370021
j6038_1.sm,7,centralizada,True,220,73,3.0136986301369864,0.7261059198266523,29.483799012305614,13,2,0.21666666666666667,341.0,0.210715912622391,0.08646275370177599,0.07186460936758493,726.0,0.0,202.0,71.85412620423533
j6038_1.sm,7,adaptativa,True,146,73,2.0,0.9136442141623489,8.0,3,8,0.05,341.0,0.09970674486803519,0.02346041055718475,0.05872193436960276,529.0,12.0,4.0,34.0
j6038_1.sm,8,centralizada,True,231,73,3.164383561643836,0.7119437896841468,33.12303332828387,13,3,0.21666666666666667,341.0,0.21755867007703172,0.09713499509760665,0.06780145638276017,779.0,0.0,241.0,74.18750649626782
j6038_1.sm,8,adaptativa,True,142,73,1.9452054794520548,0.8729312343251624,0.7398978189432511,1,14,0.016666666666666666,341.0,0.15287628407340098,0.0021697883253467775,0.08701073580140763,523.0,18.0,6.0,52.13081286902973
j6038_1.sm,9,centralizada,True,241,73,3.3013698630136985,0.7869865291938378,30.12206947824574,14,4,0.23333333333333334,341.0,0.20910113734863972,0.08833451459896112,0.08109087342684837,692.0,0.0,116.0,71.30348783588614
j6038_1.sm,9,adaptativa,True,139,73,1.904109589041096,0.8940033644525136,5.0,2,9,0.03333333333333333,341.0,0.14137892287604392,0.01466275659824047,0.07836380428259054,550.0,12.0,5.0,48.21021270073098
j6038_1.sm,10,centralizada,True,272,73,3.7260273972602738,0.7457028224623055,17.78026753735456,13,3,0.21666666666666667,341.0,0.2527736228016511,0.05214154703036528,0.08424175013475724,763.0,0.0,174.0,86.19580537536304
j6038_1.sm,10,adaptativa,True,144,73,1.9726027397260273,0.865498945921129,11.330241067361754,9,7,0.15,341.0,0.19649674872568482,0.03322651339402274,0.10602028437762728,547.0,14.0,4.0,67.00539131545852
j6038_1.sm,11,centralizada,True,277,73,3.7945205479452055,0.8445580734247123,24.460601235586232,17,1,0.2833333333333333,341.0,0.23552581746476728,0.0717319684328042,0.10123894574355237,670.0,0.0,43.0,80.31430375548564
j6038_1.sm,11,adaptativa,True,140,73,1.917808219178082,0.8833037734748138,6.239900029284048,6,10,0.1,341.0,0.15437547989814976,0.01829882706534911,0.0908181862866663,512.0,11.0,4.0,52.64203864526907
j6040_1.sm,0,centralizada,True,187,86,2.1744186046511627,0.8465585895175316,19.960517959910128,6,1,0.1,375.0,0.08783963208795895,0.053228047893093676,0.03718069752206072,750.0,0.0,103.0,32.93986203298461
j6040_1.sm,0,adaptativa,True,145,86,1.686046511627907,0.9085402048582075,5.425379872981063,6,8,0.1,375.0,0.1205121401146049,0.014467679661282835,0.06982788550231132,588.0,9.0,5.0,45.19205254297684
j6040_1.sm,1,centralizada,True,183,86,2.127906976744186,0.8151589643602576,27.65086970562749,8,3,0.13333333333333333,375.0,0.11867055322501438,0.07373565254833997,0.05189665518613817,699.0,0.0,114.0,44.50145745938039
j6040_1.sm,1,adaptativa,True,150,86,1.744186046511628,0.8576633913683752,9.862128599302602,6,14,0.1,375.0,0.22865429891851025,0.02629900959814027,0.12359774461853427,595.0,8.0,5.0,85.74536209444135
j6040_1.sm,2,centralizada,True,291,86,3.383720930232558,0.8224070504358558,21.077671485938335,12,3,0.2,375.0,0.17276698714489802,0.05620712396250223,0.06857373953210666,777.0,0.0,103.0,64.78762017933676
j6040_1.sm,2,adaptativa,True,143,86,1.6627906976744187,0.886107811538458,4.0,3,13,0.05,375.0,0.1672877767277256,0.010666666666666666,0.0931124407872733,597.0,10.0,4.0,62.7329162728971
j6040_1.sm,3,centralizada,True,222,86,2.5813953488372094,0.7674280044152593,14.158601815071993,9,1,0.15,375.0,0.10994892869987194,0.037756271506858646,0.03975088894774106,796.0,0.0,200.0,41.23084826245198
j6040_1.sm,3,adaptativa,True,155,86,1.802325581395349,0.900663952365432,3.0,3,12,0.05,375.0,0.14801623658880803,0.008,0.08290602528627654,603.0,8.0,3.0,55.50608872080301
j6040_1.sm,4,centralizada,True,297,86,3.453488372093023,0.7697405916643576,20.06743618864258,14,3,0.23333333333333334,375.0,0.1977308317004226,0.05351316316971355,0.07549674969413135,756.0,0.0,152.0,74.14906188765848
j6040_1.sm,4,adaptativa,True,148,86,1.7209302325581395,0.9070110069490088,14.0,6,6,0.1,375.0,0.12533562493786526,0.037333333333333336,0.07164755759336752,595.0,10.0,4.0,47.000859351699475
j6040_1.sm,5,centralizada,True,208,86,2.4186046511627906,0.822484211847192,22.503331593712236,12,1,0.2,375.0,0.18283280027459306,0.060008884249899294,0.07220410929913432,781.0,0.0,100.0,68.5623001029724
j6040_1.sm,5,adaptativa,True,147,86,1.7093023255813953,0.9052902342906282,4.0,1,11,0.016666666666666666,375.0,0.13380557616250288,0.010666666666666666,0.07291305059804055,623.0,9.0,6.0,50.17709106093858
j6040_1.sm,6,centralizada,True,193,86,2.244186046511628,0.8462670216705073,15.555705008515652,8,5,0.13333333333333333,375.0,0.18028448062443936,0.0414818800227084,0.07498467093944555,763.0,0.0,71.0,67.60668023416476
j6040_1.sm,6,adaptativa,True,144,86,1.6744186046511629,0.9015523277506805,4.5,7,8,0.11666666666666667,375.0,0.1480041487092048,0.012,0.08216347585316593,609.0,8.0,3.0,55.5015557659518
j6040_1.sm,7,centralizada,True,188,86,2.186046511627907,0.7952146809009906,38.70755453434127,14,2,0.23333333333333334,375.0,0.186883640257756,0.10322014542491005,0.07510745334561336,742.0,0.0,121.0,70.0813650966585
j6040_1.sm,7,adaptativa,True,151,86,1.755813953488372,0.9078418930560818,8.417210742723178,3,10,0.05,375.0,0.12656267148718295,0.022445895313928474,0.06785367831092076,635.0,10.0,7.0,47.461001807693606
