metrica,termo,ordem,parcela_media,pct_do_contraste,p_valor,n_instancias
TL,AB,2,0.0,0.0,,16
TL,AC,2,0.005208333333333592,0.04965243296921796,0.9686762703046427,16
TL,AD,2,-0.015624999999999778,-0.14895729890764434,0.5995101785600032,16
TL,BC,2,0.0,0.0,,16
TL,BD,2,0.0,0.0,,16
TL,CD,2,0.0,0.0,,16
TL,ABC,3,0.0,0.0,,16
TL,ABD,3,0.0,0.0,,16
TL,ACD,3,0.1145833333333332,1.0923535253227394,0.3196692802025596,16
TL,BCD,3,0.0,0.0,,16
TL,ABCD,4,-5.551115123125783e-17,-5.292026333863705e-16,,16
TL,SOMA_principais,0,10.385416666666668,99.00695134061569,,16
TL,SOMA_interacoes,0,0.10416666666666696,0.9930486593843126,,16
TU,A,1,-120.08854166666666,99.80521166998528,3.0517578125e-05,16
TU,B,1,0.0,-0.0,,16
TU,C,1,-3.276041666666667,2.7227079906501603,0.12709364815965674,16
TU,D,1,-0.052083333333333925,0.04328629555882657,0.899932861328125,16
TU,AB,2,0.0,-0.0,,16
TU,AC,2,2.921875,-2.428361180850143,0.17535400390625,16
TU,AD,2,0.010416666666666852,-0.00865725911176537,0.860260009765625,16
TU,BC,2,0.0,-0.0,,16
TU,BD,2,0.0,-0.0,,16
TU,CD,2,0.484375,-0.4025625486970825,0.705718994140625,16
TU,ABC,3,0.0,-0.0,,16
TU,ABD,3,0.0,-0.0,,16
TU,ACD,3,-0.3229166666666661,0.2683750324647212,0.781951904296875,16
TU,BCD,3,2.6645352591003757e-15,-2.2144869264447762e-15,,16
TU,ABCD,4,-2.6645352591003757e-15,2.2144869264447762e-15,,16
TU,SOMA_principais,0,-123.41666666666666,102.57120595619428,,16
TU,SOMA_interacoes,0,3.093750000000001,-2.57120595619427,,16
TR,A,1,-14.925628250186318,91.25245207137839,3.0517578125e-05,16
TR,B,1,0.0,-0.0,,16
TR,C,1,-1.6575759961244496,10.13410434760932,0.231201171875,16
TR,D,1,-0.6666267539751964,4.075629172652134,0.4637451171875,16
TR,AB,2,0.0,-0.0,,16
TR,AC,2,0.009795024202302383,-0.05988491483079997,0.860260009765625,16
TR,AD,2,1.0234581591183094,-6.257228509683595,0.705718994140625,16
