braco,cenario,ablacao,arquivo,semente,concluiu,makespan,atraso_relativo,E_total,TW,TL,TU,TR,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,S_UR_maximo,E_plano,retrabalho_sobre_plano,divida_latente_sobre_plano,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,tarefas_acima_da_competencia_maxima_inicial,competencia_minima_inicial,competencia_maxima_inicial,competencia_maxima_final
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6016_1.sm,9,True,273,4.265625,0.7818989091243441,824.0,0.0,117.0,112.8446727375605,16,4,0,0.2666666666666666,34.48976266460819,365.0,0.3091634869522205,0.0944925004509813,47,0,0,117,13,117,23,23,94,15,0.3512385487549321,0.6872143627230507,0.6872143627230507
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6016_1.sm,10,True,297,4.640625,0.7946012351611478,881.0,0.0,155.0,72.73223072870033,11,2,0,0.1833333333333333,23.23719607623388,365.0,0.1992663855580831,0.0636635508937914,56,0,0,155,4,155,4,4,151,34,0.4175993861121362,0.5820371027673271,0.5820371027673271
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6016_1.sm,11,True,260,4.0625,0.7919496252729424,840.0,0.0,100.0,120.67352416575378,21,2,0,0.35,40.42323790598776,365.0,0.3306123949746679,0.1107485970027061,50,0,0,100,10,100,15,15,85,14,0.486713896835989,0.7131697048371954,0.7131697048371954
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6019_1.sm,0,True,196,3.161290322580645,0.8359462566385195,701.0,0.0,90.0,47.57065503090937,12,2,0,0.2,15.43098916029274,336.0,0.141579330449135,0.0459255629770617,42,0,0,90,18,90,12,12,78,18,0.4857196752206667,0.6268507180531939,0.6268507180531939
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6019_1.sm,1,True,253,4.080645161290323,0.811475743967243,726.0,0.0,114.0,54.66629828100766,12,3,0,0.2,17.46712692720425,336.0,0.1626973163125228,0.0519854968071555,47,0,0,114,13,114,4,4,110,15,0.3936211322074767,0.6586427040007742,0.6586427040007742
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6019_1.sm,2,True,320,5.161290322580645,0.8033852155872132,693.0,0.0,112.0,57.59989175114451,12,1,0,0.2,22.874974940946693,336.0,0.1714282492593586,0.0680802825623413,38,0,0,112,22,112,57,57,55,5,0.2570239140832174,0.7659648859265082,0.7659648859265082
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6019_1.sm,3,True,175,2.8225806451612905,0.8248056486748618,688.0,0.0,73.0,73.1358974751753,15,1,0,0.25,30.54107463982116,336.0,0.2176663615332598,0.0908960554756582,37,0,0,73,23,73,15,15,58,1,0.2433201962422982,0.794910294566222,0.794910294566222
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6019_1.sm,4,True,162,2.6129032258064515,0.8471862111050893,692.0,0.0,75.0,49.821604187040776,12,0,0,0.2,21.83375719331231,336.0,0.1482785838900023,0.0649814202181914,36,0,0,75,24,75,13,13,62,6,0.3530323246498424,0.7496468789669437,0.7496468789669437
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6019_1.sm,5,True,209,3.370967741935484,0.7777174938248402,707.0,0.0,112.0,90.07046017822063,16,2,0,0.2666666666666666,34.58990467123376,336.0,0.2680668457685137,0.1029461448548623,39,0,0,112,21,112,26,26,86,14,0.3910769205246226,0.6863255838987572,0.6863255838987572
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6019_1.sm,6,True,242,3.903225806451613,0.7908602274328408,697.0,0.0,115.0,69.31881693239998,15,2,0,0.25,28.063700475737143,336.0,0.2063060027749999,0.083522918082551,35,0,0,115,25,115,48,48,67,6,0.2436049793851584,0.7631789564580391,0.7631789564580391
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6019_1.sm,7,True,252,4.064516129032258,0.8423000198831411,706.0,0.0,86.0,46.18115081838525,8,1,0,0.1333333333333333,26.060530936603534,336.0,0.1374439012451941,0.0775611039779867,42,0,0,86,18,86,2,2,84,23,0.4310024134004245,0.5858494645010164,0.5858494645010164
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6019_1.sm,8,True,246,3.967741935483871,0.714983328733335,745.0,0.0,233.0,63.982337294273,12,3,0,0.2,16.54841639012188,336.0,0.190423622899622,0.0492512392563151,54,0,0,233,6,233,43,43,190,27,0.2724902104363956,0.5273323364698471,0.5273323364698471
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6019_1.sm,9,True,198,3.193548387096774,0.7911456301245297,734.0,0.0,107.0,86.76850689861655,19,2,0,0.3166666666666666,33.43988659676384,336.0,0.2582396038649302,0.0995234720141781,44,0,0,107,16,107,15,15,92,14,0.3512385487549321,0.6872143627230507,0.6872143627230507
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6019_1.sm,10,True,257,4.145161290322581,0.820261778786033,753.0,0.0,107.0,57.999618505230366,13,1,0,0.2166666666666666,16.5,336.0,0.1726179122179475,0.0491071428571428,43,0,0,107,17,107,10,10,97,23,0.4175993861121362,0.5820371027673271,0.5820371027673271
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6019_1.sm,11,True,227,3.661290322580645,0.7906164491441247,730.0,0.0,101.0,92.33014420615146,17,0,0,0.2833333333333333,21.7110323403817,336.0,0.2747920958516412,0.0646161676797074,39,0,0,101,21,101,6,6,95,12,0.486713896835989,0.7131697048371954,0.7131697048371954
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6021_1.sm,0,True,257,3.381578947368421,0.818698374342374,648.0,0.0,102.0,41.500289127251655,4,3,0,0.0666666666666666,11.691719159637948,332.0,0.1250008708652158,0.0352160215651745,34,0,0,102,26,102,0,0,102,18,0.4857196752206667,0.6268507180531939,0.6268507180531939
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6021_1.sm,1,True,358,4.7105263157894735,0.8444245363558305,666.0,0.0,62.0,60.70280448524939,13,3,0,0.2166666666666666,14.30367668298512,332.0,0.1828397725459319,0.0430833635029672,33,0,0,62,27,62,0,0,62,17,0.3936211322074767,0.6586427040007742,0.6586427040007742
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6021_1.sm,2,True,398,5.2368421052631575,0.8792473972416113,672.0,0.0,6.0,86.29000769090577,15,3,0,0.25,33.11962760722257,332.0,0.2599096617195957,0.099757914479586,32,0,0,6,28,6,0,0,6,6,0.2570239140832174,0.7659648859265082,0.7659648859265082
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6021_1.sm,3,True,287,3.776315789473684,0.845541288957873,642.0,0.0,69.0,48.27693701541536,8,1,0,0.1333333333333333,19.044187545423217,332.0,0.1454124608898052,0.0573620106789855,32,0,0,69,28,69,0,0,69,2,0.2433201962422982,0.794910294566222,0.794910294566222
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6021_1.sm,4,True,245,3.223684210526316,0.8540937416251239,671.0,0.0,38.0,76.62804912170083,12,2,0,0.2,27.503904566434336,332.0,0.2308073768725928,0.0828430860434769,36,0,0,38,24,38,0,0,38,6,0.3530323246498424,0.7496468789669437,0.7496468789669437
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6021_1.sm,5,True,256,3.3684210526315788,0.7836652083713391,677.0,0.0,92.0,94.88931493715631,13,5,0,0.2166666666666666,20.700046190490845,332.0,0.2858111895697479,0.0623495367183459,36,0,0,92,24,92,5,5,87,11,0.3910769205246226,0.6863255838987572,0.6863255838987572
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6021_1.sm,6,True,261,3.4342105263157894,0.9185220910489432,671.0,0.0,0.0,59.52135222324892,14,3,0,0.2333333333333333,17.0,332.0,0.179281181395328,0.0512048192771084,31,0,0,0,29,0,0,0,0,6,0.2436049793851584,0.7631789564580391,0.7631789564580391
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6021_1.sm,7,True,334,4.394736842105263,0.7905237602770586,688.0,0.0,128.0,54.309071746146245,11,2,0,0.1833333333333333,20.62049694435003,332.0,0.1635815414040549,0.0621099305552711,41,0,0,128,19,128,0,0,128,22,0.4310024134004245,0.5858494645010164,0.5858494645010164
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6021_1.sm,8,True,328,4.315789473684211,0.6685463393613156,697.0,0.0,217.0,128.56049126806548,19,2,0,0.3166666666666666,27.280701369364664,332.0,0.3872303953857394,0.0821707872571224,52,0,0,217,8,217,0,0,217,33,0.2724902104363956,0.5273323364698471,0.5273323364698471
