desenho,ponto,instancia,semente,risco.F_ancora,retrabalho.f_retrabalho,agentes.tau_sat,agentes.k_heuristico,fuzzy.mu_minimo,taxa_omissao,atraso_relativo,retrabalho_sobre_plano,E_total,concluiu,divida_pendente,violacoes,makespan
legado,228,j6032_1.sm,1,0.11422824372137172,0.5005753994229606,1.0002762546698036,0.08575664885473969,0.6554708552113134,0.13333333333333333,1.5217391304347827,0.20523494954925753,0.8532728957760193,True,0,0,105
legado,228,j6032_1.sm,2,0.11422824372137172,0.5005753994229606,1.0002762546698036,0.08575664885473969,0.6554708552113134,0.05,1.565217391304348,0.14353548417109732,0.8870842125464162,True,0,0,108
legado,228,j6032_1.sm,3,0.11422824372137172,0.5005753994229606,1.0002762546698036,0.08575664885473969,0.6554708552113134,0.06666666666666667,1.5072463768115942,0.12774327700407898,0.8723392736542906,True,0,0,104
legado,285,j6010_1.sm,0,0.2145575064695892,0.49210649538317597,1.0030390672040825,0.11802130605552978,0.6116862233799796,0.11666666666666667,1.576470588235294,0.3140815041391717,0.7976792816554397,True,0,0,134
legado,285,j6010_1.sm,1,0.2145575064695892,0.49210649538317597,1.0030390672040825,0.11802130605552978,0.6116862233799796,0.1,1.576470588235294,0.25986395981319976,0.8310794718946664,True,0,0,134
legado,285,j6010_1.sm,2,0.2145575064695892,0.49210649538317597,1.0030390672040825,0.11802130605552978,0.6116862233799796,0.15,1.576470588235294,0.27795886937174885,0.8169189242628221,True,0,0,134
legado,285,j6010_1.sm,3,0.2145575064695892,0.49210649538317597,1.0030390672040825,0.11802130605552978,0.6116862233799796,0.11666666666666667,1.6941176470588235,0.3044482543531412,0.8156408923466953,True,0,0,144
legado,285,j6032_1.sm,0,0.2145575064695892,0.49210649538317597,1.0030390672040825,0.11802130605552978,0.6116862233799796,0.21666666666666667,1.6231884057971016,0.27261294822614085,0.8153556711910311,True,0,0,112
legado,285,j6032_1.sm,1,0.2145575064695892,0.49210649538317597,1.0030390672040825,0.11802130605552978,0.6116862233799796,0.15,1.6666666666666667,0.25104951385163254,0.8369843313114095,True,0,0,115
legado,285,j6032_1.sm,2,0.2145575064695892,0.49210649538317597,1.0030390672040825,0.11802130605552978,0.6116862233799796,0.1,1.6666666666666667,0.22767260366640352,0.849972190166307,True,0,0,115
legado,285,j6032_1.sm,3,0.2145575064695892,0.49210649538317597,1.0030390672040825,0.11802130605552978,0.6116862233799796,0.05,1.5797101449275361,0.19826028201015855,0.8462904419345256,True,0,0,109
legado,342,j6010_1.sm,0,0.13947387048521953,0.7317914132780086,1.0438776957619387,0.13314981685524793,0.6411664148496984,0.05,1.5294117647058822,0.25991401993999286,0.8208588059232825,True,0,0,130
legado,342,j6010_1.sm,1,0.13947387048521953,0.7317914132780086,1.0438776957619387,0.13314981685524793,0.6411664148496984,0.1,1.6235294117647059,0.2524002169866072,0.8256172295953902,True,0,0,138
legado,342,j6010_1.sm,2,0.13947387048521953,0.7317914132780086,1.0438776957619387,0.13314981685524793,0.6411664148496984,0.06666666666666667,1.5647058823529412,0.34383799980209007,0.7906193033791202,True,0,0,133
legado,342,j6010_1.sm,3,0.13947387048521953,0.7317914132780086,1.0438776957619387,0.13314981685524793,0.6411664148496984,0.03333333333333333,1.6588235294117648,0.27375631125741495,0.8241428690230187,True,0,0,141
legado,342,j6032_1.sm,0,0.13947387048521953,0.7317914132780086,1.0438776957619387,0.13314981685524793,0.6411664148496984,0.1,1.5797101449275361,0.2126163778674228,0.8466693681210001,True,0,0,109
legado,342,j6032_1.sm,1,0.13947387048521953,0.7317914132780086,1.0438776957619387,0.13314981685524793,0.6411664148496984,0.16666666666666666,1.565217391304348,0.3840512831973259,0.7767293375261611,True,0,0,108
legado,342,j6032_1.sm,2,0.13947387048521953,0.7317914132780086,1.0438776957619387,0.13314981685524793,0.6411664148496984,0.05,1.5942028985507246,0.1783326869878531,0.8731409782933712,True,0,0,110
legado,342,j6032_1.sm,3,0.13947387048521953,0.7317914132780086,1.0438776957619387,0.13314981685524793,0.6411664148496984,0.03333333333333333,1.5072463768115942,0.27143598415356407,0.8050560510465914,True,0,0,104
legado,399,j6010_1.sm,0,0.23106062339588435,0.6031295286142702,1.0045669686798675,0.06244220018051548,0.5861137235775545,0.1,1.4588235294117646,0.2748460930406576,0.8060811799857807,True,0,0,124
legado,399,j6010_1.sm,1,0.23106062339588435,0.6031295286142702,1.0045669686798675,0.06244220018051548,0.5861137235775545,0.13333333333333333,1.5647058823529412,0.40337474758253933,0.7476455061054689,True,0,0,133
legado,399,j6010_1.sm,2,0.23106062339588435,0.6031295286142702,1.0045669686798675,0.06244220018051548,0.5861137235775545,0.06666666666666667,1.7411764705882353,0.4572658217452321,0.7526263690556538,True,0,0,148
legado,399,j6010_1.sm,3,0.23106062339588435,0.6031295286142702,1.0045669686798675,0.06244220018051548,0.5861137235775545,0.1,1.9411764705882353,0.3936968734141542,0.7798315715280576,True,0,0,165
legado,399,j6032_1.sm,0,0.23106062339588435,0.6031295286142702,1.0045669686798675,0.06244220018051548,0.5861137235775545,0.1,1.681159420289855,0.23919843820103218,0.8475833298859884,True,0,0,116
