base,heterogeneidade,arquivo,semente,cenario,executada,concluiu,estatuto,motivo,violacoes,atraso_relativo,taxa_omissao,divida_latente_sobre_plano,taxa_falha_efetiva,fracao_porta1,TW,TL,TU,TR
historica_0.1,beta_cv113,j6032_1.sm,0,adaptativa,True,True,COMPLETA,terminal,0,1.7826086956521738,0.13333333333333333,0.03411270492080753,0.2833333333333333,0.36666666666666664,425.0,99.0,46.0,70.74598960394621
historica_0.1,beta_cv113,j6032_1.sm,1,centralizada,True,True,COMPLETA,terminal,0,3.4057971014492754,0.2833333333333333,0.11639347563066642,0.4,0.55,569.0,0.0,112.0,106.57436795602733
historica_0.1,beta_cv113,j6032_1.sm,1,adaptativa,True,True,COMPLETA,terminal,0,1.710144927536232,0.1,0.011869436201780416,0.36666666666666664,0.36666666666666664,439.0,65.0,41.0,79.66378363390771
historica_0.1,beta_cv113,j6032_1.sm,2,centralizada,True,True,COMPLETA,terminal,0,2.739130434782609,0.31666666666666665,0.09786547066489237,0.36666666666666664,0.5,566.0,0.0,65.0,89.98963513289813
historica_0.1,beta_cv113,j6032_1.sm,2,adaptativa,True,True,COMPLETA,terminal,0,1.7971014492753623,0.06666666666666667,0.01483679525222552,0.3333333333333333,0.43333333333333335,478.0,27.0,40.0,86.57394163347307
historica_0.1,beta_cv113,j6032_1.sm,3,centralizada,True,True,COMPLETA,terminal,0,3.2318840579710146,0.31666666666666665,0.09133272900815781,0.36666666666666664,0.6833333333333333,579.0,0.0,222.0,106.14026030683844
historica_0.1,beta_cv113,j6032_1.sm,3,adaptativa,True,True,COMPLETA,terminal,0,1.9130434782608696,0.1,0.01483679525222552,0.35,0.45,486.0,81.0,44.0,96.39882608002459
historica_0.1,beta_cv113,j6043_1.sm,0,centralizada,True,True,COMPLETA,terminal,0,2.1203703703703702,0.26666666666666666,0.04666319054662152,0.31666666666666665,0.55,502.0,0.0,203.0,69.93917083853694
historica_0.1,beta_cv113,j6043_1.sm,0,adaptativa,True,True,COMPLETA,terminal,0,1.5462962962962963,0.016666666666666666,0.004491017964071856,0.2,0.38333333333333336,368.0,235.0,65.0,41.120419071329465
historica_0.1,beta_cv113,j6043_1.sm,1,centralizada,True,True,COMPLETA,terminal,0,2.537037037037037,0.31666666666666665,0.09359928403002696,0.38333333333333336,0.45,511.0,0.0,122.0,101.28696429876116
historica_0.1,beta_cv113,j6043_1.sm,1,adaptativa,True,True,COMPLETA,terminal,0,1.4259259259259258,0.1,0.019461077844311378,0.36666666666666664,0.3333333333333333,378.0,151.0,43.0,76.05379389658847
historica_0.1,beta_cv113,j6043_1.sm,2,centralizada,True,True,COMPLETA,terminal,0,2.361111111111111,0.31666666666666665,0.1357028398084543,0.36666666666666664,0.6,540.0,0.0,86.0,112.62332590050482
historica_0.1,beta_cv113,j6043_1.sm,2,adaptativa,True,True,COMPLETA,terminal,0,1.5185185185185186,0.1,0.016467065868263474,0.26666666666666666,0.3333333333333333,392.0,113.0,51.0,56.23498602715969
historica_0.1,beta_cv113,j6043_1.sm,3,centralizada,True,True,COMPLETA,terminal,0,1.8981481481481481,0.2833333333333333,0.07050280316803152,0.36666666666666664,0.5333333333333333,490.0,0.0,232.0,90.79026268120963
