modelo,metrica,braco,ANTES_pct,DEPOIS_pct,DEPOIS_parcela
mvp,E_total,so_tau_inicial,98.39240130627078,98.05731601826179,-0.0498568224444873
mvp,E_total,so_tau_min,0.0,0.0,0.0
mvp,E_total,so_p_reporte,4.28643996682309,-5.613084079258896,0.0028539485646687
mvp,E_total,so_p_deteccao,1.81583585055223,-10.368937742949678,0.0052720419952337
mvp,E_total,so_portao,,42.909891972993066,-0.0218173508319483
mvp,E_total,so_rede,,94.45801537797176,-0.0480267734462682
mvp,E_total,centralizada,0.0,0.0,0.0
mvp,E_total,adaptativa,100.0,100.00000000000173,-0.05084457179635931
mvp,E_total,so_par_tau,98.39240130627078,98.24494942608247,-0.04995222384724062
mvp,E_total,sem_par_tau,3.7825980026900536,-8.021817252370907,0.0040786586322543
mvp,S_UR_maximo,so_tau_inicial,22.345016801130097,19.78956349989173,-5.2401877243159065
mvp,S_UR_maximo,so_tau_min,-0.0,0.0,0.0
