etapa,canal,tau_sat,s_transicao,cenario,metrica,censuradas,fracao_indefinida,media,ic95_inferior,ic95_superior,n_instancias,estatuto,valor_rotulado
grade,desligado,0.7,0.25,centralizada,divida_latente_sobre_plano,0,0,0.082370178599133,0.0461678480839357,0.1185725091143304,4,COMPLETO,+0.082370 [COMPLETO]
grade,desligado,0.7,0.25,adaptativa,taxa_falha_efetiva,0,0,0.2489583333333333,0.1787137206260942,0.3192029460405724,4,COMPLETO,+0.248958 [COMPLETO]
grade,desligado,0.7,0.25,centralizada,taxa_falha_efetiva,0,0,0.2791666666666667,0.2083766078449833,0.34995672548835,4,COMPLETO,+0.279167 [COMPLETO]
grade,desligado,0.7,0.25,adaptativa,fracao_porta1,0,0,0.4864583333333333,0.4070123649286123,0.5659043017380543,4,COMPLETO,+0.486458 [COMPLETO]
grade,desligado,0.7,0.25,centralizada,fracao_porta1,0,0,0.6010416666666667,0.496859100567447,0.7052242327658863,4,COMPLETO,+0.601042 [COMPLETO]
grade,desligado,0.7,0.6,adaptativa,atraso_relativo,0,0,1.712044421760568,0.6571014876940806,2.7669873558270552,4,COMPLETO,+1.712044 [COMPLETO]
grade,desligado,0.7,0.6,centralizada,atraso_relativo,0,0,2.764473668630941,1.4499968790795557,4.078950458182327,4,COMPLETO,+2.764474 [COMPLETO]
grade,desligado,0.7,0.6,adaptativa,taxa_omissao,0,0,0.0604166666666666,0.0295552471295867,0.0912780862037465,4,COMPLETO,+0.060417 [COMPLETO]
grade,desligado,0.7,0.6,centralizada,taxa_omissao,0,0,0.2552083333333333,0.19483561025907,0.3155810564075966,4,COMPLETO,+0.255208 [COMPLETO]
grade,desligado,0.7,0.6,adaptativa,divida_latente_sobre_plano,0,0,0.0212525374977653,0.0154855204857481,0.0270195545097824,4,COMPLETO,+0.021253 [COMPLETO]
grade,desligado,0.7,0.6,centralizada,divida_latente_sobre_plano,0,0,0.0775641952783889,0.0445787381876711,0.1105496523691066,4,COMPLETO,+0.077564 [COMPLETO]
grade,desligado,0.7,0.6,adaptativa,taxa_falha_efetiva,0,0,0.2406249999999999,0.1744623064991953,0.3067876935008046,4,COMPLETO,+0.240625 [COMPLETO]
grade,desligado,0.7,0.6,centralizada,taxa_falha_efetiva,0,0,0.2916666666666667,0.2287680488173803,0.354565284515953,4,COMPLETO,+0.291667 [COMPLETO]
grade,desligado,0.7,0.6,adaptativa,fracao_porta1,0,0,0.64375,0.5863316802800813,0.7011683197199188,4,COMPLETO,+0.643750 [COMPLETO]
grade,desligado,0.7,0.6,centralizada,fracao_porta1,0,0,0.690625,0.6541594694186179,0.7270905305813822,4,COMPLETO,+0.690625 [COMPLETO]
grade,desligado,1.0,0.01,adaptativa,atraso_relativo,0,0,2.4355856584306745,1.750242967854578,3.120928349006771,4,COMPLETO,+2.435586 [COMPLETO]
grade,desligado,1.0,0.01,centralizada,atraso_relativo,7,0,114.79129881707324,-9.353434781359695,238.9360324155062,4,CENSURADO: 7 execucoes; nao terminal,+114.791299 [CENSURADO: 7 execucoes; nao terminal]
grade,desligado,1.0,0.01,adaptativa,taxa_omissao,0,0,0.075,0.0673442240373441,0.0826557759626558,4,COMPLETO,+0.075000 [COMPLETO]
grade,desligado,1.0,0.01,centralizada,taxa_omissao,7,0,0.1916666666666666,0.014836470906816,0.3684968624265172,4,CENSURADO: 7 execucoes; nao terminal,+0.191667 [CENSURADO: 7 execucoes; nao terminal]
grade,desligado,1.0,0.01,adaptativa,divida_latente_sobre_plano,0,0,0.021839896123225,0.0118867622344583,0.0317930300119917,4,COMPLETO,+0.021840 [COMPLETO]
grade,desligado,1.0,0.01,centralizada,divida_latente_sobre_plano,7,0,0.0815919695715585,0.0127888964079731,0.1503950427351438,4,CENSURADO: 7 execucoes; nao terminal,+0.081592 [CENSURADO: 7 execucoes; nao terminal]
grade,desligado,1.0,0.01,adaptativa,taxa_falha_efetiva,0,0,0.2833333333333333,0.2209023696873973,0.3457642969792693,4,COMPLETO,+0.283333 [COMPLETO]
grade,desligado,1.0,0.01,centralizada,taxa_falha_efetiva,7,0,0.2208333333333333,0.0038221293786311,0.4378445372880356,4,CENSURADO: 7 execucoes; nao terminal,+0.220833 [CENSURADO: 7 execucoes; nao terminal]
grade,desligado,1.0,0.01,adaptativa,fracao_porta1,0,0,0.2510416666666666,0.1074703503816358,0.3946129829516974,4,COMPLETO,+0.251042 [COMPLETO]
grade,desligado,1.0,0.01,centralizada,fracao_porta1,7,4,0.4270833333333333,0.0375216728739289,0.8166449937927378,4,CENSURADO: 7 execucoes; nao terminal; INDEFINIDO/PARCIAL: 4 sem denominador,+0.427083 [CENSURADO: 7 execucoes; nao terminal; INDEFINIDO/PARCIAL: 4 sem denominador]
grade,desligado,1.0,0.25,adaptativa,atraso_relativo,0,0,1.9035954255844216,1.0619652964342687,2.7452255547345743,4,COMPLETO,+1.903595 [COMPLETO]
grade,desligado,1.0,0.25,centralizada,atraso_relativo,0,0,3.116918713201019,1.7140585690836625,4.519778857318376,4,COMPLETO,+3.116919 [COMPLETO]
grade,desligado,1.0,0.25,adaptativa,taxa_omissao,0,0,0.0510416666666666,0.028476599808436,0.0736067335248972,4,COMPLETO,+0.051042 [COMPLETO]
grade,desligado,1.0,0.25,centralizada,taxa_omissao,0,0,0.2739583333333333,0.2318950867573787,0.316021579909288,4,COMPLETO,+0.273958 [COMPLETO]
grade,desligado,1.0,0.25,adaptativa,divida_latente_sobre_plano,0,0,0.0180900140091051,0.0058100468072187,0.0303699812109916,4,COMPLETO,+0.018090 [COMPLETO]
grade,desligado,1.0,0.25,centralizada,divida_latente_sobre_plano,0,0,0.0938011270328976,0.0537571604948789,0.1338450935709163,4,COMPLETO,+0.093801 [COMPLETO]
grade,desligado,1.0,0.25,adaptativa,taxa_falha_efetiva,0,0,0.2635416666666667,0.2197713116705565,0.3073120216627768,4,COMPLETO,+0.263542 [COMPLETO]
grade,desligado,1.0,0.25,centralizada,taxa_falha_efetiva,0,0,0.3072916666666666,0.2602927464190971,0.3542905869142361,4,COMPLETO,+0.307292 [COMPLETO]
grade,desligado,1.0,0.25,adaptativa,fracao_porta1,0,0,0.4239583333333334,0.3556168632055017,0.4922998034611651,4,COMPLETO,+0.423958 [COMPLETO]
grade,desligado,1.0,0.25,centralizada,fracao_porta1,0,0,0.534375,0.446521009595847,0.6222289904041531,4,COMPLETO,+0.534375 [COMPLETO]
grade,desligado,1.0,0.6,adaptativa,atraso_relativo,0,0,1.698164818304642,0.6531722919961149,2.743157344613169,4,COMPLETO,+1.698165 [COMPLETO]
grade,desligado,1.0,0.6,centralizada,atraso_relativo,0,0,2.7257840737998733,1.2191435693334574,4.232424578266289,4,COMPLETO,+2.725784 [COMPLETO]
grade,desligado,1.0,0.6,adaptativa,taxa_omissao,0,0,0.0604166666666666,0.035906224355248,0.0849271089780853,4,COMPLETO,+0.060417 [COMPLETO]
grade,desligado,1.0,0.6,centralizada,taxa_omissao,0,0,0.2427083333333333,0.1393730810607079,0.3460435856059587,4,COMPLETO,+0.242708 [COMPLETO]
grade,desligado,1.0,0.6,adaptativa,divida_latente_sobre_plano,0,0,0.0188353669843484,0.0138146941481459,0.0238560398205509,4,COMPLETO,+0.018835 [COMPLETO]
grade,desligado,1.0,0.6,centralizada,divida_latente_sobre_plano,0,0,0.0815454992661307,0.0416925600736437,0.1213984384586178,4,COMPLETO,+0.081545 [COMPLETO]
grade,desligado,1.0,0.6,adaptativa,taxa_falha_efetiva,0,0,0.2312499999999999,0.1963762807977072,0.2661237192022926,4,COMPLETO,+0.231250 [COMPLETO]
grade,desligado,1.0,0.6,centralizada,taxa_falha_efetiva,0,0,0.2802083333333333,0.1732498547777645,0.3871668118889021,4,COMPLETO,+0.280208 [COMPLETO]
grade,desligado,1.0,0.6,adaptativa,fracao_porta1,0,0,0.565625,0.5264475435977776,0.6048024564022225,4,COMPLETO,+0.565625 [COMPLETO]
grade,desligado,1.0,0.6,centralizada,fracao_porta1,0,0,0.6322916666666667,0.5593857238312059,0.7051976095021275,4,COMPLETO,+0.632292 [COMPLETO]
grade,desligado,1.4,0.01,adaptativa,atraso_relativo,0,0,2.5476814928234197,1.9005821927431197,3.19478079290372,4,COMPLETO,+2.547681 [COMPLETO]
grade,desligado,1.4,0.01,centralizada,atraso_relativo,11,0,177.15853832951947,80.85854354373305,273.4585331153059,4,CENSURADO: 11 execucoes; nao terminal,+177.158538 [CENSURADO: 11 execucoes; nao terminal]
grade,desligado,1.4,0.01,adaptativa,taxa_omissao,0,0,0.0708333333333333,0.0565106879922545,0.0851559786744121,4,COMPLETO,+0.070833 [COMPLETO]
grade,desligado,1.4,0.01,centralizada,taxa_omissao,11,0,0.0927083333333333,-0.0206352940529963,0.206051960719663,4,CENSURADO: 11 execucoes; nao terminal,+0.092708 [CENSURADO: 11 execucoes; nao terminal]
grade,desligado,1.4,0.01,adaptativa,divida_latente_sobre_plano,0,0,0.0240378986658681,0.0158343691180548,0.0322414282136814,4,COMPLETO,+0.024038 [COMPLETO]
