configuracao,metrica,numero,ANTES,DEPOIS,delta,CONTROLE_mesmo_ambiente,delta_vs_controle
C4_C1,n_com_erro,d_instancia,-7.815444732066754,-8.562406571917688,-0.7469618398509335,-7.815444732066754,-0.7469618398509335
C4_C1,n_com_erro,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1,n_com_erro,p_instancia,0.0004368090232114,3.0517578125e-05,-0.0004062914450864,3.0517578125e-05,0.0
C4_C1,taxa_omissao,media_centralizada,0.2170138888888888,0.22508680555555552,0.008072916666666707,0.21701388888888884,0.00807291666666668
C4_C1,taxa_omissao,media_adaptativa,0.0637152777777777,0.05954861111111108,-0.004166666666666624,0.06371527777777775,-0.004166666666666666
C4_C1,taxa_omissao,variacao_percentual,-70.64,-73.54415734670268,-2.904157346702675,-70.64,-2.904157346702675
C4_C1,taxa_omissao,d_instancia,-7.815444732066755,-8.562406571917686,-0.7469618398509308,-7.815444732066755,-0.7469618398509308
C4_C1,taxa_omissao,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1,taxa_omissao,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4_C1,divida_latente_sobre_plano,media_centralizada,0.0741273581498496,0.07633880805141341,0.002211449901563814,0.07412735814984966,0.0022114499015637445
C4_C1,divida_latente_sobre_plano,media_adaptativa,0.0201444584035167,0.019580624788310748,-0.0005638336152059518,0.020144458403516783,-0.0005638336152060351
C4_C1,divida_latente_sobre_plano,variacao_percentual,-72.8245294230041,-74.35036610065566,-1.5258366776515686,-72.8245294230041,-1.5258366776515686
C4_C1,divida_latente_sobre_plano,d_instancia,-6.725609296516638,-6.634829557673715,0.09077973884292323,-6.725609296516638,0.09077973884292323
C4_C1,divida_latente_sobre_plano,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1,divida_latente_sobre_plano,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4_C1,atraso_relativo,media_centralizada,3.134532505799728,3.0365790103221184,-0.09795349547760956,3.1345325057997275,-0.09795349547760912
C4_C1,atraso_relativo,media_adaptativa,1.9991332944309277,1.882539787581829,-0.11659350684909864,1.9991332944309277,-0.11659350684909864
C4_C1,atraso_relativo,variacao_percentual,-36.222282246810536,-38.00458406705083,-1.782301820240292,-36.222282246810536,-1.782301820240292
C4_C1,atraso_relativo,d_instancia,-5.54647837551483,-4.3475223925478845,1.1989559829669458,-5.546478375514831,1.1989559829669467
C4_C1,atraso_relativo,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1,atraso_relativo,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4_C1,E_total,media_centralizada,0.7839008771073722,0.7344754229093101,-0.0494254541980621,0.7839008771073722,-0.0494254541980621
C4_C1,E_total,media_adaptativa,0.8885319344131772,0.8655583734230685,-0.02297356099010872,0.8885319344131772,-0.02297356099010872
C4_C1,E_total,variacao_percentual,13.347485678533502,17.84715273310703,4.4996670545735284,13.347485678533518,4.4996670545735125
C4_C1,E_total,d_instancia,3.752444045375827,4.801735136635708,1.0492910912598807,3.7524440453758268,1.0492910912598812
C4_C1,E_total,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1,E_total,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4_C1,retrabalho_sobre_plano,media_centralizada,0.20309877307027,0.19738445074889133,-0.005714322321378668,0.20309877307027008,-0.005714322321378751
C4_C1,retrabalho_sobre_plano,media_adaptativa,0.1544681748545185,0.15164107644381916,-0.0028270984106993358,0.15446817485451853,-0.0028270984106993635
C4_C1,retrabalho_sobre_plano,variacao_percentual,-23.94430920512054,-23.174760793729384,0.7695484113911562,-23.944309205120547,0.7695484113911633
C4_C1,retrabalho_sobre_plano,d_instancia,-3.0736131015502792,-2.5879295425494835,0.48568355900079574,-3.0736131015502792,0.48568355900079574
C4_C1,retrabalho_sobre_plano,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1,retrabalho_sobre_plano,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4_C1,retrabalho_sobre_esforco_realizado,media_centralizada,0.0770044237565273,0.08665499833732168,0.00965057458079438,0.0770044237565273,0.00965057458079438
C4_C1,retrabalho_sobre_esforco_realizado,media_adaptativa,0.0846140173868061,0.08898929386143309,0.004375276474626988,0.0846140173868061,0.004375276474626988
C4_C1,retrabalho_sobre_esforco_realizado,variacao_percentual,9.882021394431602,2.693780588425734,-7.188240806005868,9.882021394431588,-7.188240806005854
C4_C1,retrabalho_sobre_esforco_realizado,d_instancia,1.2846685517413916,0.31389170655855986,-0.9707768451828318,1.2846685517413916,-0.9707768451828318
C4_C1,retrabalho_sobre_esforco_realizado,favoraveis_instancia,0.0625,0.4375,0.375,0.0625,0.375
C4_C1,retrabalho_sobre_esforco_realizado,p_instancia,9.1552734375e-05,0.21142578125,0.211334228515625,9.1552734375e-05,0.211334228515625
C4_C1_C3_media_eventos,n_com_erro,media_centralizada,13.020833333333332,13.239583333333334,0.21875000000000178,13.020833333333332,0.21875000000000178
C4_C1_C3_media_eventos,n_com_erro,media_adaptativa,3.8229166666666665,3.786458333333333,-0.03645833333333348,3.8229166666666665,-0.03645833333333348
C4_C1_C3_media_eventos,n_com_erro,variacao_percentual,-70.64,-71.40047206923681,-0.7604720692368119,-70.64,-0.7604720692368119
C4_C1_C3_media_eventos,n_com_erro,d_instancia,-7.815444732066754,-10.074051241306751,-2.258606509239997,-7.815444732066754,-2.258606509239997
C4_C1_C3_media_eventos,n_com_erro,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1_C3_media_eventos,n_com_erro,p_instancia,0.0004368090232114,3.0517578125e-05,-0.0004062914450864,3.0517578125e-05,0.0
C4_C1_C3_media_eventos,taxa_omissao,media_centralizada,0.2170138888888888,0.2206597222222222,0.003645833333333376,0.21701388888888884,0.003645833333333348
C4_C1_C3_media_eventos,taxa_omissao,media_adaptativa,0.0637152777777777,0.06310763888888886,-0.0006076388888888451,0.06371527777777775,-0.0006076388888888867
C4_C1_C3_media_eventos,taxa_omissao,variacao_percentual,-70.64,-71.40047206923683,-0.7604720692368261,-70.64,-0.7604720692368261
C4_C1_C3_media_eventos,taxa_omissao,d_instancia,-7.815444732066755,-10.074051241306755,-2.25860650924,-7.815444732066755,-2.25860650924
C4_C1_C3_media_eventos,taxa_omissao,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1_C3_media_eventos,taxa_omissao,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4_C1_C3_media_eventos,divida_latente_sobre_plano,media_centralizada,0.0741273581498496,0.07656895347680012,0.002441595326950527,0.07412735814984966,0.0024415953269504576
C4_C1_C3_media_eventos,divida_latente_sobre_plano,media_adaptativa,0.0201444584035167,0.020401762260308324,0.00025730385679162415,0.020144458403516783,0.0002573038567915409
C4_C1_C3_media_eventos,divida_latente_sobre_plano,variacao_percentual,-72.8245294230041,-73.35504622445971,-0.5305168014556187,-72.8245294230041,-0.5305168014556187
C4_C1_C3_media_eventos,divida_latente_sobre_plano,d_instancia,-6.725609296516638,-7.245450588136903,-0.5198412916202644,-6.725609296516638,-0.5198412916202644
C4_C1_C3_media_eventos,divida_latente_sobre_plano,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1_C3_media_eventos,divida_latente_sobre_plano,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4_C1_C3_media_eventos,atraso_relativo,media_centralizada,3.134532505799728,3.0374569253429904,-0.09707558045673759,3.1345325057997275,-0.09707558045673714
C4_C1_C3_media_eventos,atraso_relativo,media_adaptativa,1.9991332944309277,1.8616462505076052,-0.13748704392332245,1.9991332944309277,-0.13748704392332245
C4_C1_C3_media_eventos,atraso_relativo,variacao_percentual,-36.222282246810536,-38.71036540551476,-2.488083158704221,-36.222282246810536,-2.488083158704221
C4_C1_C3_media_eventos,atraso_relativo,d_instancia,-5.54647837551483,-3.7497775567266802,1.7967008187881501,-5.546478375514831,1.796700818788151
C4_C1_C3_media_eventos,atraso_relativo,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1_C3_media_eventos,atraso_relativo,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4_C1_C3_media_eventos,E_total,media_centralizada,0.7839008771073722,0.7511583295048847,-0.032742547602487515,0.7839008771073722,-0.032742547602487515
C4_C1_C3_media_eventos,E_total,media_adaptativa,0.8885319344131772,0.8613775320507564,-0.027154402362420837,0.8885319344131772,-0.027154402362420837
C4_C1_C3_media_eventos,E_total,variacao_percentual,13.347485678533502,14.673231756415612,1.3257460778821102,13.347485678533518,1.3257460778820942
C4_C1_C3_media_eventos,E_total,d_instancia,3.752444045375827,4.23858148076382,0.4861374353879926,3.7524440453758268,0.48613743538799303
C4_C1_C3_media_eventos,E_total,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1_C3_media_eventos,E_total,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4_C1_C3_media_eventos,retrabalho_sobre_plano,media_centralizada,0.20309877307027,0.20249269794759034,-0.0006060751226796557,0.20309877307027008,-0.000606075122679739
C4_C1_C3_media_eventos,retrabalho_sobre_plano,media_adaptativa,0.1544681748545185,0.15550481858489434,0.001036643730375847,0.15446817485451853,0.0010366437303758191
C4_C1_C3_media_eventos,retrabalho_sobre_plano,variacao_percentual,-23.94430920512054,-23.204727794607923,0.739581410512617,-23.944309205120547,0.7395814105126242
C4_C1_C3_media_eventos,retrabalho_sobre_plano,d_instancia,-3.0736131015502792,-2.4079823255845074,0.6656307759657718,-3.0736131015502792,0.6656307759657718
C4_C1_C3_media_eventos,retrabalho_sobre_plano,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1_C3_media_eventos,retrabalho_sobre_plano,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4_C1_C3_media_eventos,retrabalho_sobre_esforco_realizado,media_centralizada,0.0770044237565273,0.08511966399697751,0.008115240240450211,0.0770044237565273,0.008115240240450211
C4_C1_C3_media_eventos,retrabalho_sobre_esforco_realizado,media_adaptativa,0.0846140173868061,0.09209448911933601,0.007480471732529914,0.0846140173868061,0.007480471732529914
C4_C1_C3_media_eventos,retrabalho_sobre_esforco_realizado,variacao_percentual,9.882021394431602,8.194140807001038,-1.6878805874305645,9.882021394431588,-1.6878805874305502
C4_C1_C3_media_eventos,retrabalho_sobre_esforco_realizado,d_instancia,1.2846685517413916,0.7269084156787932,-0.5577601360625984,1.2846685517413916,-0.5577601360625984
C4_C1_C3_media_eventos,retrabalho_sobre_esforco_realizado,favoraveis_instancia,0.0625,0.3125,0.25,0.0625,0.25
C4_C1_C3_media_eventos,retrabalho_sobre_esforco_realizado,p_instancia,9.1552734375e-05,0.0155029296875,0.015411376953125,9.1552734375e-05,0.015411376953125
C4_C1_C3_saldo_eventos,n_com_erro,media_centralizada,13.020833333333332,13.020833333333334,1.7763568394002505e-15,13.020833333333332,1.7763568394002505e-15
C4_C1_C3_saldo_eventos,n_com_erro,media_adaptativa,3.8229166666666665,3.776041666666667,-0.046874999999999556,3.8229166666666665,-0.046874999999999556
C4_C1_C3_saldo_eventos,n_com_erro,variacao_percentual,-70.64,-71.0,-0.35999999999999943,-70.64,-0.35999999999999943
C4_C1_C3_saldo_eventos,n_com_erro,d_instancia,-7.815444732066754,-9.303255307035247,-1.487810574968493,-7.815444732066754,-1.487810574968493
C4_C1_C3_saldo_eventos,n_com_erro,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1_C3_saldo_eventos,n_com_erro,p_instancia,0.0004368090232114,3.0517578125e-05,-0.0004062914450864,3.0517578125e-05,0.0
C4_C1_C3_saldo_eventos,taxa_omissao,media_centralizada,0.2170138888888888,0.21701388888888884,2.7755575615628914e-17,0.21701388888888884,0.0
C4_C1_C3_saldo_eventos,taxa_omissao,media_adaptativa,0.0637152777777777,0.06293402777777773,-0.0007812499999999695,0.06371527777777775,-0.0007812500000000111
C4_C1_C3_saldo_eventos,taxa_omissao,variacao_percentual,-70.64,-71.00000000000001,-0.36000000000001364,-70.64,-0.36000000000001364
C4_C1_C3_saldo_eventos,taxa_omissao,d_instancia,-7.815444732066755,-9.30325530703524,-1.487810574968485,-7.815444732066755,-1.487810574968485
C4_C1_C3_saldo_eventos,taxa_omissao,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1_C3_saldo_eventos,taxa_omissao,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4_C1_C3_saldo_eventos,divida_latente_sobre_plano,media_centralizada,0.0741273581498496,0.07687319643456511,0.0027458382847155155,0.07412735814984966,0.002745838284715446
C4_C1_C3_saldo_eventos,divida_latente_sobre_plano,media_adaptativa,0.0201444584035167,0.019950142711189275,-0.00019431569232742502,0.020144458403516783,-0.00019431569232750828
C4_C1_C3_saldo_eventos,divida_latente_sobre_plano,variacao_percentual,-72.8245294230041,-74.04798598667487,-1.22345656367078,-72.8245294230041,-1.22345656367078
C4_C1_C3_saldo_eventos,divida_latente_sobre_plano,d_instancia,-6.725609296516638,-4.505122637899538,2.2204866586171006,-6.725609296516638,2.2204866586171006
C4_C1_C3_saldo_eventos,divida_latente_sobre_plano,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1_C3_saldo_eventos,divida_latente_sobre_plano,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4_C1_C3_saldo_eventos,atraso_relativo,media_centralizada,3.134532505799728,2.987159090784541,-0.14737341501518708,3.1345325057997275,-0.14737341501518664
C4_C1_C3_saldo_eventos,atraso_relativo,media_adaptativa,1.9991332944309277,1.852058538620741,-0.14707475581018659,1.9991332944309277,-0.14707475581018659
C4_C1_C3_saldo_eventos,atraso_relativo,variacao_percentual,-36.222282246810536,-37.99933373704844,-1.777051490237902,-36.222282246810536,-1.777051490237902
C4_C1_C3_saldo_eventos,atraso_relativo,d_instancia,-5.54647837551483,-4.644867985854309,0.9016103896605214,-5.546478375514831,0.9016103896605223
C4_C1_C3_saldo_eventos,atraso_relativo,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1_C3_saldo_eventos,atraso_relativo,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4_C1_C3_saldo_eventos,E_total,media_centralizada,0.7839008771073722,0.755921326099847,-0.02797955100752525,0.7839008771073722,-0.02797955100752525
