configuracao,metrica,n_instancias,media_centralizada,media_adaptativa,media_diferenca,ic95_inferior,ic95_superior,n_positivo,n_negativo,n_zero,n_pares_censurados
centro_horizonte_dobrado,taxa_omissao,4,0.2875,0.08645833333333333,-0.20104166666666667,-0.24677651873001816,-0.1553068146033152,0,4,0,0
centro_porta2_assistencia_universal,E_plano,4,331.5,331.5,0.0,0.0,0.0,0,0,4,0
centro_porta2_assistencia_universal,E_total,4,0.8384652364023121,0.8225605174936089,-0.015904718908703208,-0.03924078202919769,0.007431344211791268,1,3,0,0
centro_porta2_assistencia_universal,S_PV_final,4,222.8125,299.875,77.0625,57.031158170515575,97.09384182948443,4,0,0,0
centro_porta2_assistencia_universal,S_UR_final,4,1.8457457784393227e-15,1.942890293094024e-16,-1.6514567491299204e-15,-2.1209404824969242e-15,-1.1819730157629165e-15,0,4,0,0
centro_porta2_assistencia_universal,S_UR_maximo,4,30.12372867079391,8.830482148096632,-21.293246522697274,-31.060576064796315,-11.52591698059823,0,4,0,0
centro_porta2_assistencia_universal,TL,4,7.1875,8.0,0.8125,-0.007597641533980237,1.6325976415339802,4,0,0,0
centro_porta2_assistencia_universal,TR,4,86.53383417261946,81.10919056377006,-5.4246436088494105,-21.65082685234098,10.801539634642157,1,3,0,0
centro_porta2_assistencia_universal,TU,4,14.5,15.0,0.5,-3.6341190198341478,4.634119019834148,3,1,0,0
centro_porta2_assistencia_universal,TW,4,560.9375,480.9375,-80.0,-95.14799311414991,-64.85200688585009,0,4,0,0
centro_porta2_assistencia_universal,atraso_relativo,4,3.050016514360639,2.00156334908741,-1.0484531652732285,-1.8644268182700954,-0.23247951227636166,0,4,0,0
centro_porta2_assistencia_universal,competencia_maxima_final,4,0.854770776936216,0.8598202245184223,0.005049447582206275,-0.0201465073401042,0.03024540250451675,3,1,0,0
centro_porta2_assistencia_universal,competencia_maxima_inicial,4,0.7115921506366745,0.7115921506366745,0.0,0.0,0.0,0,0,4,0
centro_porta2_assistencia_universal,competencia_minima_inicial,4,0.34492122943841474,0.34492122943841474,0.0,0.0,0.0,0,0,4,0
centro_porta2_assistencia_universal,concluiu,4,1.0,1.0,0.0,0.0,0.0,0,0,4,0
centro_porta2_assistencia_universal,confianca_media_final,4,0.25,0.7999999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,4,0,0,0
centro_porta2_assistencia_universal,divida_latente_sobre_plano,4,0.09090937394086254,0.02661585275276053,-0.06429352118810201,-0.09418430211585774,-0.03440274026034629,0,4,0,0
centro_porta2_assistencia_universal,dividas_pendentes,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
centro_porta2_assistencia_universal,extensoes_horizonte,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
centro_porta2_assistencia_universal,hiato_colega_capaz_sem_confianca,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
centro_porta2_assistencia_universal,hiato_encontrado,4,21.6875,23.0,1.3125,-2.9395582194970116,5.564558219497012,3,1,0,0
centro_porta2_assistencia_universal,hiato_sem_colega_capaz,4,14.5,15.0,0.5,-3.6341190198341478,4.634119019834148,3,1,0,0
centro_porta2_assistencia_universal,hiato_sem_colega_livre,4,6.625,6.25,-0.375,-5.1981388564731725,4.4481388564731725,2,2,0,0
centro_porta2_assistencia_universal,makespan,4,249.0,165.0625,-83.9375,-127.8806370227313,-39.99436297726869,0,4,0,0
centro_porta2_assistencia_universal,makespan_cpm,4,84.5,84.5,0.0,0.0,0.0,0,0,4,0
centro_porta2_assistencia_universal,n_adiamentos,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
centro_porta2_assistencia_universal,n_com_erro,4,17.875,5.1875,-12.6875,-15.957824907039722,-9.417175092960278,0,4,0,0
centro_porta2_assistencia_universal,n_limpas,4,42.125,54.8125,12.6875,9.417175092960278,15.957824907039722,4,0,0,0
centro_porta2_assistencia_universal,n_reportadas,4,2.875,14.625,11.75,11.187417659192857,12.312582340807143,4,0,0,0
centro_porta2_assistencia_universal,n_tarefas,4,60.0,60.0,0.0,0.0,0.0,0,0,4,0
centro_porta2_assistencia_universal,ocupacao_retrabalho,4,95.75,89.625,-6.125,-24.23718097524175,11.987180975241749,1,3,0,0
centro_porta2_assistencia_universal,p1_fuga,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
centro_porta2_assistencia_universal,p1_omissao,4,23.5625,20.25,-3.3125,-7.758621139037375,1.1336211390373752,0,3,1,0
centro_porta2_assistencia_universal,p2_ajuda,4,7.1875,8.0,0.8125,-0.007597641533980237,1.6325976415339802,4,0,0,0
centro_porta2_assistencia_universal,p2_bloqueio,4,14.5,15.0,0.5,-3.6341190198341478,4.634119019834148,3,1,0,0
centro_porta2_assistencia_universal,p3_analitica,4,36.4375,39.75,3.3125,-1.1336211390373752,7.758621139037375,3,0,1,0
centro_porta2_assistencia_universal,retrabalho_gerado,4,86.53383417261946,81.10919056377006,-5.424643608849408,-21.65082685234099,10.801539634642175,1,3,0,0
centro_porta2_assistencia_universal,retrabalho_pendente,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
centro_porta2_assistencia_universal,retrabalho_sobre_esforco_realizado,4,0.12908490101339531,0.13799775945986323,0.0089128584464679,-0.011308734619356591,0.02913445151229239,3,1,0,0
centro_porta2_assistencia_universal,retrabalho_sobre_plano,4,0.2610983812873698,0.2448032402094642,-0.016295141077905535,-0.06491503566665088,0.03232475351083981,1,3,0,0
centro_porta2_assistencia_universal,tarefas_acima_da_competencia_maxima_inicial,4,10.0,10.0,0.0,0.0,0.0,0,0,4,0
centro_porta2_assistencia_universal,tarefas_pendentes,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
centro_porta2_assistencia_universal,taxa_omissao,4,0.2979166666666666,0.08645833333333333,-0.21145833333333333,-0.26596374845066206,-0.15695291821600463,0,4,0,0
centro_porta2_sem_assistencia,E_plano,4,331.5,331.5,0.0,0.0,0.0,0,0,4,0
centro_porta2_sem_assistencia,E_total,4,0.696781805795768,0.6777982124152673,-0.018983593380500638,-0.047889769330120624,0.009922582569119345,0,4,0,0
centro_porta2_sem_assistencia,S_PV_final,4,227.8125,300.375,72.5625,54.63804921616454,90.48695078383545,4,0,0,0
centro_porta2_sem_assistencia,S_UR_final,4,2.1996293675385914e-15,1.8041124150158794e-16,-2.0192181260370035e-15,-4.2842788127760825e-15,2.4584256070207556e-16,0,3,1,0
centro_porta2_sem_assistencia,S_UR_maximo,4,31.126587314211854,9.159680953777126,-21.966906360434727,-30.697765725958952,-13.236046994910502,0,4,0,0
centro_porta2_sem_assistencia,TL,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
centro_porta2_sem_assistencia,TR,4,88.53587559498514,81.76580095862101,-6.770074636364124,-26.145298595882885,12.605149323154635,1,3,0,0
centro_porta2_sem_assistencia,TU,4,148.0,136.125,-11.875,-45.767959769508344,22.017959769508344,2,2,0,0
