configuracao,arquivo,metrica,centralizada,adaptativa,diferenca,n_pares,n_pares_censurados
centro_fator_1.0,j6021_1.sm,p2_ajuda,0.0,5.75,5.75,4,0
centro_fator_1.0,j6032_1.sm,p2_ajuda,0.0,7.5,7.5,4,0
centro_fator_1.0,j6043_1.sm,p2_ajuda,0.0,9.0,9.0,4,0
centro_fator_1.0,j6010_1.sm,p2_bloqueio,99.5,14.75,-84.75,4,0
centro_fator_1.0,j6021_1.sm,p2_bloqueio,69.5,9.25,-60.25,4,0
centro_fator_1.0,j6032_1.sm,p2_bloqueio,121.75,21.75,-100.0,4,0
centro_fator_1.0,j6043_1.sm,p2_bloqueio,183.75,15.0,-168.75,4,0
centro_fator_1.0,j6010_1.sm,p3_analitica,24.75,37.25,12.5,4,0
centro_fator_1.0,j6021_1.sm,p3_analitica,27.5,35.5,8.0,4,0
centro_fator_1.0,j6032_1.sm,p3_analitica,20.25,39.0,18.75,4,0
centro_fator_1.0,j6043_1.sm,p3_analitica,28.0,45.25,17.25,4,0
centro_fator_1.0,j6010_1.sm,hiato_encontrado,99.5,23.25,-76.25,4,0
centro_fator_1.0,j6021_1.sm,hiato_encontrado,69.5,15.0,-54.5,4,0
centro_fator_1.0,j6032_1.sm,hiato_encontrado,121.75,29.25,-92.5,4,0
centro_fator_1.0,j6043_1.sm,hiato_encontrado,183.75,24.0,-159.75,4,0
centro_fator_1.0,j6010_1.sm,hiato_sem_colega_capaz,30.5,14.75,-15.75,4,0
centro_fator_1.0,j6021_1.sm,hiato_sem_colega_capaz,21.5,9.25,-12.25,4,0
centro_fator_1.0,j6032_1.sm,hiato_sem_colega_capaz,44.0,21.75,-22.25,4,0
centro_fator_1.0,j6043_1.sm,hiato_sem_colega_capaz,52.0,15.0,-37.0,4,0
centro_fator_1.0,j6010_1.sm,hiato_sem_colega_livre,3.75,5.75,2.0,4,0
centro_fator_1.0,j6021_1.sm,hiato_sem_colega_livre,0.75,1.75,1.0,4,0
centro_fator_1.0,j6032_1.sm,hiato_sem_colega_livre,10.25,14.0,3.75,4,0
centro_fator_1.0,j6043_1.sm,hiato_sem_colega_livre,1.25,4.75,3.5,4,0
centro_fator_1.0,j6010_1.sm,hiato_colega_capaz_sem_confianca,69.0,0.0,-69.0,4,0
centro_fator_1.0,j6021_1.sm,hiato_colega_capaz_sem_confianca,48.0,0.0,-48.0,4,0
centro_fator_1.0,j6032_1.sm,hiato_colega_capaz_sem_confianca,77.75,0.0,-77.75,4,0
centro_fator_1.0,j6043_1.sm,hiato_colega_capaz_sem_confianca,131.75,0.0,-131.75,4,0
centro_fator_1.0,j6010_1.sm,competencia_maxima_inicial,0.7115921506366745,0.7115921506366745,0.0,4,0
centro_fator_1.0,j6021_1.sm,competencia_maxima_inicial,0.7115921506366745,0.7115921506366745,0.0,4,0
