regra,limite,cenario,metrica,antes,depois,delta,N,incompletas,estatuto
dependente_estado,0.3,centralizada,fracao_porta1,0.5385416666666667,0.40892734377922746,-0.12961432288743924,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,centralizada,p1_fuga,0.0,129240.0625,129240.0625,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,centralizada,fracao_fuga_p1,0.0,0.9998842713067009,0.9998842713067009,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,centralizada,N_req,0.0,0.0,0.0,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,centralizada,TW,536.5625,301.8125,-234.75,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,centralizada,TL,0.0,0.0,0.0,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,centralizada,TU,126.9375,129387.4375,129260.5,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,centralizada,TR,78.79686515338976,25.225042323342016,-53.57182283004774,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,centralizada,retrabalho_sobre_esforco_total,0.1908140677734686,0.0700728666774636,-0.12074120109600499,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.4,adaptativa,atraso_relativo,1.9582766392216686,113.03301298589611,111.07473634667446,16,7,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.4,adaptativa,taxa_omissao,0.061458333333333295,0.047916666666666635,-0.013541666666666664,16,7,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.4,adaptativa,divida_latente_sobre_plano,0.02330482563352512,0.011304450349981681,-0.012000375283543436,16,7,"CENSURADO: media ao teto, nao terminal"
