modelo,metrica,termo,parcela,pct_contraste
legado,taxa_omissao,BCD,-3.0926264635608747e-17,2.0173871381778753e-14
legado,taxa_omissao,ABCD,-2.160790836382e-16,1.4095306022152118e-13
legado,retrabalho_sobre_plano,A,-0.04448344106688845,91.47212392809956
legado,retrabalho_sobre_plano,B,0.0,-0.0
legado,retrabalho_sobre_plano,C,-0.005179438003793893,10.650574317048521
legado,retrabalho_sobre_plano,D,-0.0024864842024501545,5.113003527982052
legado,retrabalho_sobre_plano,AB,-1.8454352143966656e-16,3.7948026183213285e-13
legado,retrabalho_sobre_plano,AC,0.0004552273962488765,-0.9360925280607123
legado,retrabalho_sobre_plano,AD,0.003537224537512941,-7.273660344090166
legado,retrabalho_sobre_plano,BC,-3.574269065602008e-17,7.349835693455018e-14
legado,retrabalho_sobre_plano,BD,7.129903353073968e-17,-1.4661352347429228e-13
legado,retrabalho_sobre_plano,CD,0.00442294076945746,-9.094975039860518
legado,retrabalho_sobre_plano,ABC,2.2495997089576288e-17,-4.625893555693457e-14
legado,retrabalho_sobre_plano,ABD,1.0362910762687444e-16,-2.1309445375752902e-13
legado,retrabalho_sobre_plano,ACD,-0.004896627645838383,10.06902613888133
legado,retrabalho_sobre_plano,BCD,-8.683690307572665e-17,1.7856433246095657e-13
legado,retrabalho_sobre_plano,ABCD,-2.0538058666300407e-16,4.2232790506056495e-13
legado,divida_latente_sobre_plano,A,-0.01220090723101221,22.601429875654336
legado,divida_latente_sobre_plano,B,0.0,-0.0
legado,divida_latente_sobre_plano,C,-0.044364713116417015,82.18290111292282
legado,divida_latente_sobre_plano,D,-0.03079888857749964,57.053045913102956
legado,divida_latente_sobre_plano,AB,-5.983300479246321e-17,1.1083695961799039e-13
legado,divida_latente_sobre_plano,AC,0.009377923711192244,-17.37202661446377
legado,divida_latente_sobre_plano,AD,0.006293064612639847,-11.657514957905427
legado,divida_latente_sobre_plano,BC,6.733181905747487e-18,-1.2472805161239748e-14
legado,divida_latente_sobre_plano,BD,4.12723455092059e-18,-7.645448040610226e-15
legado,divida_latente_sobre_plano,CD,0.02455072762915647,-45.478712230208096
legado,divida_latente_sobre_plano,ABC,8.099619585672145e-18,-1.500404688101691e-14
legado,divida_latente_sobre_plano,ABD,3.228377919278929e-17,-5.98037144067689e-14
legado,divida_latente_sobre_plano,ACD,-0.006840106774392585,12.670876900897197
legado,divida_latente_sobre_plano,BCD,-8.588606101780511e-18,1.5909864312844632e-14
legado,divida_latente_sobre_plano,ABCD,-6.565773315103318e-17,1.2162691048380256e-13
legado,S_UR_maximo,A,-4.0866310238658246,22.3450168011301
legado,S_UR_maximo,B,0.0,-0.0
legado,S_UR_maximo,C,-15.017053976327604,82.11074634457509
legado,S_UR_maximo,D,-10.467576791570664,57.23496393699514
legado,S_UR_maximo,AB,-2.1539853606165595e-14,1.1777632673780037e-13
legado,S_UR_maximo,AC,3.1185612775843623,-17.051772899491464
legado,S_UR_maximo,AD,2.130550047168562,-11.649492288783916
legado,S_UR_maximo,BC,1.3458011908533742e-15,-7.358616436125525e-15
legado,S_UR_maximo,BD,2.9044723083133673e-15,-1.588117012489312e-14
legado,S_UR_maximo,CD,8.361739409328983,-45.720596378035616
legado,S_UR_maximo,ABC,1.044690964291742e-15,-5.712195941537544e-15
legado,S_UR_maximo,ABD,1.2025081360858434e-14,-6.575113913493364e-14
legado,S_UR_maximo,ACD,-2.3283692114789583,12.731134483610667
legado,S_UR_maximo,BCD,-3.6950145392814085e-15,2.0203723183836408e-14
legado,S_UR_maximo,ABCD,-2.184991588295916e-14,1.194716955498824e-13
legado,n_com_erro,A,-0.9791666666666665,10.645526613816534
legado,n_com_erro,B,0.0,-0.0
legado,n_com_erro,C,-9.255208333333327,100.62287655719133
