reporte,metrica,contraste,media,ic95_inferior,ic95_superior,n_instancias
centralizada,taxa_falha_efetiva,total,-0.051041666666666666,-0.06690900472851666,-0.035174328604816674,16
centralizada,taxa_falha_efetiva,portao_rede_A,-0.021614583333333333,-0.03145882541485563,-0.01177034125181103,16
centralizada,taxa_falha_efetiva,rede_portao_A,-0.012499999999999997,-0.023056724894260295,-0.0019432751057396995,16
centralizada,fracao_porta1,portao,-0.08611111111111111,-0.10394295073932025,-0.06827927148290197,16
centralizada,fracao_porta1,rede,-0.06163194444444445,-0.07818712748763057,-0.04507676140125833,16
centralizada,fracao_porta1,interacao,0.013107638888888887,-0.0056229755456945855,0.03183825332347236,16
centralizada,fracao_porta1,total,-0.13463541666666667,-0.15828033570441183,-0.11099049762892153,16
centralizada,fracao_porta1,portao_rede_A,-0.07300347222222223,-0.09005861607229126,-0.05594832837215318,16
centralizada,fracao_porta1,rede_portao_A,-0.048524305555555564,-0.06127004663331615,-0.035778564477794976,16
centralizada,mu_cog_medio,portao,0.03164926593866759,0.026074111672679163,0.03722442020465602,16
centralizada,mu_cog_medio,rede,0.032243657641307225,0.027480540954871343,0.0370067743277431,16
centralizada,mu_cog_medio,interacao,-0.01011655868660075,-0.013851910614256037,-0.006381206758945462,16
centralizada,mu_cog_medio,total,0.05377636489337406,0.04559293316455733,0.061959796622190796,16
centralizada,mu_cog_medio,portao_rede_A,0.021532707252066838,0.017198810756109358,0.025866603748024318,16
centralizada,mu_cog_medio,rede_portao_A,0.02212709895470647,0.018087050752233044,0.0261671471571799,16
centralizada,mu_rede_medio,portao,0.13447413076569525,0.12687453042282051,0.14207373110857,16
centralizada,mu_rede_medio,rede,0.14692196771775956,0.1398112298370049,0.15403270559851423,16
centralizada,mu_rede_medio,interacao,-0.08031665134747579,-0.0915167151177927,-0.06911658757715887,16
centralizada,mu_rede_medio,total,0.20107944713597903,0.19556446696515445,0.2065944273068036,16
centralizada,mu_rede_medio,portao_rede_A,0.05415747941821947,0.04632201946142976,0.06199293937500917,16
centralizada,mu_rede_medio,rede_portao_A,0.06660531637028377,0.058797018697597125,0.07441361404297042,16
centralizada,duracao_efetiva_media,portao,-1.42578125,-1.5583034636571622,-1.2932590363428378,16
centralizada,duracao_efetiva_media,rede,-1.5987847222222222,-1.689589010992238,-1.5079804334522064,16
centralizada,duracao_efetiva_media,interacao,0.7535590277777777,0.6291880684980368,0.8779299870575187,16
centralizada,duracao_efetiva_media,total,-2.2710069444444443,-2.3910823253615243,-2.1509315635273643,16
centralizada,duracao_efetiva_media,portao_rede_A,-0.6722222222222223,-0.7457139815569236,-0.598730462887521,16
centralizada,duracao_efetiva_media,rede_portao_A,-0.8452256944444445,-0.9546527778165007,-0.7357986110723883,16
centralizada,N_req,portao,131.31770833333331,116.34196284817513,146.2934538184915,16
centralizada,N_req,rede,0.0,0.0,0.0,16
centralizada,N_req,interacao,11.083333333333334,6.743875175419064,15.422791491247605,16
centralizada,N_req,total,142.40104166666666,125.68941802386924,159.11266530946406,16
centralizada,N_req,portao_rede_A,142.40104166666666,125.68941802386924,159.11266530946406,16
centralizada,N_req,rede_portao_A,11.083333333333334,6.743875175419064,15.422791491247605,16
centralizada,N_fail,portao,37.46875,31.94853601989526,42.988963980104735,16
centralizada,N_fail,rede,0.0,0.0,0.0,16
centralizada,N_fail,interacao,1.3645833333333335,-0.053964126069114826,2.783130792735782,16
centralizada,N_fail,total,38.833333333333336,33.0063740156001,44.66029265106657,16
centralizada,N_fail,portao_rede_A,38.833333333333336,33.0063740156001,44.66029265106657,16
centralizada,N_fail,rede_portao_A,1.3645833333333335,-0.053964126069114826,2.783130792735782,16
centralizada,N_success,portao,93.84895833333334,81.38215657413632,106.31576009253037,16
centralizada,N_success,rede,0.0,0.0,0.0,16
centralizada,N_success,interacao,9.71875,6.0565772135341005,13.380922786465899,16
centralizada,N_success,total,103.56770833333334,89.7795285161412,117.35588815052549,16
centralizada,N_success,portao_rede_A,103.56770833333334,89.7795285161412,117.35588815052549,16
centralizada,N_success,rede_portao_A,9.71875,6.0565772135341005,13.380922786465899,16
centralizada,N_blocked,portao,-130.546875,-144.21620576298054,-116.87754423701945,16
centralizada,N_blocked,rede,18.291666666666664,13.965740240877313,22.617593092456016,16
centralizada,N_blocked,interacao,-18.28125,-22.613701053694143,-13.948798946305857,16
centralizada,N_blocked,total,-130.53645833333331,-144.20912570749454,-116.86379095917208,16
centralizada,N_blocked,portao_rede_A,-148.828125,-164.6918967961552,-132.9643532038448,16
centralizada,N_blocked,rede_portao_A,0.010416666666666664,-0.04305427352661761,0.06388760685995093,16
