reporte,metrica,contraste,arquivo,delta
adaptativa,taxa_falha_efetiva,total,j6024_1.sm,-0.011111111111111106
adaptativa,taxa_falha_efetiva,total,j6027_1.sm,4.625929269271485e-18
adaptativa,taxa_falha_efetiva,total,j602_1.sm,-0.048611111111111126
adaptativa,taxa_falha_efetiva,total,j6032_1.sm,-0.04305555555555557
adaptativa,taxa_falha_efetiva,total,j6035_1.sm,-0.03194444444444446
adaptativa,taxa_falha_efetiva,total,j6038_1.sm,-0.041666666666666664
adaptativa,taxa_falha_efetiva,total,j6040_1.sm,-0.0638888888888889
adaptativa,taxa_falha_efetiva,total,j6043_1.sm,-0.0013888888888888933
adaptativa,taxa_falha_efetiva,total,j6046_1.sm,-0.051388888888888894
adaptativa,taxa_falha_efetiva,total,j604_1.sm,-0.016666666666666666
adaptativa,taxa_falha_efetiva,total,j607_1.sm,-0.0763888888888889
adaptativa,taxa_falha_efetiva,portao_rede_A,j6010_1.sm,-0.022222222222222227
adaptativa,taxa_falha_efetiva,portao_rede_A,j6013_1.sm,0.004166666666666666
adaptativa,taxa_falha_efetiva,portao_rede_A,j6016_1.sm,-0.00416666666666667
