arquivo,semente,cenario,cruzou,primeiro_periodo,media_temporal,final
j6035_1.sm,7,centralizada,False,,0.25,0.25
j6035_1.sm,8,adaptativa,True,1.0,0.9791506876231725,0.9666666666666668
j6035_1.sm,8,centralizada,False,,0.25,0.25
j6035_1.sm,9,adaptativa,True,9.0,0.9705662960251383,0.965355294403012
j6035_1.sm,9,centralizada,False,,0.25,0.25
j6035_1.sm,10,adaptativa,True,1.0,0.9744590936474918,0.9741528915902936
j6035_1.sm,10,centralizada,False,,0.25,0.25
j6035_1.sm,11,adaptativa,True,1.0,0.970853501609998,0.9616666666666666
j6035_1.sm,11,centralizada,False,,0.25,0.25
j6038_1.sm,0,adaptativa,True,8.0,0.9687225501840757,0.9712223765957692
j6038_1.sm,0,centralizada,False,,0.25,0.25
j6038_1.sm,1,adaptativa,True,7.0,0.9494976118480081,0.9466666666666668
j6038_1.sm,1,centralizada,False,,0.25,0.25
j6038_1.sm,2,adaptativa,True,28.0,0.9345401026895047,0.9343004508451616
j6038_1.sm,2,centralizada,False,,0.25,0.25
j6038_1.sm,3,adaptativa,True,12.0,0.932252253554616,0.9166666666666666
j6038_1.sm,3,centralizada,False,,0.25,0.25
j6038_1.sm,4,adaptativa,True,7.0,0.9492215561141505,0.9453638396928168
j6038_1.sm,4,centralizada,False,,0.25,0.25
j6038_1.sm,5,adaptativa,True,12.0,0.9686029777025643,0.975
j6038_1.sm,5,centralizada,False,,0.25,0.25
j6038_1.sm,6,adaptativa,True,12.0,0.9508327136381612,0.955
j6038_1.sm,6,centralizada,False,,0.25,0.25
j6038_1.sm,7,adaptativa,True,9.0,0.989432895315713,0.995
j6038_1.sm,7,centralizada,False,,0.25,0.25
j6038_1.sm,8,adaptativa,True,1.0,0.9309084529084386,0.8875537292158543
j6038_1.sm,8,centralizada,False,,0.25,0.25
j6038_1.sm,9,adaptativa,True,8.0,0.9397307103103048,0.9306497228830604
j6038_1.sm,9,centralizada,False,,0.25,0.25
j6038_1.sm,10,adaptativa,True,1.0,0.9570148971677485,0.9316666666666666
j6038_1.sm,10,centralizada,False,,0.25,0.25
j6038_1.sm,11,adaptativa,True,7.0,0.9782894226254853,0.98
j6038_1.sm,11,centralizada,False,,0.25,0.25
j6040_1.sm,0,adaptativa,True,10.0,0.9542697231691505,0.9266666666666666
j6040_1.sm,0,centralizada,False,,0.25,0.25
j6040_1.sm,1,adaptativa,True,10.0,0.956263317929268,0.9566666666666668
j6040_1.sm,1,centralizada,False,,0.25,0.25
j6040_1.sm,2,adaptativa,False,,0.8580660654490816,0.8284212837870517
j6040_1.sm,2,centralizada,False,,0.25,0.25
j6040_1.sm,3,adaptativa,True,16.0,0.9038008624749592,0.87
j6040_1.sm,3,centralizada,False,,0.25,0.25
j6040_1.sm,4,adaptativa,True,10.0,0.9153715971982666,0.8849999999999999
j6040_1.sm,4,centralizada,False,,0.25,0.25
j6040_1.sm,5,adaptativa,True,1.0,0.9600776106307614,0.9399999999999998
j6040_1.sm,5,centralizada,False,,0.25,0.25
j6040_1.sm,6,adaptativa,False,,0.8686193133533585,0.8633333333333333
j6040_1.sm,6,centralizada,False,,0.25,0.25
j6040_1.sm,7,adaptativa,True,11.0,0.9775246508092946,0.965
j6040_1.sm,7,centralizada,False,,0.25,0.25
j6040_1.sm,8,adaptativa,True,1.0,0.9808904826238485,0.9716666666666668
j6040_1.sm,8,centralizada,False,,0.25,0.25
j6040_1.sm,9,adaptativa,True,13.0,0.952302733915513,0.945
j6040_1.sm,9,centralizada,False,,0.25,0.25
j6040_1.sm,10,adaptativa,True,1.0,0.968919855889577,0.9566666666666668
j6040_1.sm,10,centralizada,False,,0.25,0.25
j6040_1.sm,11,adaptativa,True,1.0,0.9516804532726002,0.9283333333333332
j6040_1.sm,11,centralizada,False,,0.25,0.25
j6043_1.sm,0,adaptativa,True,11.0,0.9823880317708664,1.0
j6043_1.sm,0,centralizada,False,,0.25,0.25
j6043_1.sm,1,adaptativa,True,12.0,0.9611084546055445,0.9666666666666668
j6043_1.sm,1,centralizada,False,,0.25,0.25
j6043_1.sm,2,adaptativa,False,,0.8742407095282015,0.8542173215356409
j6043_1.sm,2,centralizada,False,,0.25,0.25
j6043_1.sm,3,adaptativa,False,,0.8881315620332494,0.8576944278979207
