etapa,canal,tau_sat,s_transicao,cenario,metrica,censuradas,fracao_indefinida,media,ic95_inferior,ic95_superior,n_instancias
grade,desligado,0.7,0.25,adaptativa,divida_latente_sobre_plano,0,0,0.018965781076111177,0.007537213206690166,0.03039434894553219,4
grade,desligado,0.7,0.25,centralizada,divida_latente_sobre_plano,0,0,0.08237017859913309,0.04616784808393578,0.1185725091143304,4
grade,desligado,0.7,0.25,adaptativa,taxa_falha_efetiva,0,0,0.24895833333333334,0.17871372062609425,0.3192029460405724,4
grade,desligado,0.7,0.25,centralizada,taxa_falha_efetiva,0,0,0.2791666666666667,0.2083766078449833,0.34995672548835005,4
grade,desligado,0.7,0.25,adaptativa,fracao_porta1,0,0,0.4864583333333333,0.40701236492861237,0.5659043017380543,4
grade,desligado,0.7,0.25,centralizada,fracao_porta1,0,0,0.6010416666666667,0.49685910056744703,0.7052242327658863,4
grade,desligado,0.7,0.6,adaptativa,atraso_relativo,0,0,1.712044421760568,0.6571014876940806,2.7669873558270552,4
grade,desligado,0.7,0.6,centralizada,atraso_relativo,0,0,2.764473668630941,1.4499968790795557,4.078950458182327,4
grade,desligado,0.7,0.6,adaptativa,taxa_omissao,0,0,0.06041666666666666,0.02955524712958679,0.09127808620374653,4
grade,desligado,0.7,0.6,centralizada,taxa_omissao,0,0,0.2552083333333333,0.19483561025907006,0.3155810564075966,4
grade,desligado,0.7,0.6,adaptativa,divida_latente_sobre_plano,0,0,0.021252537497765314,0.015485520485748198,0.02701955450978243,4
grade,desligado,0.7,0.6,centralizada,divida_latente_sobre_plano,0,0,0.0775641952783889,0.04457873818767117,0.11054965236910663,4
grade,desligado,0.7,0.6,adaptativa,taxa_falha_efetiva,0,0,0.24062499999999998,0.17446230649919534,0.3067876935008046,4
grade,desligado,0.7,0.6,centralizada,taxa_falha_efetiva,0,0,0.2916666666666667,0.22876804881738033,0.35456528451595304,4
grade,desligado,0.7,0.6,adaptativa,fracao_porta1,0,0,0.64375,0.5863316802800813,0.7011683197199188,4
grade,desligado,0.7,0.6,centralizada,fracao_porta1,0,0,0.690625,0.6541594694186179,0.7270905305813822,4
grade,desligado,1.0,0.01,adaptativa,atraso_relativo,0,0,2.4355856584306745,1.750242967854578,3.120928349006771,4
grade,desligado,1.0,0.01,centralizada,atraso_relativo,7,0,114.79129881707324,-9.353434781359695,238.9360324155062,4
grade,desligado,1.0,0.01,adaptativa,taxa_omissao,0,0,0.075,0.06734422403734416,0.08265577596265583,4
grade,desligado,1.0,0.01,centralizada,taxa_omissao,7,0,0.19166666666666665,0.01483647090681603,0.36849686242651725,4
grade,desligado,1.0,0.01,adaptativa,divida_latente_sobre_plano,0,0,0.021839896123225053,0.011886762234458349,0.031793030011991755,4
grade,desligado,1.0,0.01,centralizada,divida_latente_sobre_plano,7,0,0.08159196957155854,0.012788896407973191,0.15039504273514387,4
grade,desligado,1.0,0.01,adaptativa,taxa_falha_efetiva,0,0,0.2833333333333333,0.2209023696873973,0.34576429697926936,4
grade,desligado,1.0,0.01,centralizada,taxa_falha_efetiva,7,0,0.22083333333333335,0.003822129378631134,0.4378445372880356,4
grade,desligado,1.0,0.01,adaptativa,fracao_porta1,0,0,0.25104166666666666,0.10747035038163585,0.39461298295169744,4
grade,desligado,1.0,0.01,centralizada,fracao_porta1,7,4,0.42708333333333337,0.03752167287392899,0.8166449937927378,4
grade,desligado,1.0,0.25,adaptativa,atraso_relativo,0,0,1.9035954255844214,1.0619652964342687,2.7452255547345743,4
grade,desligado,1.0,0.25,centralizada,atraso_relativo,0,0,3.116918713201019,1.7140585690836623,4.519778857318376,4
grade,desligado,1.0,0.25,adaptativa,taxa_omissao,0,0,0.051041666666666666,0.02847659980843609,0.07360673352489724,4
grade,desligado,1.0,0.25,centralizada,taxa_omissao,0,0,0.27395833333333336,0.23189508675737872,0.316021579909288,4
grade,desligado,1.0,0.25,adaptativa,divida_latente_sobre_plano,0,0,0.018090014009105197,0.0058100468072187945,0.0303699812109916,4
grade,desligado,1.0,0.25,centralizada,divida_latente_sobre_plano,0,0,0.09380112703289767,0.053757160494878976,0.13384509357091637,4
grade,desligado,1.0,0.25,adaptativa,taxa_falha_efetiva,0,0,0.2635416666666667,0.2197713116705565,0.3073120216627768,4
grade,desligado,1.0,0.25,centralizada,taxa_falha_efetiva,0,0,0.30729166666666663,0.2602927464190971,0.35429058691423615,4
grade,desligado,1.0,0.25,adaptativa,fracao_porta1,0,0,0.4239583333333334,0.3556168632055017,0.4922998034611651,4
grade,desligado,1.0,0.25,centralizada,fracao_porta1,0,0,0.534375,0.446521009595847,0.6222289904041531,4
grade,desligado,1.0,0.6,adaptativa,atraso_relativo,0,0,1.698164818304642,0.6531722919961149,2.743157344613169,4
grade,desligado,1.0,0.6,centralizada,atraso_relativo,0,0,2.7257840737998733,1.2191435693334574,4.232424578266289,4
grade,desligado,1.0,0.6,adaptativa,taxa_omissao,0,0,0.06041666666666667,0.035906224355248,0.08492710897808534,4
grade,desligado,1.0,0.6,centralizada,taxa_omissao,0,0,0.24270833333333333,0.13937308106070792,0.3460435856059587,4
grade,desligado,1.0,0.6,adaptativa,divida_latente_sobre_plano,0,0,0.01883536698434843,0.013814694148145928,0.02385603982055093,4
grade,desligado,1.0,0.6,centralizada,divida_latente_sobre_plano,0,0,0.08154549926613079,0.041692560073643775,0.12139843845861781,4
grade,desligado,1.0,0.6,adaptativa,taxa_falha_efetiva,0,0,0.23124999999999998,0.19637628079770728,0.26612371920229266,4
grade,desligado,1.0,0.6,centralizada,taxa_falha_efetiva,0,0,0.28020833333333334,0.17324985477776458,0.3871668118889021,4
grade,desligado,1.0,0.6,adaptativa,fracao_porta1,0,0,0.565625,0.5264475435977776,0.6048024564022225,4
grade,desligado,1.0,0.6,centralizada,fracao_porta1,0,0,0.6322916666666667,0.5593857238312059,0.7051976095021275,4
grade,desligado,1.4,0.01,adaptativa,atraso_relativo,0,0,2.5476814928234197,1.9005821927431195,3.19478079290372,4
grade,desligado,1.4,0.01,centralizada,atraso_relativo,11,0,177.15853832951947,80.85854354373305,273.4585331153059,4
grade,desligado,1.4,0.01,adaptativa,taxa_omissao,0,0,0.07083333333333333,0.05651068799225455,0.0851559786744121,4
grade,desligado,1.4,0.01,centralizada,taxa_omissao,11,0,0.09270833333333334,-0.020635294052996397,0.20605196071966309,4
grade,desligado,1.4,0.01,adaptativa,divida_latente_sobre_plano,0,0,0.024037898665868175,0.015834369118054876,0.03224142821368148,4
grade,desligado,1.4,0.01,centralizada,divida_latente_sobre_plano,11,0,0.03888467462153443,-0.017744642273852196,0.09551399151692105,4
grade,desligado,1.4,0.01,adaptativa,taxa_falha_efetiva,0,0,0.25416666666666665,0.2216859600760332,0.2866473732573001,4
grade,desligado,1.4,0.01,centralizada,taxa_falha_efetiva,11,0,0.10625,-0.025186541428798073,0.23768654142879808,4
grade,desligado,1.4,0.01,adaptativa,fracao_porta1,0,0,0.18437499999999998,0.0876308581284447,0.2811191418715553,4
grade,desligado,1.4,0.01,centralizada,fracao_porta1,11,8,,,,4
grade,desligado,1.4,0.25,adaptativa,atraso_relativo,0,0,2.224192151752641,1.3967402486653873,3.051644054839895,4
grade,desligado,1.4,0.25,centralizada,atraso_relativo,0,0,3.1146107222446564,2.134634138928216,4.094587305561097,4
grade,desligado,1.4,0.25,adaptativa,taxa_omissao,0,0,0.06770833333333334,0.018575486133077114,0.11684118053358958,4
grade,desligado,1.4,0.25,centralizada,taxa_omissao,0,0,0.26145833333333335,0.2190481675083245,0.3038684991583422,4
grade,desligado,1.4,0.25,adaptativa,divida_latente_sobre_plano,0,0,0.02296688099997926,0.016153242615261947,0.029780519384696575,4
grade,desligado,1.4,0.25,centralizada,divida_latente_sobre_plano,0,0,0.09496739109009147,0.06786990425258839,0.12206487792759456,4
grade,desligado,1.4,0.25,adaptativa,taxa_falha_efetiva,0,0,0.259375,0.19685608472983251,0.32189391527016753,4
grade,desligado,1.4,0.25,centralizada,taxa_falha_efetiva,0,0,0.3083333333333333,0.25501702324783154,0.36164964341883504,4
grade,desligado,1.4,0.25,adaptativa,fracao_porta1,0,0,0.28020833333333334,0.182709839752973,0.37770682691369367,4
grade,desligado,1.4,0.25,centralizada,fracao_porta1,0,0,0.5104166666666667,0.4476346357903645,0.573198697542969,4
grade,desligado,1.4,0.6,adaptativa,atraso_relativo,0,0,1.7455234242184035,0.7934205854275594,2.6976262630092473,4
grade,desligado,1.4,0.6,centralizada,atraso_relativo,0,0,2.6713106450945494,1.7172934552984063,3.6253278348906925,4
grade,desligado,1.4,0.6,adaptativa,taxa_omissao,0,0,0.05520833333333333,0.041540039307767,0.06887662735889967,4
grade,desligado,1.4,0.6,centralizada,taxa_omissao,0,0,0.215625,0.18678852616800215,0.24446147383199787,4
grade,desligado,1.4,0.6,adaptativa,divida_latente_sobre_plano,0,0,0.01839407325236336,0.014693853676525339,0.02209429282820138,4
grade,desligado,1.4,0.6,centralizada,divida_latente_sobre_plano,0,0,0.07151661642936888,0.0502839400973097,0.09274929276142806,4
grade,desligado,1.4,0.6,adaptativa,taxa_falha_efetiva,0,0,0.2333333333333333,0.16973968203278184,0.2969269846338848,4
grade,desligado,1.4,0.6,centralizada,taxa_falha_efetiva,0,0,0.24791666666666665,0.202463015305518,0.2933703180278153,4
grade,desligado,1.4,0.6,adaptativa,fracao_porta1,0,0,0.46354166666666674,0.376694151370247,0.5503891819630865,4
grade,desligado,1.4,0.6,centralizada,fracao_porta1,0,0,0.528125,0.49415586395254385,0.5620941360474561,4
nominal,ativo,1.0,0.25,adaptativa,atraso_relativo,0,0,2.0373813983341833,1.7734917939251005,2.3012710027432663,16
