etapa,canal,tau_sat,s_transicao,metrica,arquivo,semente,diferenca
grade,ativo,0.7,0.25,taxa_falha_efetiva,j6032_1.sm,0,-0.03333333333333341
grade,ativo,0.7,0.25,taxa_falha_efetiva,j6032_1.sm,1,-0.04999999999999999
grade,ativo,0.7,0.25,taxa_falha_efetiva,j6032_1.sm,2,0.0
grade,ativo,0.7,0.25,taxa_falha_efetiva,j6032_1.sm,3,-0.016666666666666607
grade,ativo,0.7,0.25,taxa_falha_efetiva,j6043_1.sm,0,-0.1
grade,ativo,0.7,0.25,taxa_falha_efetiva,j6043_1.sm,1,0.06666666666666665
grade,ativo,0.7,0.25,taxa_falha_efetiva,j6043_1.sm,2,0.10000000000000009
grade,ativo,0.7,0.25,taxa_falha_efetiva,j6043_1.sm,3,0.05000000000000002
grade,ativo,0.7,0.25,fracao_porta1,j6010_1.sm,0,-0.20000000000000007
grade,ativo,0.7,0.25,fracao_porta1,j6010_1.sm,1,-0.1333333333333333
grade,ativo,0.7,0.25,fracao_porta1,j6010_1.sm,2,-0.16666666666666663
grade,ativo,0.7,0.25,fracao_porta1,j6010_1.sm,3,-0.16666666666666669
grade,ativo,0.7,0.25,fracao_porta1,j6021_1.sm,0,-0.16666666666666663
grade,ativo,0.7,0.25,fracao_porta1,j6021_1.sm,1,-0.1166666666666667
grade,ativo,0.7,0.25,fracao_porta1,j6021_1.sm,2,-0.1166666666666667
grade,ativo,0.7,0.25,fracao_porta1,j6021_1.sm,3,-0.06666666666666665
grade,ativo,0.7,0.25,fracao_porta1,j6032_1.sm,0,-0.06666666666666676
grade,ativo,0.7,0.25,fracao_porta1,j6032_1.sm,1,-0.2333333333333334
grade,ativo,0.7,0.25,fracao_porta1,j6032_1.sm,2,-0.1166666666666667
grade,ativo,0.7,0.25,fracao_porta1,j6032_1.sm,3,-0.1499999999999999
grade,ativo,0.7,0.25,fracao_porta1,j6043_1.sm,0,-0.03333333333333327
grade,ativo,0.7,0.25,fracao_porta1,j6043_1.sm,1,-0.04999999999999999
grade,ativo,0.7,0.25,fracao_porta1,j6043_1.sm,2,-0.11666666666666659
grade,ativo,0.7,0.25,fracao_porta1,j6043_1.sm,3,0.06666666666666676
grade,ativo,0.7,0.6,atraso_relativo,j6010_1.sm,0,-0.6588235294117648
grade,ativo,0.7,0.6,atraso_relativo,j6010_1.sm,1,-1.152941176470588
grade,ativo,0.7,0.6,atraso_relativo,j6010_1.sm,2,-2.4470588235294115
grade,ativo,0.7,0.6,atraso_relativo,j6010_1.sm,3,-0.7411764705882355
grade,ativo,0.7,0.6,atraso_relativo,j6021_1.sm,0,-1.4078947368421049
grade,ativo,0.7,0.6,atraso_relativo,j6021_1.sm,1,-0.8552631578947367
grade,ativo,0.7,0.6,atraso_relativo,j6021_1.sm,2,-1.276315789473684
grade,ativo,0.7,0.6,atraso_relativo,j6021_1.sm,3,-1.5657894736842102
grade,ativo,0.7,0.6,atraso_relativo,j6032_1.sm,0,-0.8840579710144927
grade,ativo,0.7,0.6,atraso_relativo,j6032_1.sm,1,-0.9275362318840579
grade,ativo,0.7,0.6,atraso_relativo,j6032_1.sm,2,-1.6231884057971013
grade,ativo,0.7,0.6,atraso_relativo,j6032_1.sm,3,-0.7681159420289854
grade,ativo,0.7,0.6,atraso_relativo,j6043_1.sm,0,-1.0555555555555558
grade,ativo,0.7,0.6,atraso_relativo,j6043_1.sm,1,-1.1666666666666667
grade,ativo,0.7,0.6,atraso_relativo,j6043_1.sm,2,-1.101851851851852
grade,ativo,0.7,0.6,atraso_relativo,j6043_1.sm,3,-0.5277777777777779
grade,ativo,0.7,0.6,taxa_omissao,j6010_1.sm,0,-0.15
grade,ativo,0.7,0.6,taxa_omissao,j6010_1.sm,1,-0.2333333333333334
grade,ativo,0.7,0.6,taxa_omissao,j6010_1.sm,2,-0.1833333333333333
grade,ativo,0.7,0.6,taxa_omissao,j6010_1.sm,3,-0.16666666666666657
grade,ativo,0.7,0.6,taxa_omissao,j6021_1.sm,0,-0.3166666666666667
grade,ativo,0.7,0.6,taxa_omissao,j6021_1.sm,1,-0.31666666666666665
grade,ativo,0.7,0.6,taxa_omissao,j6021_1.sm,2,-0.1833333333333333
grade,ativo,0.7,0.6,taxa_omissao,j6021_1.sm,3,-0.2833333333333334
grade,ativo,0.7,0.6,taxa_omissao,j6032_1.sm,0,-0.1666666666666666
grade,ativo,0.7,0.6,taxa_omissao,j6032_1.sm,1,-0.15000000000000002
grade,ativo,0.7,0.6,taxa_omissao,j6032_1.sm,2,-0.2333333333333333
grade,ativo,0.7,0.6,taxa_omissao,j6032_1.sm,3,-0.15000000000000002
grade,ativo,0.7,0.6,taxa_omissao,j6043_1.sm,0,-0.2666666666666667
grade,ativo,0.7,0.6,taxa_omissao,j6043_1.sm,1,-0.08333333333333329
grade,ativo,0.7,0.6,taxa_omissao,j6043_1.sm,2,-0.25
grade,ativo,0.7,0.6,taxa_omissao,j6043_1.sm,3,-0.15
