etapa,canal,tau_sat,s_transicao,metrica,N_pares_previstos,N_pares_retidos,N_pares_excluidos,media,ic95_inferior,ic95_superior,n_instancias
grade,ativo,1.0,0.25,fracao_porta1,16,16,0,-0.10833333333333336,-0.11770970568011907,-0.09895696098654766,4
grade,ativo,1.0,0.6,atraso_relativo,16,16,0,-1.1065326136811193,-1.4213399556197148,-0.7917252717425238,4
grade,ativo,1.0,0.6,taxa_omissao,16,16,0,-0.18437499999999998,-0.29064629843446027,-0.07810370156553971,4
grade,ativo,1.0,0.6,divida_latente_sobre_plano,16,16,0,-0.059817009321461174,-0.08761224631800205,-0.0320217723249203,4
grade,ativo,1.0,0.6,taxa_falha_efetiva,16,16,0,-0.04583333333333335,-0.12775371352103984,0.03608704685437314,4
grade,ativo,1.0,0.6,fracao_porta1,16,16,0,-0.05624999999999999,-0.14362316780995657,0.031123167809956602,4
grade,ativo,1.4,0.01,atraso_relativo,16,5,11,-0.8170077972709553,-1.6194922280853188,-0.014523366456591802,3
grade,ativo,1.4,0.01,taxa_omissao,16,5,11,-0.2972222222222223,-0.446978011613688,-0.14746643283075653,3
grade,ativo,1.4,0.01,divida_latente_sobre_plano,16,5,11,-0.10360132383301397,-0.21315487067473732,0.005952223008709387,3
grade,ativo,1.4,0.01,taxa_falha_efetiva,16,5,11,-0.10277777777777779,-0.26357297842594907,0.058017422870393506,3
grade,ativo,1.4,0.01,fracao_porta1,16,5,11,-0.2250000000000001,-0.42247636208716266,-0.027523637912837545,3
grade,ativo,1.4,0.25,atraso_relativo,16,16,0,-1.1982497893640038,-1.6369980578900853,-0.7595015208379223,4
grade,ativo,1.4,0.25,taxa_omissao,16,16,0,-0.22916666666666669,-0.30780158600778995,-0.15053174732554342,4
grade,ativo,1.4,0.25,divida_latente_sobre_plano,16,16,0,-0.07613745170924602,-0.11248954218405287,-0.03978536123443917,4
grade,ativo,1.4,0.25,taxa_falha_efetiva,16,16,0,-0.08229166666666668,-0.14800993738106571,-0.01657339595226763,4
grade,ativo,1.4,0.25,fracao_porta1,16,16,0,-0.2291666666666667,-0.3121533005715885,-0.1461800327617449,4
grade,ativo,1.4,0.6,atraso_relativo,16,16,0,-0.9533381131501673,-1.360595592831014,-0.5460806334693205,4
grade,ativo,1.4,0.6,taxa_omissao,16,16,0,-0.18645833333333334,-0.2102867438532735,-0.16262992281339317,4
grade,ativo,1.4,0.6,divida_latente_sobre_plano,16,16,0,-0.06699545884313243,-0.09727667741605524,-0.03671424027020963,4
grade,ativo,1.4,0.6,taxa_falha_efetiva,16,16,0,-0.016666666666666684,-0.11677892793348041,0.08344559460014703,4
grade,ativo,1.4,0.6,fracao_porta1,16,16,0,-0.05833333333333335,-0.15425993119695758,0.03759326453029087,4
grade,desligado,0.7,0.01,atraso_relativo,16,16,0,-1.265622413788806,-1.9479820916478163,-0.5832627359297955,4
grade,desligado,0.7,0.01,taxa_omissao,16,16,0,-0.2666666666666667,-0.335780983603289,-0.19755234973004443,4
grade,desligado,0.7,0.01,divida_latente_sobre_plano,16,16,0,-0.09871376181931986,-0.14115939050926432,-0.0562681331293754,4
grade,desligado,0.7,0.01,taxa_falha_efetiva,16,16,0,-0.09583333333333335,-0.25056715295163706,0.058900486284970355,4
