configuracao,metrica,n_instancias_DEPOIS,media_centralizada_DEPOIS,media_adaptativa_DEPOIS,media_diferenca_DEPOIS,ic95_inferior_DEPOIS,ic95_superior_DEPOIS,n_positivo_DEPOIS,n_negativo_DEPOIS,n_zero_DEPOIS,n_pares_censurados_DEPOIS,n_instancias_ANTES,media_centralizada_ANTES,media_adaptativa_ANTES,media_diferenca_ANTES,ic95_inferior_ANTES,ic95_superior_ANTES,n_positivo_ANTES,n_negativo_ANTES,n_zero_ANTES,n_pares_censurados_ANTES
C4_C1_C3_saldo_eventos,S_UR_maximo,16,26.034528457812492,6.789539033953906,-19.244989423858584,-21.43222024670355,-17.057758601013617,0,16,0,0,16,25.112262752683552,6.82348248352241,-18.28878026916114,-19.791363766650225,-16.786196771672056,0,16,0,0
C4_C1_C3_saldo_eventos,TL,16,0.0,9.119791666666668,9.119791666666668,8.235995263972919,10.003588069360417,16,0,0,0,16,0.0,10.489583333333334,10.489583333333334,9.62216515747912,11.357001509187548,16,0,0,0
C4_C1_C3_saldo_eventos,TR,16,68.14717491409334,52.70100920745203,-15.446165706641303,-19.756713861085093,-11.135617552197512,0,16,0,0,16,68.86531966000788,52.508906312877905,-16.356413347129973,-19.1295017337695,-13.583324960490444,0,16,0,0
C4_C1_C3_saldo_eventos,TU,16,132.59895833333334,16.901041666666668,-115.69791666666667,-128.91844015899048,-102.47739317434288,0,16,0,0,16,126.265625,5.942708333333333,-120.32291666666667,-134.59218836608736,-106.05364496724599,0,16,0,0
C4_C1_C3_saldo_eventos,TW,16,610.3072916666666,482.55208333333337,-127.75520833333333,-138.178089698544,-117.33232696812266,0,16,0,0,16,696.796875,547.1927083333333,-149.60416666666666,-161.87070668292282,-137.3376266504105,0,16,0,0
C4_C1_C3_saldo_eventos,atraso_relativo,16,2.9871590907845404,1.8520585386207413,-1.1351005521637996,-1.265320052666389,-1.0048810516612101,0,16,0,0,16,3.1345325057997284,1.9991332944309277,-1.1353992113688003,-1.2444795128346746,-1.026318909902926,0,16,0,0
C4_C1_C3_saldo_eventos,competencia_maxima_final,16,0.6784269160974062,0.8980647375143505,0.2196378214169442,0.195202850312015,0.24407279252187342,16,0,0,0,16,0.6784269160974062,0.9040176605668715,0.2255907444694652,0.19863896304822404,0.25254252589070636,16,0,0,0
C4_C1_C3_saldo_eventos,competencia_maxima_inicial,16,0.6784269160974062,0.6784269160974062,0.0,0.0,0.0,0,0,16,0,16,0.6784269160974062,0.6784269160974062,0.0,0.0,0.0,0,0,16,0
C4_C1_C3_saldo_eventos,competencia_minima_inicial,16,0.36053696648776334,0.36053696648776334,0.0,0.0,0.0,0,0,16,0,16,0.36053696648776334,0.36053696648776334,0.0,0.0,0.0,0,0,16,0
C4_C1_C3_saldo_eventos,concluiu,16,1.0,1.0,0.0,0.0,0.0,0,0,16,0,16,1.0,1.0,0.0,0.0,0.0,0,0,16,0
C4_C1_C3_saldo_eventos,divida_latente_sobre_plano,16,0.07687319643456514,0.019950142711189323,-0.05692305372337582,-0.06365586805177258,-0.05019023939497907,0,16,0,0,16,0.07412735814984972,0.020144458403516828,-0.053982899746332885,-0.05825990358566864,-0.04970589590699713,0,16,0,0
