configuracao,arquivo,metrica,centralizada,adaptativa,diferenca,n_pares,n_pares_censurados
p3_criticidade_reduzida,j6032_1.sm,hiato_encontrado,130.25,130.0,-0.25,4,0
p3_criticidade_reduzida,j6043_1.sm,hiato_encontrado,198.25,236.75,38.5,4,0
p3_criticidade_reduzida,j6010_1.sm,hiato_sem_colega_capaz,10.25,9.75,-0.5,4,0
p3_criticidade_reduzida,j6021_1.sm,hiato_sem_colega_capaz,5.0,4.0,-1.0,4,0
p3_criticidade_reduzida,j6032_1.sm,hiato_sem_colega_capaz,8.5,6.0,-2.5,4,0
p3_criticidade_reduzida,j6043_1.sm,hiato_sem_colega_capaz,18.0,15.0,-3.0,4,0
p3_criticidade_reduzida,j6010_1.sm,hiato_sem_colega_livre,8.5,3.25,-5.25,4,0
p3_criticidade_reduzida,j6021_1.sm,hiato_sem_colega_livre,0.0,0.0,0.0,4,0
p3_criticidade_reduzida,j6032_1.sm,hiato_sem_colega_livre,15.0,22.5,7.5,4,0
p3_criticidade_reduzida,j6043_1.sm,hiato_sem_colega_livre,1.0,2.0,1.0,4,0
p3_criticidade_reduzida,j6010_1.sm,hiato_colega_capaz_sem_confianca,127.25,0.0,-127.25,4,0
