mapa,arquivo,semente,cenario,concluiu,violacoes,atraso_relativo,fracao_porta1,TW,TL,TU,TR,taxa_omissao,divida_latente_sobre_plano,taxa_falha_efetiva,retrabalho_sobre_esforco_total
curto,j6021_1.sm,0,adaptativa,True,0,2.473684210526316,0.43333333333333335,412.0,72.0,25.0,32.560144472335274,0.06666666666666667,0.029762446989220356,0.1,0.08931350551076521
curto,j6021_1.sm,1,centralizada,True,0,4.578947368421052,0.4666666666666667,540.0,0.0,30.0,86.29614400009307,0.2,0.1045446501617751,0.21666666666666667,0.20630394336141397
curto,j6021_1.sm,1,adaptativa,True,0,2.6052631578947367,0.35,379.0,54.0,16.0,23.660922478434607,0.06666666666666667,0.023692905000994163,0.11666666666666667,0.06652662967174663
curto,j6021_1.sm,2,centralizada,True,0,5.5394736842105265,0.5166666666666667,539.0,0.0,46.0,53.87907638524169,0.18333333333333332,0.0717790823838458,0.2,0.1396268408485865
curto,j6021_1.sm,2,adaptativa,True,0,2.1184210526315788,0.43333333333333335,414.0,42.0,16.0,26.347615243973497,0.016666666666666666,0.01355421686746988,0.11666666666666667,0.07352529812716982
curto,j6021_1.sm,3,centralizada,True,0,3.4473684210526314,0.6333333333333333,553.0,0.0,77.0,88.44756883541771,0.25,0.09896428738749578,0.2833333333333333,0.21036527593774745
curto,j6021_1.sm,3,adaptativa,True,0,2.539473684210526,0.4666666666666667,433.0,54.0,25.0,34.68904563379797,0.03333333333333333,0.016845328052898425,0.11666666666666667,0.09460071427506167
curto,j6032_1.sm,0,centralizada,True,0,2.536231884057971,0.65,583.0,0.0,125.0,74.04089691662924,0.21666666666666667,0.10275845206815608,0.25,0.18013024366197516
curto,j6032_1.sm,0,adaptativa,True,0,1.6376811594202898,0.36666666666666664,431.0,90.0,42.0,30.012335185729484,0.05,0.011869436201780416,0.11666666666666667,0.08177473155102949
curto,j6032_1.sm,1,centralizada,True,0,3.4347826086956523,0.5333333333333333,579.0,0.0,164.0,70.5890366190178,0.2,0.1265435242953226,0.23333333333333334,0.17318678933211565
curto,j6032_1.sm,1,adaptativa,True,0,1.8115942028985508,0.31666666666666665,434.0,87.0,60.0,49.734101046641904,0.05,0.008250856514794817,0.21666666666666667,0.12860024733284056
curto,j6032_1.sm,2,centralizada,True,0,2.420289855072464,0.5833333333333334,564.0,0.0,105.0,33.46407991137799,0.11666666666666667,0.05702862923723371,0.13333333333333333,0.09033016080636815
curto,j6032_1.sm,2,adaptativa,True,0,1.9565217391304348,0.43333333333333335,443.0,75.0,63.0,42.524889383668565,0.0,0.0,0.13333333333333333,0.11204769587767244
curto,j6032_1.sm,3,centralizada,True,0,3.3333333333333335,0.6333333333333333,585.0,0.0,166.0,75.51177428974239,0.21666666666666667,0.11280745546838944,0.26666666666666666,0.18305362172936182
curto,j6032_1.sm,3,adaptativa,True,0,1.8840579710144927,0.36666666666666664,448.0,119.0,60.0,38.40070053838136,0.0,0.0,0.11666666666666667,0.10229256494009988
curto,j6043_1.sm,0,centralizada,True,0,2.3518518518518516,0.4166666666666667,505.0,0.0,152.0,43.85786979750097,0.11666666666666667,0.044668184482752706,0.11666666666666667,0.1160697534790131
curto,j6043_1.sm,0,adaptativa,True,0,1.3611111111111112,0.31666666666666665,361.0,191.0,58.0,8.065641387446364,0.03333333333333333,0.01816060295642624,0.03333333333333333,0.023579221095493427
curto,j6043_1.sm,1,centralizada,True,0,2.0185185185185186,0.5,500.0,0.0,199.0,23.21423916316147,0.06666666666666667,0.04251497392340536,0.08333333333333333,0.06498688075129645
curto,j6043_1.sm,1,adaptativa,True,0,1.2685185185185186,0.26666666666666666,362.0,132.0,42.0,18.272244814005315,0.0,0.0,0.06666666666666667,0.05186966922032929
curto,j6043_1.sm,2,centralizada,True,0,1.7037037037037037,0.5,515.0,0.0,141.0,14.115786403769961,0.08333333333333333,0.04226283354422144,0.08333333333333333,0.040549113125819145
curto,j6043_1.sm,2,adaptativa,True,0,1.4537037037037037,0.3,391.0,148.0,53.0,5.649398076205867,0.0,0.0,0.016666666666666666,0.01663302837633274
curto,j6043_1.sm,3,centralizada,True,0,1.8796296296296295,0.6,514.0,0.0,236.0,45.84208869889077,0.11666666666666667,0.06445490670525847,0.15,0.12068722783174986
curto,j6043_1.sm,3,adaptativa,True,0,1.5925925925925926,0.3333333333333333,404.0,168.0,64.0,33.392587287328794,0.0,0.0,0.1,0.0908907485964415
longo,j6010_1.sm,0,centralizada,True,0,2.0,0.43333333333333335,512.0,0.0,150.0,31.201857507545345,0.1,0.031444106078736496,0.11666666666666667,0.08809060948213879
longo,j6010_1.sm,0,adaptativa,True,0,1.6235294117647059,0.3333333333333333,400.0,79.0,32.0,35.963444734289446,0.05,0.025072548253785368,0.11666666666666667,0.10018692783859975
longo,j6010_1.sm,1,centralizada,True,0,2.176470588235294,0.45,505.0,0.0,102.0,37.986532050691885,0.13333333333333333,0.06670331417433463,0.15,0.10522977639885354
longo,j6010_1.sm,1,adaptativa,True,0,1.2941176470588236,0.25,367.0,74.0,40.0,4.0,0.0,0.0,0.016666666666666666,0.012232415902140673
longo,j6010_1.sm,2,centralizada,True,0,2.3058823529411763,0.5333333333333333,509.0,0.0,95.0,35.33958817933995,0.13333333333333333,0.059414840407653526,0.16666666666666666,0.09862038509028305
longo,j6010_1.sm,2,adaptativa,True,0,1.5529411764705883,0.35,392.0,88.0,47.0,36.02008293041334,0.016666666666666666,0.02616630492274403,0.1,0.10032888031334697
longo,j6010_1.sm,3,centralizada,True,0,2.847058823529412,0.6666666666666666,526.0,0.0,175.0,52.78364171022744,0.21666666666666667,0.06585003343998039,0.2833333333333333,0.14046285109698767
longo,j6010_1.sm,3,adaptativa,True,0,1.6941176470588235,0.31666666666666665,399.0,95.0,46.0,19.41255686157023,0.016666666666666666,0.014641400339158879,0.05,0.05669347245760702
longo,j6021_1.sm,0,centralizada,True,0,3.4473684210526314,0.5333333333333333,531.0,0.0,110.0,70.15191179866605,0.18333333333333332,0.08058188971383161,0.21666666666666667,0.1744413236403735
