alpha,beta,mu,CV,E0,construtos_compativeis,E0_compativel
0.754551388888889,45.456293055555555,0.016328448396913088,1.1296182818466856,67.48454476787471,True,False
0.754551388888889,45.456294444444445,0.016328447906153825,1.129618282488042,67.48454532237577,True,False
0.754551388888889,45.45629583333333,0.016328447415394597,1.1296182831293986,67.48454587687701,True,False
0.754551388888889,45.45629722222222,0.016328446924635392,1.1296182837707551,67.484546431378,True,False
0.754551388888889,45.45629861111111,0.01632844643387622,1.1296182844121117,67.48454698587922,True,False
0.754551388888889,45.4563,0.016328445943117078,1.129618285053468,67.48454754038023,True,False
0.754551388888889,45.45630138888889,0.016328445452357964,1.1296182856948243,67.48454809488135,True,False
0.754551388888889,45.45630277777778,0.016328444961598878,1.1296182863361806,67.4845486493823,True,False
0.754551388888889,45.45630416666667,0.016328444470839823,1.1296182869775366,67.48454920388338,True,False
0.754551388888889,45.45630555555555,0.0163284439800808,1.129618287618893,67.48454975838435,True,False
0.754551388888889,45.45630694444444,0.016328443489321803,1.1296182882602492,67.48455031288523,True,False
0.754551388888889,45.45630833333333,0.01632844299856284,1.1296182889016053,67.48455086738626,True,False
0.754551388888889,45.45630972222222,0.0163284425078039,1.1296182895429614,67.48455142188708,True,False
0.754551388888889,45.45631111111111,0.016328442017044992,1.1296182901843175,67.484551976388,True,False
0.754551388888889,45.456312499999996,0.016328441526286118,1.1296182908256736,67.48455253088879,True,False
0.754551388888889,45.456313888888886,0.01632844103552727,1.1296182914670294,67.48455308538975,True,False
0.754551388888889,45.456315277777776,0.016328440544768452,1.1296182921083855,67.48455363989049,True,False
0.754551388888889,45.456316666666666,0.01632844005400966,1.1296182927497413,67.48455419439136,True,False
0.754551388888889,45.456318055555556,0.0163284395632509,1.1296182933910972,67.48455474889204,True,False
0.754551388888889,45.456319444444446,0.016328439072492172,1.129618294032453,67.48455530339287,True,False
0.754551388888889,45.456320833333336,0.01632843858173347,1.129618294673809,67.48455585789354,True,False
0.754551388888889,45.45632222222222,0.0163284380909748,1.1296182953151646,67.48455641239421,True,False
0.754551388888889,45.45632361111111,0.01632843760021616,1.1296182959565204,67.48455696689497,True,False
0.754551388888889,45.456325,0.01632843710945755,1.129618296597876,67.4845575213955,True,False
0.754551388888889,45.45632638888889,0.016328436618698965,1.1296182972392317,67.48455807589626,True,False
0.754551388888889,45.45632777777778,0.01632843612794041,1.1296182978805873,67.4845586303968,True,False
0.754551388888889,45.45632916666666,0.01632843563718189,1.129618298521943,67.48455918489746,True,False
0.754551388888889,45.45633055555555,0.016328435146423396,1.1296182991632984,67.4845597393979,True,False
0.754551388888889,45.45633194444444,0.01632843465566493,1.1296182998046538,67.48456029389851,True,False
0.754551388888889,45.45633333333333,0.016328434164906494,1.1296183004460094,67.48456084839896,True,False
0.754551388888889,45.45633472222222,0.016328433674148088,1.1296183010873646,67.48456140289954,True,False
0.754551388888889,45.45633611111111,0.016328433183389713,1.12961830172872,67.48456195739992,True,False
0.754551388888889,45.456337500000004,0.016328432692631366,1.1296183023700754,67.48456251190046,True,False
0.754551388888889,45.45633888888889,0.01632843220187305,1.1296183030114308,67.48456306640091,True,False
0.754551388888889,45.45634027777778,0.01632843171111476,1.129618303652786,67.48456362090118,True,False
0.754551388888889,45.45634166666667,0.016328431220356505,1.1296183042941412,67.48456417540163,True,False
0.754551388888889,45.45634305555556,0.016328430729598276,1.1296183049354964,67.48456472990189,True,False
0.754551388888889,45.45634444444445,0.016328430238840074,1.1296183055768516,67.48456528440228,True,False
0.754551388888889,45.45634583333333,0.016328429748081907,1.1296183062182068,67.48456583890254,True,False
0.754551388888889,45.45634722222222,0.01632842925732377,1.1296183068595618,67.4845663934029,True,False
0.754551388888889,45.45634861111111,0.016328428766565657,1.1296183075009167,67.48456694790306,True,False
0.754551388888889,45.45635,0.016328428275807577,1.129618308142272,67.48456750240338,True,False
0.7545527777777778,45.45625,0.016328493175206932,1.1296172057162155,67.48448668907959,True,False
0.7545527777777778,45.45625138888889,0.016328492684445882,1.129617206357573,67.48448724358217,True,False
0.7545527777777778,45.45625277777778,0.01632849219368486,1.1296172069989305,67.48448779808467,True,False
0.7545527777777778,45.45625416666667,0.01632849170292387,1.1296172076402882,67.48448835258723,True,False
0.7545527777777778,45.45625555555555,0.016328491212162913,1.1296172082816456,67.48448890708971,True,False
0.7545527777777778,45.45625694444444,0.01632849072140198,1.129617208923003,67.48448946159216,True,False
0.7545527777777778,45.45625833333333,0.016328490230641077,1.1296172095643604,67.4844900160946,True,False
0.7545527777777778,45.45625972222222,0.016328489739880204,1.1296172102057178,67.48449057059705,True,False
0.7545527777777778,45.45626111111111,0.016328489249119362,1.1296172108470752,67.48449112509947,True,False
0.7545527777777778,45.456262499999994,0.01632848875835855,1.1296172114884324,67.4844916796018,True,False
0.7545527777777778,45.456263888888884,0.016328488267597766,1.1296172121297896,67.48449223410418,True,False
0.7545527777777778,45.456265277777774,0.01632848777683701,1.1296172127711468,67.48449278860654,True,False
