arquivo,semente,cenario,concluiu,TR,E_plano,retrabalho_sobre_esforco_total
j6038_1.sm,5,centralizada,True,76.78781340118036,341.0,0.1837962021344192
j6038_1.sm,5,adaptativa,True,73.06674711683368,341.0,0.1764612773800381
j6038_1.sm,6,centralizada,True,99.74996883353688,341.0,0.2263187201068427
j6038_1.sm,6,adaptativa,True,88.32481825860074,341.0,0.2057295886523823
j6038_1.sm,7,centralizada,True,66.06026212631868,341.0,0.1622861975798042
j6038_1.sm,7,adaptativa,True,63.11398651232597,341.0,0.1561786738861138
j6038_1.sm,8,centralizada,True,135.7202736575232,341.0,0.2846958293093801
j6038_1.sm,8,adaptativa,True,109.23154807374132,341.0,0.2426119372155831
j6038_1.sm,9,centralizada,True,88.85623662886597,341.0,0.2067115213349426
j6038_1.sm,9,adaptativa,True,73.06403026024222,341.0,0.1764558737795237
j6038_1.sm,10,centralizada,True,141.59803896500514,341.0,0.2934078208620174
j6038_1.sm,10,adaptativa,True,109.69972711653642,341.0,0.2433986987708372
j6038_1.sm,11,centralizada,True,96.23830379380932,341.0,0.220104924382821
j6038_1.sm,11,adaptativa,True,73.61465697130572,341.0,0.1775495770194163
j6040_1.sm,0,centralizada,True,112.37709792338435,375.0,0.2305752535402269
j6040_1.sm,0,adaptativa,True,45.64278721069674,375.0,0.1085072384418055
j6040_1.sm,1,centralizada,True,102.7606873667499,375.0,0.2150882022820482
j6040_1.sm,1,adaptativa,True,63.61830991379739,375.0,0.1450425312301724
j6040_1.sm,2,centralizada,True,88.71482807807591,375.0,0.1913133303193378
j6040_1.sm,2,adaptativa,True,65.31596221462758,375.0,0.1483388471453823
j6040_1.sm,3,centralizada,True,152.006425858196,375.0,0.2884337237646833
j6040_1.sm,3,adaptativa,True,67.0719441801716,375.0,0.1517217843456621
j6040_1.sm,4,centralizada,True,118.50281720315289,375.0,0.2401259183782341
j6040_1.sm,4,adaptativa,True,82.11016187464222,375.0,0.1796288263159638
j6040_1.sm,5,centralizada,True,96.49489981165132,375.0,0.2046573565275006
j6040_1.sm,5,adaptativa,True,96.13150159144256,375.0,0.204043884280118
j6040_1.sm,6,centralizada,True,135.43042648792493,375.0,0.2653259278052241
j6040_1.sm,6,adaptativa,True,83.76149203070509,375.0,0.182581784839733
j6040_1.sm,7,centralizada,True,107.72423410302731,375.0,0.2231589518251446
j6040_1.sm,7,adaptativa,True,72.39891165542566,375.0,0.161821832305183
j6040_1.sm,8,centralizada,True,147.1086022304032,375.0,0.2817586256996491
j6040_1.sm,8,adaptativa,True,126.37765366804489,375.0,0.2520608023582115
j6040_1.sm,9,centralizada,True,88.50064870844209,375.0,0.1909396436769866
j6040_1.sm,9,adaptativa,True,91.8856480114668,375.0,0.1968054670406362
j6040_1.sm,10,centralizada,True,136.94152781654816,375.0,0.2674944703169705
j6040_1.sm,10,adaptativa,True,81.6571543372699,375.0,0.1788150115720315
j6040_1.sm,11,centralizada,True,104.05547206712382,375.0,0.2172096513544132
j6040_1.sm,11,adaptativa,True,73.7505762344251,375.0,0.1643464769522616
j6043_1.sm,0,centralizada,True,58.09857985334466,334.0,0.1481734003603764
j6043_1.sm,0,adaptativa,True,53.90301745994712,334.0,0.1389600364877617
j6043_1.sm,1,centralizada,True,53.85695468621138,334.0,0.1388577774241108
j6043_1.sm,1,adaptativa,True,73.54734617528402,334.0,0.1804633176132907
j6043_1.sm,2,centralizada,True,77.78773422167602,334.0,0.188902504268864
j6043_1.sm,2,adaptativa,True,80.25361986203313,334.0,0.193730642326702
j6043_1.sm,3,centralizada,True,85.5801560890785,334.0,0.2039661667672136
j6043_1.sm,3,adaptativa,True,37.53606153759509,334.0,0.1010293896701515
j6043_1.sm,4,centralizada,True,63.80912667140184,334.0,0.1604013643561009
j6043_1.sm,4,adaptativa,True,49.9658641928236,334.0,0.1301310060410247
j6043_1.sm,5,centralizada,True,91.75540175317742,334.0,0.2155120084803308
j6043_1.sm,5,adaptativa,True,49.0,334.0,0.1279373368146214
j6043_1.sm,6,centralizada,True,64.80299187287318,334.0,0.1624937455171612
j6043_1.sm,6,adaptativa,True,59.681477357211456,334.0,0.1515983880111757
j6043_1.sm,7,centralizada,True,51.528527458977926,334.0,0.1336568471303613
j6043_1.sm,7,adaptativa,True,67.48870447985982,334.0,0.1680961474801473
j6043_1.sm,8,centralizada,True,86.23408234740072,334.0,0.2052048750203759
j6043_1.sm,8,adaptativa,True,73.20046634333363,334.0,0.1797651829838873
j6043_1.sm,9,centralizada,True,45.41763622362469,334.0,0.1197035453482611
j6043_1.sm,9,adaptativa,True,66.7702567746992,334.0,0.1666048207071299
j6043_1.sm,10,centralizada,True,110.68633692198036,334.0,0.2489087874570793
j6043_1.sm,10,adaptativa,True,59.17879946662006,334.0,0.1505137091493769
