variante,arquivo,semente,cenario,canal,limite_aversao_perda,concluiu,violacoes,atraso,fuga,N_req,conf,falha
F2,j6032_1.sm,2,adaptativa,,0.3,True,0,1.7826086956521738,0.29411764705882354,124,0.9033165841867185,0.23333333333333334
F2,j6032_1.sm,3,centralizada,,0.3,True,0,3.8550724637681157,0.5238095238095238,0,0.25,0.3333333333333333
F2,j6032_1.sm,3,adaptativa,,0.3,True,0,1.9420289855072463,0.3684210526315789,173,0.909922036168754,0.16666666666666666
F2,j6043_1.sm,0,centralizada,,0.3,True,0,2.25,0.2857142857142857,0,0.25,0.25
F2,j6043_1.sm,0,adaptativa,,0.3,True,0,1.4907407407407407,0.1044776119402985,263,1.0,0.23333333333333334
F2,j6043_1.sm,1,centralizada,,0.3,True,0,2.1481481481481484,0.21052631578947367,0,0.25,0.23333333333333334
F2,j6043_1.sm,1,adaptativa,,0.3,True,0,1.6296296296296295,0.1780821917808219,231,0.9666666666666667,0.31666666666666665
F2,j6043_1.sm,2,centralizada,,0.3,True,0,2.1574074074074074,0.3258426966292135,0,0.25,0.31666666666666665
F2,j6043_1.sm,2,adaptativa,,0.3,True,0,1.3703703703703705,0.23076923076923078,155,0.9666666666666667,0.26666666666666666
F2,j6043_1.sm,3,centralizada,,0.3,True,0,1.787037037037037,0.3103448275862069,0,0.25,0.31666666666666665
F2,j6043_1.sm,3,adaptativa,,0.3,True,0,1.5,0.1780821917808219,268,0.9666666666666667,0.16666666666666666
F2,j6010_1.sm,0,centralizada,,0.4,True,0,2.152941176470588,0.22077922077922077,0,0.25,0.23333333333333334
F2,j6010_1.sm,0,adaptativa,,0.4,True,0,1.576470588235294,0.09090909090909091,175,0.9983333333333334,0.1
F2,j6010_1.sm,1,centralizada,,0.4,True,0,2.5647058823529414,0.1891891891891892,0,0.25,0.2833333333333333
F2,j6010_1.sm,1,adaptativa,,0.4,True,0,1.423529411764706,0.047619047619047616,142,0.9666666666666667,0.23333333333333334
F2,j6010_1.sm,2,centralizada,,0.4,True,0,3.635294117647059,0.3258426966292135,0,0.25,0.26666666666666666
F2,j6010_1.sm,2,adaptativa,,0.4,True,0,1.5176470588235293,0.16666666666666666,155,0.9453881496387276,0.23333333333333334
F2,j6010_1.sm,3,centralizada,,0.4,True,0,2.8705882352941177,0.29411764705882354,0,0.25,0.3
F2,j6010_1.sm,3,adaptativa,,0.4,True,0,1.5411764705882354,0.15492957746478872,125,0.989094848234228,0.18333333333333332
F2,j6021_1.sm,0,centralizada,,0.4,True,0,3.5526315789473686,0.1780821917808219,0,0.25,0.26666666666666666
F2,j6021_1.sm,0,adaptativa,,0.4,True,0,2.210526315789474,0.22077922077922077,106,0.9966666666666667,0.25
F2,j6021_1.sm,1,centralizada,,0.4,True,0,5.776315789473684,0.23076923076923078,0,0.25,0.31666666666666665
F2,j6021_1.sm,1,adaptativa,,0.4,True,0,2.5921052631578947,0.11764705882352941,73,0.9666666666666667,0.2833333333333333
F2,j6021_1.sm,2,centralizada,,0.4,True,0,3.3421052631578947,0.29411764705882354,0,0.25,0.26666666666666666
F2,j6021_1.sm,2,adaptativa,,0.4,True,0,2.1052631578947367,0.23076923076923078,67,0.9666666666666667,0.2
F2,j6021_1.sm,3,centralizada,,0.4,True,0,3.6447368421052633,0.2682926829268293,0,0.25,0.3333333333333333
F2,j6021_1.sm,3,adaptativa,,0.4,True,0,2.763157894736842,0.1891891891891892,131,0.9666666666666667,0.23333333333333334
F2,j6032_1.sm,0,centralizada,,0.4,True,0,2.753623188405797,0.34065934065934067,0,0.25,0.16666666666666666
F2,j6032_1.sm,0,adaptativa,,0.4,True,0,1.681159420289855,0.22077922077922077,92,0.9933333333333333,0.23333333333333334
F2,j6032_1.sm,1,centralizada,,0.4,True,0,3.8260869565217392,0.3684210526315789,0,0.25,0.38333333333333336
F2,j6032_1.sm,1,adaptativa,,0.4,True,0,1.7681159420289856,0.25,136,0.985,0.35
F2,j6032_1.sm,2,centralizada,,0.4,True,0,3.289855072463768,0.3258426966292135,0,0.25,0.38333333333333336
F2,j6032_1.sm,2,adaptativa,,0.4,True,0,1.7971014492753623,0.3103448275862069,128,0.9116891002432442,0.21666666666666667
