replica,grupo,bloco,arquivo,semente,concluiu,taxa_omissao,atraso_relativo,retrabalho_sobre_plano,E_total
325,obs,4,j6010_1.sm,10009108,True,0.11666666666666667,1.5411764705882354,0.17097419761731292,0.867173835205633
325,obs,4,j6032_1.sm,10009109,True,0.03333333333333333,1.6231884057971016,0.22350021263037043,0.8373053326951803
325,obs,5,j6010_1.sm,10009110,True,0.1,1.5647058823529412,0.20787361948639924,0.8474528001358032
325,obs,5,j6032_1.sm,10009111,True,0.08333333333333333,1.6376811594202898,0.1865000618347594,0.874590842723599
325,obs,6,j6010_1.sm,10009112,True,0.05,1.5647058823529412,0.13715967769775794,0.8836124115561207
325,obs,6,j6032_1.sm,10009113,True,0.15,1.6666666666666667,0.2437258888509741,0.8309858732481907
325,obs,7,j6010_1.sm,10009114,True,0.06666666666666667,1.5529411764705883,0.16357266952726435,0.8768795328350844
325,obs,7,j6032_1.sm,10009115,True,0.15,1.681159420289855,0.2350011522276961,0.8364252058928112
325,obs,8,j6010_1.sm,10009116,True,0.08333333333333333,1.6235294117647059,0.1792376083758121,0.8608776257058706
325,obs,8,j6032_1.sm,10009117,True,0.13333333333333333,1.536231884057971,0.16943331159039776,0.8708213345353695
325,obs,9,j6010_1.sm,10009118,True,0.06666666666666667,1.611764705882353,0.17948822708180978,0.8607086035463214
325,obs,9,j6032_1.sm,10009119,True,0.06666666666666667,1.6521739130434783,0.204237483668352,0.8615027934274518
325,sim,0,j6010_1.sm,10009120,True,0.2,1.7294117647058824,0.26454721195907743,0.817864698041311
325,sim,0,j6032_1.sm,10009121,True,0.15,1.6956521739130435,0.22426479138971564,0.8541782311440366
325,sim,1,j6010_1.sm,10009122,True,0.03333333333333333,1.576470588235294,0.15092351981441715,0.8742373790176742
325,sim,1,j6032_1.sm,10009123,True,0.1,1.6376811594202898,0.20219182370354663,0.8642884581178882
325,sim,2,j6010_1.sm,10009124,True,0.05,1.5176470588235293,0.24060870877047172,0.8381108372986358
325,sim,2,j6032_1.sm,10009125,True,0.06666666666666667,1.6231884057971016,0.18174110510017327,0.8673298698569611
325,sim,3,j6010_1.sm,10009126,True,0.06666666666666667,1.611764705882353,0.19743352866897235,0.846492695166966
325,sim,3,j6032_1.sm,10009127,True,0.1,1.5942028985507246,0.16141176630781212,0.8513993902084638
326,obs,0,j6010_1.sm,10009128,True,0.1,1.5058823529411764,0.19106434712280648,0.8649222609624112
326,obs,0,j6032_1.sm,10009129,True,0.11666666666666667,1.5942028985507246,0.2001048542602074,0.8596690889195484
326,obs,1,j6010_1.sm,10009130,True,0.08333333333333333,1.611764705882353,0.16646313226134885,0.877662959960768
326,obs,1,j6032_1.sm,10009131,True,0.08333333333333333,1.7971014492753623,0.19952477188383114,0.8570351232521589
326,obs,2,j6010_1.sm,10009132,True,0.05,1.6,0.19597175507178213,0.8607522082891239
326,obs,2,j6032_1.sm,10009133,True,0.08333333333333333,1.6231884057971016,0.15595215987890385,0.8686369381675922
326,obs,3,j6010_1.sm,10009134,True,0.15,1.6470588235294117,0.21594418272200325,0.8432336300805346
326,obs,3,j6032_1.sm,10009135,True,0.03333333333333333,1.6521739130434783,0.10703703837419068,0.8975508820983618
326,obs,4,j6010_1.sm,10009136,True,0.08333333333333333,1.8588235294117648,0.24209607606236241,0.8387029630530177
326,obs,4,j6032_1.sm,10009137,True,0.08333333333333333,1.5797101449275361,0.2159057649587082,0.8567659050711042
326,obs,5,j6010_1.sm,10009138,True,0.06666666666666667,1.576470588235294,0.18111913540221403,0.8574033678250172
326,obs,5,j6032_1.sm,10009139,True,0.13333333333333333,1.7536231884057971,0.24849601419844128,0.839002383497884
326,obs,6,j6010_1.sm,10009140,True,0.1,1.6588235294117648,0.1748801550433457,0.875131971638964
326,obs,6,j6032_1.sm,10009141,True,0.11666666666666667,1.608695652173913,0.22371851943481755,0.8524744211340792
326,obs,7,j6010_1.sm,10009142,True,0.08333333333333333,1.588235294117647,0.1573383804671691,0.870063112927969
326,obs,7,j6032_1.sm,10009143,True,0.1,1.608695652173913,0.18818515450197265,0.8619814773529134
326,obs,8,j6010_1.sm,10009144,True,0.06666666666666667,1.611764705882353,0.20651656403795604,0.8593268818307194
326,obs,8,j6032_1.sm,10009145,True,0.1,1.681159420289855,0.18893930072095771,0.865247629768123
326,obs,9,j6010_1.sm,10009146,True,0.03333333333333333,1.5294117647058822,0.23540411350613366,0.8513457217223743
326,obs,9,j6032_1.sm,10009147,True,0.06666666666666667,1.608695652173913,0.1909563563877787,0.8793404658178074
326,sim,0,j6010_1.sm,10009148,True,0.1,1.6235294117647059,0.20133989282532708,0.855124076603439
326,sim,0,j6032_1.sm,10009149,True,0.03333333333333333,1.536231884057971,0.10768838673336141,0.9038573824155637
326,sim,1,j6010_1.sm,10009150,True,0.08333333333333333,1.611764705882353,0.21027224043536746,0.8453191677040891
326,sim,1,j6032_1.sm,10009151,True,0.05,1.7246376811594204,0.22186159393602753,0.8684490399594067
326,sim,2,j6010_1.sm,10009152,True,0.1,1.5647058823529412,0.2474625610872966,0.8307063955521475
326,sim,2,j6032_1.sm,10009153,True,0.11666666666666667,1.608695652173913,0.20787237171824702,0.8622791185071209
326,sim,3,j6010_1.sm,10009154,True,0.08333333333333333,1.6,0.16485698225355405,0.8768897897453213
326,sim,3,j6032_1.sm,10009155,True,0.11666666666666667,1.6666666666666667,0.1966319416999902,0.8637127994721242
327,obs,0,j6010_1.sm,10009156,True,0.11666666666666667,1.6941176470588235,0.267722390027767,0.8346287544389962
327,obs,0,j6032_1.sm,10009157,True,0.11666666666666667,1.7536231884057971,0.21492822441983242,0.8489822290619756
327,obs,1,j6010_1.sm,10009158,True,0.1,1.7058823529411764,0.21084471322754403,0.8668581178834867
327,obs,1,j6032_1.sm,10009159,True,0.11666666666666667,1.6231884057971016,0.2397505873092394,0.8502014443236557
327,obs,2,j6010_1.sm,10009160,True,0.03333333333333333,1.7058823529411764,0.2041523719384621,0.8503564834933555
327,obs,2,j6032_1.sm,10009161,True,0.13333333333333333,1.6231884057971016,0.13866314157099524,0.8834886605456524
327,obs,3,j6010_1.sm,10009162,True,0.13333333333333333,1.611764705882353,0.2396740966737303,0.8520116534363313
327,obs,3,j6032_1.sm,10009163,True,0.13333333333333333,1.7246376811594204,0.24068875847533863,0.8514589380175076
327,obs,4,j6010_1.sm,10009164,True,0.13333333333333333,1.7529411764705882,0.22557422695902493,0.8420342435301931
327,obs,4,j6032_1.sm,10009165,True,0.1,1.6231884057971016,0.2014020052215233,0.8541747504009647
327,obs,5,j6010_1.sm,10009166,True,0.13333333333333333,1.5647058823529412,0.22787053949917777,0.8360153489555854
327,obs,5,j6032_1.sm,10009167,True,0.11666666666666667,1.6521739130434783,0.23591156358677948,0.836329327581937
327,obs,6,j6010_1.sm,10009168,True,0.1,1.611764705882353,0.21120195001294698,0.83867079963093
327,obs,6,j6032_1.sm,10009169,True,0.08333333333333333,1.5942028985507246,0.2140955849514637,0.8525751825160843
327,obs,7,j6010_1.sm,10009170,True,0.1,1.7294117647058824,0.2890462851367262,0.8260959503179539
327,obs,7,j6032_1.sm,10009171,True,0.18333333333333332,1.6231884057971016,0.19603201693820585,0.8680225327520514
327,obs,8,j6010_1.sm,10009172,True,0.1,1.6470588235294117,0.24479476582390683,0.8493799993821673
327,obs,8,j6032_1.sm,10009173,True,0.08333333333333333,1.608695652173913,0.24061463693225218,0.8376275087726104
327,obs,9,j6010_1.sm,10009174,True,0.11666666666666667,1.7058823529411764,0.17495203101652654,0.8739497556901489
327,obs,9,j6032_1.sm,10009175,True,0.13333333333333333,1.5507246376811594,0.1954213061263562,0.8573539046718435
327,sim,0,j6010_1.sm,10009176,True,0.06666666666666667,1.6588235294117648,0.23730559166309256,0.8490489098930154
327,sim,0,j6032_1.sm,10009177,True,0.13333333333333333,1.5797101449275361,0.17658524862398814,0.8744449003201694
327,sim,1,j6010_1.sm,10009178,True,0.08333333333333333,1.5176470588235293,0.18156190334761058,0.860645455132031
327,sim,1,j6032_1.sm,10009179,True,0.18333333333333332,1.6956521739130435,0.2237402476319004,0.847767500167386
327,sim,2,j6010_1.sm,10009180,True,0.13333333333333333,1.6,0.25723826673788724,0.8466759701166688
327,sim,2,j6032_1.sm,10009181,True,0.05,1.6376811594202898,0.15854619290120084,0.872245552483491
327,sim,3,j6010_1.sm,10009182,True,0.1,1.6235294117647059,0.19070666006654413,0.8679066917647855
327,sim,3,j6032_1.sm,10009183,True,0.18333333333333332,1.710144927536232,0.24338777904820852,0.8390880241010636
328,obs,0,j6010_1.sm,10009184,True,0.1,1.6352941176470588,0.24874165763452608,0.8299911849883647
328,obs,0,j6032_1.sm,10009185,True,0.16666666666666666,1.710144927536232,0.22579147658838875,0.8544470974013705
328,obs,1,j6010_1.sm,10009186,True,0.03333333333333333,1.588235294117647,0.18768233661407455,0.8666571026596633
328,obs,1,j6032_1.sm,10009187,True,0.06666666666666667,1.6231884057971016,0.1636819156125337,0.8814664073467569
328,obs,2,j6010_1.sm,10009188,True,0.16666666666666666,1.4705882352941178,0.18913168809751976,0.8495805799363795
328,obs,2,j6032_1.sm,10009189,True,0.15,1.6376811594202898,0.1925634170100914,0.8694318161214493
328,obs,3,j6010_1.sm,10009190,True,0.1,1.5294117647058822,0.17965681060006544,0.8613214281554822
328,obs,3,j6032_1.sm,10009191,True,0.06666666666666667,1.6956521739130435,0.1283575989210346,0.8924483523691074
328,obs,4,j6010_1.sm,10009192,True,0.11666666666666667,1.5058823529411764,0.18710707066150778,0.855607875574708
328,obs,4,j6032_1.sm,10009193,True,0.08333333333333333,1.7681159420289856,0.1708874033425596,0.8655362945196807
