replica,I_max,excluido,incompletas,z_taxa_omissao,f_taxa_omissao,V_obs_taxa_omissao,V_sim_taxa_omissao,I_taxa_omissao,z_atraso_relativo,f_atraso_relativo,V_obs_atraso_relativo,V_sim_atraso_relativo,I_atraso_relativo,z_retrabalho_sobre_plano,f_retrabalho_sobre_plano,V_obs_retrabalho_sobre_plano,V_sim_retrabalho_sobre_plano,I_retrabalho_sobre_plano,z_E_total,f_E_total,V_obs_E_total,V_sim_E_total,I_E_total
30,2.1543070318603514,False,0,0.0975,0.08958333333333335,5.254629629629632e-05,0.00015480324074074073,0.5497823891428911,1.5999658994032395,1.6174765558397273,0.0003365991187691292,0.0004253828988753563,0.6343516385068465,0.20449211643194162,0.18170806338197015,4.5303066571152775e-05,0.0001852973402298022,1.5003789021578193,0.8533763991264285,0.871313410414103,1.783843102400236e-05,5.1485784666486076e-05,2.1543070318603514
31,2.1264310866078744,False,0,0.10166666666666666,0.07916666666666666,1.3580246913580242e-05,9.837962962962967e-05,2.1264310866078744,1.6170758738277917,1.64769820971867,0.00015632735733053384,0.000855381467115432,0.962743392925424,0.2058394259045202,0.1972042503279445,4.3792833296974416e-05,2.307251642848063e-05,1.056016276698324,0.8527198981633684,0.8603348137330336,1.3190419170812405e-05,2.5144283105032122e-05,1.2298978579430737
32,2.8445677319906557,False,0,0.10666666666666666,0.12083333333333332,5.370370370370369e-05,9.837962962962959e-05,1.1487535432791258,1.6141858482523443,1.5675618073316284,6.30963112518482e-05,0.0002505392114467149,2.632675237339456,0.21196827536974347,0.192152531076909,4.00549712673176e-05,8.472562484395603e-06,2.8445677319906557,0.8525951308492973,0.8579908579732216,1.1939233603423074e-05,3.447648791409676e-06,1.3755445513383955
33,1.3094242029210459,False,0,0.11000000000000001,0.09791666666666667,0.00010308641975308638,0.00037471064814814816,0.552796158085165,1.6481244671781756,1.620524296675192,0.00022143749988391676,0.00022284867775396546,1.3094242029210459,0.2104051358792305,0.21629355771558634,7.306143240384817e-05,0.00029450160996916954,0.30713760666423895,0.85306580303093,0.8498068154223124,2.608341974237871e-05,5.579992972314262e-05,0.36015123596874193
34,1.7689202931653067,False,0,0.09249999999999999,0.08333333333333333,3.4645061728395064e-05,0.00010416666666666669,0.7780336097774314,1.6132139812446717,1.6076513213981247,0.00026168872893231565,0.00046871649990660736,0.20582615782491917,0.2106320657902867,0.18080986255990306,7.236131497963129e-05,0.00021186410869904277,1.7689202931653067,0.8516231003184229,0.8611410805276873,1.7512998367056955e-05,5.289633819581556e-05,1.1343045426732148
35,1.2859754042858853,False,0,0.0925,0.09791666666666667,7.631172839506172e-05,0.0001316550925925926,0.3756082165307187,1.619838022165388,1.6804987212276217,0.0002997507784841287,0.002926076823973722,1.0680383176582042,0.20210801963216043,0.22184937178524766,9.101884100302922e-05,0.0001446425662514953,1.2859754042858853,0.8549655709979123,0.8503303855047755,2.5463377585503066e-05,3.8003010704659925e-05,0.5818288158042061
36,2.2734212697776357,False,0,0.1075,0.10833333333333334,0.0001395833333333333,0.0002546296296296296,0.04197138526954444,1.6203410059676042,1.6612745098039214,0.00021313005411051166,0.0014239680669084931,1.0116762765544793,0.20105087513563968,0.22125793563805507,8.20421411171092e-05,0.00013448658503227755,1.3732366362153905,0.8588926630674113,0.8399168887941991,2.179253346858897e-05,4.787640179816308e-05,2.2734212697776357
37,1.8877870951838225,False,0,0.1,0.11875,6.018518518518519e-05,0.0004904513888888887,0.7990404124086039,1.6205115089514066,1.5938192668371698,0.00015090591318463583,0.0003497873073392618,1.1928867096616356,0.19788466243784433,0.17105248536463544,5.342308827909674e-05,0.00014860222863602096,1.8877870951838225,0.8588533163650762,0.8658086697793566,1.0161399985361094e-05,8.261083789454079e-05,0.7221213505733929
38,0.6538915590751027,False,0,0.1,0.08541666666666667,0.00013425925925925926,0.0003631365740740741,0.6538915590751027,1.6485763000852516,1.637169650468883,0.00024926379841466294,0.000136482333027358,0.5807741951860668,0.2113553227506375,0.2162725746165963,4.276049165529096e-05,6.214542810031603e-05,0.48008977444703393,0.8540680968019373,0.8514003351824744,8.911732839188749e-06,4.625729006890243e-05,0.3591694370827289
39,0.7430849834629322,False,0,0.08916666666666666,0.08750000000000001,8.958333333333333e-05,6.36574074074074e-05,0.1346361326595587,1.6218243819266838,1.6422847399829497,0.00018329337245356894,0.0005748467641377823,0.7430849834629322,0.19280200285519672,0.19665536031834557,4.610731362339825e-05,0.00031518466870273965,0.20272632002947025,0.8634877422362699,0.8580143217199083,1.2305068774055056e-05,0.0001016344935896517,0.5127687410444698
40,0.7984443954153408,False,0,0.0875,0.09375,5.748456790123458e-05,1.5914351851851844e-05,0.7295166077246799,1.6362233589087807,1.6319693094629157,0.0003570540259627413,0.0008928416122246604,0.12032771157904062,0.20959664805367811,0.2135709349985902,2.478148031889938e-05,0.0002824758459421625,0.22672953462291867,0.8505408756961321,0.8445330489418834,7.148465856871994e-06,4.946835087625236e-05,0.7984443954153408
