tau_min,p_reporte,p_deteccao,tau_inicial,metrica,media,ic95_inferior,ic95_superior,n_instancias
0.25,0.15,0.03,0.250001,taxa_falha_efetiva,0.27708333333333335,0.25140508012382234,0.30276158654284435,4
0.25,0.15,0.03,0.250001,fracao_porta1,0.4395833333333333,0.30386864333340535,0.5752980233332613,4
0.25,0.15,0.03,0.250001,N_req,109.6875,44.330720823397854,175.04427917660215,4
0.25,0.15,0.03,0.250001,mu_rede_medio,0.8525766137983475,0.8029618895491448,0.9021913380475501,4
0.25,0.15,0.03,0.251,atraso_relativo,2.7221362384898025,1.3957654967487234,4.048506980230881,4
0.25,0.15,0.03,0.251,taxa_omissao,0.23333333333333334,0.2031925132275222,0.2634741534391445,4
0.25,0.15,0.03,0.251,divida_latente_sobre_plano,0.07975339797020767,0.06612797814160028,0.09337881779881506,4
0.25,0.15,0.03,0.251,taxa_falha_efetiva,0.26875000000000004,0.22734506081976963,0.31015493918023046,4
0.25,0.15,0.03,0.251,fracao_porta1,0.4447916666666667,0.3067353960315691,0.5828479373017643,4
0.25,0.15,0.03,0.251,N_req,108.4375,41.98815403350687,174.88684596649313,4
0.25,0.15,0.03,0.251,mu_rede_medio,0.8516462189332337,0.7983209479929088,0.9049714898735586,4
0.25,0.15,0.03,0.26,atraso_relativo,2.7028806186217174,1.5737544890067063,3.8320067482367284,4
0.25,0.15,0.03,0.26,taxa_omissao,0.23541666666666666,0.18279190738792606,0.28804142594540727,4
0.25,0.15,0.03,0.26,divida_latente_sobre_plano,0.08138966571759318,0.042576806675278765,0.12020252475990759,4
0.25,0.15,0.03,0.26,taxa_falha_efetiva,0.26875,0.20016774884397642,0.33733225115602355,4
0.25,0.15,0.03,0.26,fracao_porta1,0.42812500000000003,0.2820244894612066,0.5742255105387934,4
0.25,0.15,0.03,0.26,N_req,117.0,22.58277042474424,211.41722957525576,4
0.25,0.15,0.03,0.26,mu_rede_medio,0.8517315428365476,0.7957517086314684,0.9077113770416269,4
0.25,0.15,0.03,0.27,atraso_relativo,2.789616704805492,1.5790890380670177,4.000144371543966,4
0.25,0.15,0.03,0.27,taxa_omissao,0.25,0.21058948112311843,0.2894105188768816,4
0.25,0.15,0.03,0.27,divida_latente_sobre_plano,0.08438419800193606,0.061701349305686784,0.10706704669818533,4
0.25,0.15,0.03,0.27,taxa_falha_efetiva,0.2791666666666667,0.23014578204382932,0.328187551289504,4
0.25,0.15,0.03,0.27,fracao_porta1,0.4291666666666667,0.2957934690343089,0.5625398642990245,4
0.25,0.15,0.03,0.27,N_req,106.8125,47.11390231539163,166.5110976846084,4
0.25,0.15,0.03,0.27,mu_rede_medio,0.8610441610516613,0.8365188312281252,0.8855694908751973,4
0.25,0.15,0.03,0.3,atraso_relativo,2.8088318021716696,1.1895665084159897,4.42809709592735,4
0.25,0.15,0.03,0.3,taxa_omissao,0.25729166666666664,0.18642402967504978,0.3281593036582835,4
0.25,0.15,0.03,0.3,divida_latente_sobre_plano,0.07887901345086705,0.049585773282798645,0.10817225361893545,4
0.25,0.15,0.03,0.3,taxa_falha_efetiva,0.2989583333333333,0.23368751136746058,0.3642291552992061,4
0.25,0.15,0.03,0.3,fracao_porta1,0.42916666666666664,0.3183560863000593,0.539977247033274,4
0.25,0.15,0.03,0.3,N_req,107.9375,53.73716087323208,162.13783912676791,4
0.25,0.15,0.03,0.3,mu_rede_medio,0.8710450296469003,0.8267508172628495,0.9153392420309512,4
0.25,0.15,0.03,0.35,atraso_relativo,2.9097800069048723,1.5559761149790532,4.263583898830691,4
0.25,0.15,0.03,0.35,taxa_omissao,0.24583333333333335,0.17997585833096152,0.31169080833570517,4
0.25,0.15,0.03,0.35,divida_latente_sobre_plano,0.07722980105893036,0.05773176643699526,0.09672783568086546,4
