tau,P,B,mu_cog,mu_rede
0.273,0.5,0.5,0.775,0.8441121398619317
0.274,0.5,0.5,0.775,0.844660767907857
0.275,0.5,0.5,0.775,0.8452110309380252
0.276,0.5,0.5,0.775,0.8457656009645367
0.277,0.5,0.5,0.775,0.8463217916792234
0.278,0.5,0.5,0.775,0.8468796101969864
0.279,0.5,0.5,0.775,0.8474390636744336
0.28,0.5,0.5,0.775,0.8480001593101869
0.281,0.5,0.5,0.775,0.8485653828263234
0.28200000000000003,0.5,0.5,0.775,0.8491322323952593
0.28300000000000003,0.5,0.5,0.775,0.8497007150439222
0.28400000000000003,0.5,0.5,0.775,0.8502708378397866
0.28500000000000003,0.5,0.5,0.775,0.8508426078911675
0.28600000000000003,0.5,0.5,0.775,0.8514183196991525
0.28700000000000003,0.5,0.5,0.775,0.851995660825283
0.28800000000000003,0.5,0.5,0.775,0.8525746381960437
0.289,0.5,0.5,0.775,0.8531552587772359
0.29,0.5,0.5,0.775,0.853737529574257
0.291,0.5,0.5,0.775,0.8543235489557701
0.292,0.5,0.5,0.775,0.8549111987647687
0.293,0.5,0.5,0.775,0.855500485815013
0.294,0.5,0.5,0.775,0.8560914169582831
0.295,0.5,0.5,0.775,0.8566839990846449
0.296,0.5,0.5,0.775,0.8572801295467392
0.297,0.5,0.5,0.775,0.8578778893370523
0.298,0.5,0.5,0.775,0.8584772851445817
0.299,0.5,0.5,0.775,0.8590783236949886
0.3,0.5,0.5,0.775,0.8596810117508513
0.301,0.5,0.5,0.775,0.8602870408016254
0.302,0.5,0.5,0.775,0.860894695824674
0.303,0.5,0.5,0.775,0.8615039833724979
0.304,0.5,0.5,0.775,0.8621149100328529
0.305,0.5,0.5,0.775,0.8627274824289879
0.306,0.5,0.5,0.775,0.8633431813853236
0.307,0.5,0.5,0.775,0.863960500658176
0.308,0.5,0.5,0.775,0.8645794466521799
0.309,0.5,0.5,0.775,0.8652000258057695
0.31,0.5,0.5,0.775,0.8658222445914008
0.311,0.5,0.5,0.775,0.8664473684210525
0.312,0.5,0.5,0.775,0.8670741045738509
0.313,0.5,0.5,0.775,0.8677024592956208
0.314,0.5,0.5,0.775,0.8683324388644886
0.315,0.5,0.5,0.775,0.8689640495910926
0.316,0.5,0.5,0.775,0.8695983367913794
0.317,0.5,0.5,0.775,0.8702342259517621
0.318,0.5,0.5,0.775,0.8708717231487966
0.319,0.5,0.5,0.775,0.8715108344898101
0.32,0.5,0.5,0.775,0.8721515661130965
0.321,0.5,0.5,0.775,0.872794738628381
0.322,0.5,0.5,0.775,0.8734395003450801
0.323,0.5,0.5,0.775,0.8740858571605659
0.324,0.5,0.5,0.775,0.8747338150014259
0.325,0.5,0.5,0.775,0.8753833798236452
0.326,0.5,0.5,0.775,0.8760351430037214
0.327,0.5,0.5,0.775,0.876688480211437
0.328,0.5,0.5,0.775,0.8773433971556717
0.329,0.5,0.5,0.775,0.8779998995729459
0.33,0.5,0.5,0.775,0.8786579932275888
0.331,0.5,0.5,0.775,0.8793180358289916
0.332,0.5,0.5,0.775,0.8799796348565507
0.333,0.5,0.5,0.775,0.880642795822006
0.334,0.5,0.5,0.775,0.8813075242631522
0.335,0.5,0.5,0.775,0.8819738257439942
0.336,0.5,0.5,0.775,0.8826418199761477
0.337,0.5,0.5,0.775,0.8833113505998362
0.338,0.5,0.5,0.775,0.8839824229217301
0.339,0.5,0.5,0.775,0.8846550422729662
0.34,0.5,0.5,0.775,0.88532921400929
0.341,0.5,0.5,0.775,0.8860048156272682
0.342,0.5,0.5,0.775,0.8866819311710925
0.343,0.5,0.5,0.775,0.8873605657352057
0.34400000000000003,0.5,0.5,0.775,0.8880407244369329
0.34500000000000003,0.5,0.5,0.775,0.8887224124166113
0.34600000000000003,0.5,0.5,0.775,0.8894052608621441
0.34700000000000003,0.5,0.5,0.775,0.8900895983466278
0.34800000000000003,0.5,0.5,0.775,0.89077542974594
0.34900000000000003,0.5,0.5,0.775,0.8914627599572706
0.35000000000000003,0.5,0.5,0.775,0.8921515938992367
0.35100000000000003,0.5,0.5,0.775,0.8928413124914194
0.352,0.5,0.5,0.775,0.8935324928323634
0.353,0.5,0.5,0.775,0.8942251395739134
0.354,0.5,0.5,0.775,0.8949192573876745
0.355,0.5,0.5,0.775,0.8956148509651158
0.356,0.5,0.5,0.775,0.8963110471420968
0.357,0.5,0.5,0.775,0.8970086754005464
0.358,0.5,0.5,0.775,0.8977077401637203
0.359,0.5,0.5,0.775,0.898408245873108
0.36,0.5,0.5,0.775,0.8991101969885283
0.361,0.5,0.5,0.775,0.8998124626012416
0.362,0.5,0.5,0.775,0.9005161282856925
0.363,0.5,0.5,0.775,0.9012211982329382
0.364,0.5,0.5,0.775,0.9019276766507798
0.365,0.5,0.5,0.775,0.9026355677638469
0.366,0.5,0.5,0.775,0.9033434794226356
0.367,0.5,0.5,0.775,0.9040527568442801
0.368,0.5,0.5,0.775,0.9047634039850143
0.369,0.5,0.5,0.775,0.9054754248163666
0.37,0.5,0.5,0.775,0.9061888233252343
0.371,0.5,0.5,0.775,0.9069019427999667
0.372,0.5,0.5,0.775,0.9076163914815485
0.373,0.5,0.5,0.775,0.9083321730897749
0.374,0.5,0.5,0.775,0.9090492913583343
0.375,0.5,0.5,0.775,0.9097677500348723
0.376,0.5,0.5,0.775,0.9104856247089033
0.377,0.5,0.5,0.775,0.911204789847482
0.378,0.5,0.5,0.775,0.9119252489333824
0.379,0.5,0.5,0.775,0.9126470054619229
0.38,0.5,0.5,0.775,0.9133700629410215
0.381,0.5,0.5,0.775,0.9140922263190754
0.382,0.5,0.5,0.775,0.914815639302734
0.383,0.5,0.5,0.775,0.9155403051382147
0.384,0.5,0.5,0.775,0.9162662270829889
0.385,0.5,0.5,0.775,0.9169934084058305
0.386,0.5,0.5,0.775,0.9177193806756052
0.387,0.5,0.5,0.775,0.9184465596538482
0.388,0.5,0.5,0.775,0.9191749483517422
0.389,0.5,0.5,0.775,0.9199045497904961
0.39,0.5,0.5,0.775,0.9206353670013878
0.391,0.5,0.5,0.775,0.9213646556483803
0.392,0.5,0.5,0.775,0.9220951061556761
0.393,0.5,0.5,0.775,0.9228267213020012
0.394,0.5,0.5,0.775,0.9235595038749491
0.395,0.5,0.5,0.775,0.9242934566710176
0.396,0.5,0.5,0.775,0.9250255571457782
0.397,0.5,0.5,0.775,0.9257587727773926
0.398,0.5,0.5,0.775,0.9264931061157626
0.399,0.5,0.5,0.775,0.9272285597185697
0.4,0.5,0.5,0.775,0.9279651361513046
0.401,0.5,0.5,0.775,0.9286995325880054
0.402,0.5,0.5,0.775,0.9294349957269687
0.403,0.5,0.5,0.775,0.9301715278939426
0.404,0.5,0.5,0.775,0.9309091314214415
0.405,0.5,0.5,0.775,0.9316478086487692
0.406,0.5,0.5,0.775,0.9323839746336742
0.40700000000000003,0.5,0.5,0.775,0.933121157227404
0.40800000000000003,0.5,0.5,0.775,0.9338593585372437
0.40900000000000003,0.5,0.5,0.775,0.9345985806763059
0.41000000000000003,0.5,0.5,0.775,0.9353388257635521
0.41100000000000003,0.5,0.5,0.775,0.9360762251516477
0.41200000000000003,0.5,0.5,0.775,0.9368145895364409
0.41300000000000003,0.5,0.5,0.775,0.937553920813434
0.41400000000000003,0.5,0.5,0.775,0.9382942208830976
0.41500000000000004,0.5,0.5,0.775,0.9390354916508856
0.41600000000000004,0.5,0.5,0.775,0.9397735794286268
0.417,0.5,0.5,0.775,0.9405125791999152
0.418,0.5,0.5,0.775,0.9412524926561077
0.419,0.5,0.5,0.775,0.9419933214927452
0.42,0.5,0.5,0.775,0.9427350674095674
0.421,0.5,0.5,0.775,0.9434732906013767
0.422,0.5,0.5,0.775,0.9442123715273363
0.423,0.5,0.5,0.775,0.9449523116832039
0.424,0.5,0.5,0.775,0.9456931125682174
0.425,0.5,0.5,0.775,0.9464347756851049
0.426,0.5,0.5,0.775,0.9471725743009652
0.427,0.5,0.5,0.775,0.9479111752767602
0.428,0.5,0.5,0.775,0.9486505799220584
0.429,0.5,0.5,0.775,0.9493907895492791
0.43,0.5,0.5,0.775,0.9501318054737014
0.431,0.5,0.5,0.775,0.9508686134948797
0.432,0.5,0.5,0.775,0.951606167534538
0.433,0.5,0.5,0.775,0.9523444687262665
0.434,0.5,0.5,0.775,0.9530835182059532
0.435,0.5,0.5,0.775,0.9538233171117889
0.436,0.5,0.5,0.775,0.9545585635114577
0.437,0.5,0.5,0.775,0.9552944987740871
0.438,0.5,0.5,0.775,0.9560311238682389
0.439,0.5,0.5,0.775,0.9567684397642919
0.44,0.5,0.5,0.775,0.9575064474344461
0.441,0.5,0.5,0.775,0.958239557229691
0.442,0.5,0.5,0.775,0.958973298076485
0.443,0.5,0.5,0.775,0.959707670789981
0.444,0.5,0.5,0.775,0.9604426761867355
0.445,0.5,0.5,0.775,0.9611783150847135
0.446,0.5,0.5,0.775,0.961908710416173
0.447,0.5,0.5,0.775,0.9626396784944129
0.448,0.5,0.5,0.775,0.9633712199933848
0.449,0.5,0.5,0.775,0.9641033355880984
0.45,0.5,0.5,0.775,0.9648360259546234
0.451,0.5,0.5,0.775,0.9655631271897795
0.452,0.5,0.5,0.775,0.9662907425398052
0.453,0.5,0.5,0.775,0.9670188725501697
0.454,0.5,0.5,0.775,0.967747517767114
0.455,0.5,0.5,0.775,0.9684766787376526
0.456,0.5,0.5,0.775,0.9691999055935803
0.457,0.5,0.5,0.775,0.9699235877745137
0.458,0.5,0.5,0.775,0.9706477257105797
0.459,0.5,0.5,0.775,0.9713723198324465
0.46,0.5,0.5,0.775,0.9720973705713261
0.461,0.5,0.5,0.775,0.9728161432525353
0.462,0.5,0.5,0.775,0.9735353124823549
0.463,0.5,0.5,0.775,0.9742548785890407
0.464,0.5,0.5,0.775,0.9749748419012108
0.465,0.5,0.5,0.775,0.9756952027478464
0.466,0.5,0.5,0.775,0.9764089430946965
0.467,0.5,0.5,0.775,0.9771230214001216
0.468,0.5,0.5,0.775,0.9778374379042153
0.46900000000000003,0.5,0.5,0.775,0.9785521928472987
0.47000000000000003,0.5,0.5,0.775,0.9792672864699208
0.47100000000000003,0.5,0.5,0.775,0.979975419112966
0.47200000000000003,0.5,0.5,0.775,0.9806838314844895
0.47300000000000003,0.5,0.5,0.775,0.9813925237502727
0.47400000000000003,0.5,0.5,0.775,0.9821014960762282
0.47500000000000003,0.5,0.5,0.775,0.9828107486283995
0.47600000000000003,0.5,0.5,0.775,0.9835127021439293
0.47700000000000004,0.5,0.5,0.775,0.9842148776912527
0.47800000000000004,0.5,0.5,0.775,0.9849172753757313
0.47900000000000004,0.5,0.5,0.775,0.9856198953027933
0.48,0.5,0.5,0.775,0.9863227375779331
0.481,0.5,0.5,0.775,0.9870179456399217
0.482,0.5,0.5,0.775,0.9877133187429946
0.483,0.5,0.5,0.775,0.98840885694593
0.484,0.5,0.5,0.775,0.9891045603075331
0.485,0.5,0.5,0.775,0.9898004288866376
0.486,0.5,0.5,0.775,0.9904883314102803
0.487,0.5,0.5,0.775,0.991176342861127
0.488,0.5,0.5,0.775,0.9918644632650518
0.489,0.5,0.5,0.775,0.9925526926479376
0.49,0.5,0.5,0.775,0.993241031035675
0.491,0.5,0.5,0.775,0.9939210753077095
