incremento_base,fator_transferencia,cenario,metrica,estimando,antes,depois,estatuto,media,ic95_inf,ic95_sup,N_instancias
15.0,6.0,centralizada,taxa_omissao,observado,0.3125,0.3125,COMPLETO,0.0,0.0,0.0,16
15.0,6.0,centralizada,taxa_omissao,pares_completos,0.3125,0.3125,COMPLETO,0.0,0.0,0.0,16
15.0,6.0,centralizada,divida_latente_sobre_plano,observado,0.10327218484475538,0.10327218484475538,COMPLETO,0.0,0.0,0.0,16
15.0,6.0,centralizada,divida_latente_sobre_plano,pares_completos,0.10327218484475538,0.10327218484475538,COMPLETO,0.0,0.0,0.0,16
15.0,6.0,centralizada,taxa_falha_efetiva,observado,0.3619791666666667,0.3619791666666667,COMPLETO,0.0,0.0,0.0,16
15.0,6.0,centralizada,taxa_falha_efetiva,pares_completos,0.3619791666666667,0.3619791666666667,COMPLETO,0.0,0.0,0.0,16
15.0,6.0,centralizada,fracao_porta1,observado,0.6369791666666668,0.6369791666666668,COMPLETO,0.0,0.0,0.0,16
15.0,6.0,centralizada,fracao_porta1,pares_completos,0.6369791666666668,0.6369791666666668,COMPLETO,0.0,0.0,0.0,16
22.5,1.5,adaptativa,atraso_relativo,observado,2.0373813983341833,1.9909757784165587,COMPLETO,-0.04640561991762435,-0.0716413052711761,-0.021169934564072596,16
22.5,1.5,adaptativa,atraso_relativo,pares_completos,2.0373813983341833,1.9909757784165587,COMPLETO,-0.04640561991762435,-0.0716413052711761,-0.021169934564072596,16
22.5,1.5,adaptativa,taxa_omissao,observado,0.08428819444444445,0.08064236111111112,COMPLETO,-0.0036458333333333334,-0.010153407553825329,0.0028617408871586614,16
22.5,1.5,adaptativa,taxa_omissao,pares_completos,0.08428819444444445,0.08064236111111112,COMPLETO,-0.0036458333333333334,-0.010153407553825329,0.0028617408871586614,16
22.5,1.5,adaptativa,divida_latente_sobre_plano,observado,0.02545760842423257,0.023255848716655397,COMPLETO,-0.0022017597075771663,-0.004222154520473828,-0.00018136489468050443,16
22.5,1.5,adaptativa,divida_latente_sobre_plano,pares_completos,0.02545760842423257,0.023255848716655397,COMPLETO,-0.0022017597075771663,-0.004222154520473828,-0.00018136489468050443,16
22.5,1.5,adaptativa,taxa_falha_efetiva,observado,0.3189236111111111,0.30312500000000003,COMPLETO,-0.01579861111111111,-0.024789470932881648,-0.006807751289340571,16
22.5,1.5,adaptativa,taxa_falha_efetiva,pares_completos,0.3189236111111111,0.30312500000000003,COMPLETO,-0.01579861111111111,-0.024789470932881648,-0.006807751289340571,16
22.5,1.5,adaptativa,fracao_porta1,observado,0.5204861111111111,0.4914930555555555,COMPLETO,-0.028993055555555557,-0.04158721973166704,-0.016398891379444072,16
22.5,1.5,adaptativa,fracao_porta1,pares_completos,0.5204861111111111,0.4914930555555555,COMPLETO,-0.028993055555555557,-0.04158721973166704,-0.016398891379444072,16
22.5,1.5,centralizada,atraso_relativo,observado,3.0608024318896923,3.0608024318896923,COMPLETO,0.0,0.0,0.0,16
22.5,1.5,centralizada,atraso_relativo,pares_completos,3.0608024318896923,3.0608024318896923,COMPLETO,0.0,0.0,0.0,16
22.5,1.5,centralizada,taxa_omissao,observado,0.3125,0.3125,COMPLETO,0.0,0.0,0.0,16
22.5,1.5,centralizada,taxa_omissao,pares_completos,0.3125,0.3125,COMPLETO,0.0,0.0,0.0,16
22.5,1.5,centralizada,divida_latente_sobre_plano,observado,0.10327218484475538,0.10327218484475538,COMPLETO,0.0,0.0,0.0,16
22.5,1.5,centralizada,divida_latente_sobre_plano,pares_completos,0.10327218484475538,0.10327218484475538,COMPLETO,0.0,0.0,0.0,16
22.5,1.5,centralizada,taxa_falha_efetiva,observado,0.3619791666666667,0.3619791666666667,COMPLETO,0.0,0.0,0.0,16
22.5,1.5,centralizada,taxa_falha_efetiva,pares_completos,0.3619791666666667,0.3619791666666667,COMPLETO,0.0,0.0,0.0,16
22.5,1.5,centralizada,fracao_porta1,observado,0.6369791666666668,0.6369791666666668,COMPLETO,0.0,0.0,0.0,16
22.5,1.5,centralizada,fracao_porta1,pares_completos,0.6369791666666668,0.6369791666666668,COMPLETO,0.0,0.0,0.0,16
